osmid,ref,highway,maxspeed,oneway,reversed,length,geometry,name,lanes,junction,bridge
836944726,SP366,secondary,50,False,False,100.563,"LINESTRING (18.4808364 40.1521646, 18.4811823 40.1518068, 18.4815577 40.1514479)",,,,
76146290,,unclassified,,False,False,170.33499999999998,"LINESTRING (18.4893646 40.1447846, 18.4897852 40.1453693, 18.4898719 40.1454899, 18.490075 40.1457721, 18.4901945 40.1459383, 18.4902102 40.1459601, 18.4902303 40.146027, 18.4902253 40.1460845, 18.4901992 40.1461454)",Via delle Torri,,,
969474804,,tertiary,,True,False,72.584,"LINESTRING (18.4893646 40.1447846, 18.4893209 40.1448218, 18.4892649 40.1448695, 18.4891672 40.1449704, 18.4890163 40.1451849, 18.4889674 40.1452679, 18.4889311 40.1453414)",Via San Francesco di Paola,,,
76146433,,tertiary,,True,False,61.62200000000001,"LINESTRING (18.4889311 40.1453414, 18.4888788 40.1453431, 18.4888533 40.1453439, 18.4887138 40.145351, 18.4885499 40.1453657, 18.4883771 40.1453946, 18.4882202 40.1454346)",Via Donna Caterina,,,
"[1208079939, 969474804, 73549077]",,"['unclassified', 'tertiary']",,True,False,168.528,"LINESTRING (18.4889311 40.1453414, 18.488922 40.1453894, 18.4889152 40.1455014, 18.48891 40.14587, 18.4889027 40.1459732, 18.4888886 40.1460594, 18.4886967 40.1460252, 18.4886435 40.1460201, 18.4885844 40.1460305, 18.4885512 40.1460361, 18.4885049 40.1460397, 18.4884097 40.1460233, 18.488266 40.1459908, 18.4881115 40.1459454, 18.4878996 40.1458648)","['Via De Donno', 'Via San Francesco di Paola']",,,
27185534,,residential,,False,False,70.68700000000001,"LINESTRING (18.4897014 40.1446237, 18.4896703 40.1446132, 18.4896505 40.1446065, 18.4895873 40.1445978, 18.4892762 40.1445857, 18.4888768 40.1445659)",Via Borgo Monte,,,
969474804,,tertiary,,True,False,33.803,"LINESTRING (18.4897014 40.1446237, 18.48947 40.1447257, 18.4893646 40.1447846)",Via San Francesco di Paola,,,
47575541,,tertiary,,True,False,16.402,"LINESTRING (18.4880589 40.1456629, 18.4880595 40.1456275, 18.4880543 40.1455916, 18.4880414 40.1455622, 18.4880207 40.1455201)",Via Catona,,,
321284984,,tertiary,,False,True,26.232,"LINESTRING (18.4880589 40.1456629, 18.4879614 40.1457789, 18.4878996 40.1458648)",Via Papa Giovanni Paolo II,,,
27185534,,residential,,False,True,70.687,"LINESTRING (18.4888768 40.1445659, 18.4892762 40.1445857, 18.4895873 40.1445978, 18.4896505 40.1446065, 18.4896703 40.1446132, 18.4897014 40.1446237)",Via Borgo Monte,,,
246761860,,residential,,False,False,49.434,"LINESTRING (18.4888768 40.1445659, 18.4888309 40.1446887, 18.4887768 40.1447002, 18.4885099 40.1445174)",Via Borgo Monte,,,
246761860,,residential,,False,True,75.098,"LINESTRING (18.4888768 40.1445659, 18.4889151 40.1443436, 18.4889248 40.1442353, 18.4888845 40.1441415, 18.488699 40.1439431)",Via Borgo Monte,,,
27185571,SP366,secondary,,True,False,8.562000000000001,"LINESTRING (18.4820127 40.1508706, 18.4820054 40.1508325, 18.4820149 40.1507947)",,1,roundabout,
