osmid,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,ref,tunnel
23937832,Via Thaon De Revel,residential,False,False,69.981,,"LINESTRING (13.9679527 42.7558484, 13.9671609 42.7556074)",,,
914337718,Lungomare Zara,tertiary,True,False,18.979,1,"LINESTRING (13.9679527 42.7558484, 13.9680512 42.7556938)",,,
23937832,Via Thaon De Revel,residential,False,True,128.944,,"LINESTRING (13.965702 42.7551633, 13.9671609 42.7556074)",,,
311571338,Viale Vincenzo Orsini,tertiary,False,False,67.538,2,"LINESTRING (13.965702 42.7551633, 13.9660303 42.7546058)",,,
311571338,Viale Vincenzo Orsini,tertiary,False,True,27.456,2,"LINESTRING (13.965702 42.7551633, 13.9655716 42.7553909)",,,
631405287,Via Nazario Sauro,residential,True,False,54.252,1,"LINESTRING (13.9690301 42.7541806, 13.9689028 42.7541383, 13.9684305 42.7539704)",,,
"[981909118, 87021751]",Lungomare Spalato,tertiary,False,True,38.474000000000004,"['2', '3']","LINESTRING (13.9690301 42.7541806, 13.9690977 42.7540834, 13.9691483 42.7540089, 13.9692466 42.7538733)",30,,
23944524,Via Galimberti,residential,False,True,84.64,,"LINESTRING (13.968133 42.7511636, 13.9672101 42.750817)",,,
86634076,Via Tripoli,residential,False,True,78.52,,"LINESTRING (13.968133 42.7511636, 13.9689871 42.7514881)",,,
38685360,Via Trieste,tertiary,False,False,67.731,2,"LINESTRING (13.968133 42.7511636, 13.9681655 42.7511155, 13.9685018 42.750618)",,,
38685360,Via Trieste,tertiary,False,True,50.224,2,"LINESTRING (13.968133 42.7511636, 13.9679 42.7515187, 13.967866 42.7515705)",,,
38685360,Via Trieste,tertiary,False,False,40.854,2,"LINESTRING (13.9693879 42.7493633, 13.9696176 42.7490369)",,,
38685360,Via Trieste,tertiary,False,True,60.106,2,"LINESTRING (13.9693879 42.7493633, 13.9690406 42.7498399)",,,
114548132,Via La Spezia,residential,False,False,77.972,,"LINESTRING (13.9693879 42.7493633, 13.9702424 42.7496763)",30,,
23937834,Via Belluno,residential,False,False,84.117,,"LINESTRING (13.9674448 42.7522075, 13.9665191 42.7518755)",,,
38685360,Via Trieste,tertiary,False,False,5.633,2,"LINESTRING (13.9674448 42.7522075, 13.9674754 42.7521621)",,,
38685360,Via Trieste,tertiary,False,True,41.571,2,"LINESTRING (13.9674448 42.7522075, 13.9672464 42.7525053, 13.967221 42.7525433)",,,
23937834,Via Belluno,residential,False,True,84.117,,"LINESTRING (13.9665191 42.7518755, 13.9674448 42.7522075)",,,
23944522,Via Bolzano,residential,False,False,75.797,,"LINESTRING (13.9665191 42.7518755, 13.9669326 42.7512652)",,,
23944522,Via Bolzano,residential,False,True,42.771,,"LINESTRING (13.9665191 42.7518755, 13.9662908 42.7522217)",,,
23944522,Via Bolzano,residential,False,True,54.747,,"LINESTRING (13.9672101 42.750817, 13.9669326 42.7512652)",,,
23944524,Via Galimberti,residential,False,False,84.64,,"LINESTRING (13.9672101 42.750817, 13.968133 42.7511636)",,,
"[23944522, 114548123]","['Via Bolzano', 'Via Caltanissetta']",residential,False,False,107.83699999999999,,"LINESTRING (13.9672101 42.750817, 13.9675446 42.75027, 13.967996 42.7504348)",,,
27353102,Via 24 Maggio,residential,False,False,331.06600000000003,,"LINESTRING (13.9611162 42.7499613, 13.9610732 42.7500243, 13.9607085 42.7500834, 13.9597858 42.7507609, 13.9597536 42.7508397, 13.9597697 42.7509145, 13.9598716 42.7509736, 13.9599735 42.7509736, 13.9600757 42.750927, 13.9601291 42.7509027, 13.9608533 42.750493, 13.961143 42.7504024, 13.9615614 42.750367)",,,
27353102,Via 24 Maggio,residential,False,False,152.784,,"LINESTRING (13.9615614 42.750367, 13.9627558 42.7506012, 13.9633692 42.7507215)",,,
27353102,Via 24 Maggio,residential,False,True,331.06600000000003,,"LINESTRING (13.9615614 42.750367, 13.961143 42.7504024, 13.9608533 42.750493, 13.9601291 42.7509027, 13.9600757 42.750927, 13.9599735 42.7509736, 13.9598716 42.7509736, 13.9597697 42.7509145, 13.9597536 42.7508397, 13.9597858 42.7507609, 13.9607085 42.7500834, 13.9610732 42.7500243, 13.9611162 42.7499613)",,,
"[114543061, 524318423]",Via Giacomo Matteotti,unclassified,False,False,147.948,,"LINESTRING (13.9615614 42.750367, 13.9609935 42.7513122, 13.9613582 42.7514416)",,,
27353102,Via 24 Maggio,residential,False,False,60.26,,"LINESTRING (13.9633692 42.7507215, 13.9640666 42.7508988)",,,
27353105,Via Raffaello,residential,False,True,90.597,,"LINESTRING (13.9633692 42.7507215, 13.9638939 42.7500036)",,,
27353102,Via 24 Maggio,residential,False,True,152.784,,"LINESTRING (13.9633692 42.7507215, 13.9627558 42.7506012, 13.9615614 42.750367)",,,
27353102,Via 24 Maggio,residential,False,True,60.26,,"LINESTRING (13.9640666 42.7508988, 13.9633692 42.7507215)",,,
