osmid,name,highway,oneway,reversed,length,geometry,ref,tunnel,access
1124318940,Via Vittorio Emanuele,tertiary,False,False,15.463,"LINESTRING (14.8360486 37.6638116, 14.8360995 37.6639447)",,,
1124318942,,residential,True,False,14.592,"LINESTRING (14.8360486 37.6638116, 14.8359507 37.6639175)",,,
33573627,,tertiary,True,False,49.284,"LINESTRING (14.8360486 37.6638116, 14.8359207 37.6635475, 14.835828 37.6634049)",,,
108000849,,residential,False,False,22.012,"LINESTRING (14.8360486 37.6638116, 14.8361366 37.6638606, 14.8362194 37.6638884, 14.8362678 37.6639046)",,,
36951587,Via Cappuccini,tertiary,False,False,35.736,"LINESTRING (14.8383744 37.6597762, 14.8381064 37.6600176)",,,
36951587,Via Cappuccini,tertiary,False,True,47.65,"LINESTRING (14.8383744 37.6597762, 14.8387272 37.6594512)",,,
32151162,Via Catania,tertiary,True,False,65.375,"LINESTRING (14.8383744 37.6597762, 14.8378803 37.6595875, 14.8377048 37.6595219)",,,
39259789,Via Catania,tertiary,False,False,43.935,"LINESTRING (14.83547 37.6595134, 14.8349839 37.659603)",,,
39259791,Via Quattro Novembre,tertiary,True,False,70.441,"LINESTRING (14.83547 37.6595134, 14.8352385 37.658907)",SP156,,
39306343,Via Quattro Novembre,residential,True,False,45.382999999999996,"LINESTRING (14.83547 37.6595134, 14.8355543 37.659765, 14.8356088 37.6599064)",,,
108281493,Via Po,residential,False,False,43.555,"LINESTRING (14.8339124 37.6598024, 14.8340207 37.6601846)",,,
1124883140,,residential,False,False,30.046,"LINESTRING (14.8339124 37.6598024, 14.833842 37.659538)",,,
39259789,Via Catania,tertiary,False,False,78.291,"LINESTRING (14.8339124 37.6598024, 14.8331244 37.6599431, 14.8330448 37.6599573)",,,
39259789,Via Catania,tertiary,False,True,96.893,"LINESTRING (14.8339124 37.6598024, 14.8339623 37.6597935, 14.8349839 37.659603)",,,
39259789,Via Catania,tertiary,False,True,66.056,"LINESTRING (14.8316213 37.6602234, 14.8323523 37.6600892)",,,
1124883117,Via Don Luigi Sturzo,residential,False,True,41.667,"LINESTRING (14.8316213 37.6602234, 14.8317273 37.6605886)",,,
39259789,Via Catania,tertiary,False,False,77.373,"LINESTRING (14.8316213 37.6602234, 14.831298 37.660304, 14.8310671 37.6603878, 14.8308465 37.6605319)",,,
703454691,Via delle Mura,residential,False,False,104.35899999999998,"LINESTRING (14.8316213 37.6602234, 14.8315756 37.6600881, 14.8315841 37.6600454, 14.8315991 37.6600125, 14.831637 37.6599837, 14.8316699 37.6599557, 14.8317207 37.6598851, 14.8317887 37.6597712, 14.8318288 37.6596439, 14.8318534 37.6596224, 14.8319203 37.6595906, 14.8319748 37.6595806, 14.8320244 37.6595774, 14.8320808 37.6595699, 14.8321156 37.659553, 14.8321593 37.659517)",,,
39259789,Via Catania,tertiary,False,False,29.399,"LINESTRING (14.8298276 37.6614807, 14.8296096 37.661681)",,,
