osmid,highway,oneway,reversed,length,name,geometry,maxspeed,ref,lanes
293194041,residential,False,False,112.025,,"LINESTRING (14.5114606 40.7229071, 14.5101525 40.7227278)",,,
763404408,residential,True,False,61.074,Via Pioppelle,"LINESTRING (14.5114606 40.7229071, 14.5115887 40.7223665)",,,
245680696,tertiary,True,False,18.814,Piazza Borrelli,"LINESTRING (14.5119717 40.7205808, 14.5119778 40.7204581, 14.5119794 40.7204117)",,,
245680696,tertiary,True,False,38.47,Piazza Borrelli,"LINESTRING (14.5122534 40.7208408, 14.5122193 40.7207599, 14.5121688 40.7207144, 14.5121174 40.72069, 14.5120434 40.7206416, 14.5119717 40.7205808)",,,
456988924,tertiary,True,False,53.937,Piazza Borrelli,"LINESTRING (14.5122534 40.7208408, 14.5123242 40.7207161, 14.5123636 40.7206759, 14.5124109 40.7206209, 14.5124749 40.7205537, 14.5125348 40.720485, 14.5125838 40.7204276)",30,,
314947580,tertiary,True,False,96.251,Strada Scafati,"LINESTRING (14.5123899 40.7222064, 14.5122748 40.7213452)",,SP59,
456992413,tertiary,False,False,68.019,Strada Scafati,"LINESTRING (14.5123899 40.7222064, 14.5124699 40.7228151)",,SP59,
22762421,unclassified,True,False,108.264,Piazza Borrelli,"LINESTRING (14.5131097 40.7204126, 14.5131768 40.7204451, 14.5132351 40.7204755, 14.5132993 40.7205361, 14.5133219 40.7206091, 14.5133297 40.7207161, 14.5133343 40.7207563, 14.5133371 40.7209536, 14.513313 40.7209962, 14.5132742 40.7210435, 14.5130461 40.7212378)",,,
896282826,tertiary,True,False,68.695,Via Polveriera,"LINESTRING (14.5131097 40.7204126, 14.513463 40.7203886, 14.5139204 40.7203488)",,SP289,2
22762552,tertiary,True,False,25.259,Piazza Borrelli,"LINESTRING (14.5119794 40.7204117, 14.5121281 40.7204033, 14.5122787 40.7204015)",,SP289,
22762573,tertiary,False,True,134.941,Via Petraro,"LINESTRING (14.5119794 40.7204117, 14.5119135 40.7203972, 14.511838 40.7203828, 14.5103834 40.7203681)",,SP314,
22762421,unclassified,True,False,65.27799999999999,Piazza Borrelli,"LINESTRING (14.5130461 40.7212378, 14.512859 40.7212531, 14.5126735 40.721258, 14.5122727 40.7212581)",,,
245772074,unclassified,True,False,68.612,,"LINESTRING (14.5130461 40.7212378, 14.5129796 40.7212896, 14.5129076 40.7213195, 14.5128386 40.7213368, 14.5127498 40.7213411, 14.5122748 40.7213452)",,,
456988929,tertiary,True,False,13.307,Via Carlo Cannavacciuolo,"LINESTRING (14.5141027 40.7203311, 14.5140223 40.7204341)",30,,1
