osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,est_width,junction
776852411,2,SP32,Via Roma,tertiary,False,False,8.052,"LINESTRING (12.1689893 45.4901445, 12.1688866 45.4901523)",,,
776852411,2,SP32,Via Roma,tertiary,False,True,22.087,"LINESTRING (12.1689893 45.4901445, 12.1692702 45.4901185)",,,
141679326,,,Via Tintoretto,residential,True,False,130.19699999999997,"LINESTRING (12.1689893 45.4901445, 12.1690031 45.4901954, 12.1690134 45.4902344, 12.1690247 45.4902768, 12.1690509 45.4903637, 12.1690864 45.4904446, 12.1691606 45.4906206, 12.1691837 45.490662, 12.1692135 45.4906962, 12.1692423 45.4907133, 12.1692808 45.4907243, 12.1693251 45.4907238, 12.1693747 45.4907158, 12.1696894 45.490651, 12.1697375 45.4906542, 12.1697724 45.490671, 12.1697946 45.490697, 12.1698358 45.4907723, 12.1698461 45.4907907, 12.1698616 45.4908377)",,,
39067312,,,Via dei Mille,residential,True,False,98.443,"LINESTRING (12.166503 45.4907947, 12.1665205 45.4908351, 12.1665291 45.4908554, 12.1668629 45.4916433)",,,
366930954,2,SP32,Via Roma,tertiary,False,False,53.275,"LINESTRING (12.166503 45.4907947, 12.1663552 45.4908275, 12.1658504 45.490937)",,,
366930954,2,SP32,Via Roma,tertiary,False,True,36.389,"LINESTRING (12.166503 45.4907947, 12.1668682 45.4907102, 12.1669461 45.4906917)",,,
123213590,2,,Via Carlo Cattaneo,residential,False,False,41.94,"LINESTRING (12.1698858 45.4925898, 12.1695454 45.4922977)",,,
123213590,2,,Via Carlo Cattaneo,residential,False,True,50.592,"LINESTRING (12.1698858 45.4925898, 12.1702271 45.4929768)",,,
123215481,2,,Via Raffaello,residential,False,False,88.205,"LINESTRING (12.1698858 45.4925898, 12.1699267 45.4925723, 12.1699407 45.4925663, 12.1708514 45.4921762)",,,
123213561,2,,Via Carlo Cattaneo,residential,False,False,17.588,"LINESTRING (12.1687848 45.4918933, 12.1687075 45.4917447)",,,
22769957,1,,Via Carlo Cattaneo,residential,True,False,23.528,"LINESTRING (12.1687848 45.4918933, 12.1687989 45.4919102, 12.1688726 45.491999, 12.1689101 45.4920395, 12.168949 45.4920701)",,,
123213553,1,,Via Carlo Cattaneo,residential,True,False,26.064,"LINESTRING (12.1693266 45.4921452, 12.1692648 45.4921486, 12.1692032 45.4921603, 12.1691113 45.4921876, 12.1690126 45.4922196)",,,
123213590,2,,Via Carlo Cattaneo,residential,False,True,24.051000000000002,"LINESTRING (12.1693266 45.4921452, 12.1694171 45.4922082, 12.1695454 45.4922977)",,,
698539263,2,,Via Rossignago,tertiary,False,True,8.929,"LINESTRING (12.1626797 45.4927077, 12.162687 45.4927291, 12.1627063 45.4927858)",,,
698539268,1,,Via Rossignago,tertiary,True,False,12.579,"LINESTRING (12.1626797 45.4927077, 12.1626286 45.4926599, 12.1625798 45.4926189)",,,
22769949,2,,Via Michelangelo Buonarroti,residential,False,False,61.475,"LINESTRING (12.167934 45.492551, 12.1680294 45.4925147, 12.1681367 45.4924819, 12.1683612 45.4924237, 12.1686623 45.4923404)",,,
22769949,2,,Via Michelangelo Buonarroti,residential,False,True,50.572,"LINESTRING (12.167934 45.492551, 12.1678337 45.4925829, 12.1677214 45.4926115, 12.1673286 45.4927141)",,,
