osmid,oneway,highway,reversed,length,geometry,ref,name,bridge,maxspeed
69387650,True,residential,False,88.288,"LINESTRING (10.2273594 43.9945282, 10.2270769 43.9945566, 10.2268633 43.9945859, 10.2267278 43.9945704, 10.2266595 43.994556, 10.2265026 43.9945502, 10.2264029 43.9945644, 10.226274 43.9945904)",,,,
"[74757437, 391015415]",False,secondary,False,45.366,"LINESTRING (10.2273594 43.9945282, 10.2273214 43.99447, 10.2273014 43.9944184, 10.2272866 43.994354, 10.2272354 43.9941322)",SP9,"['Piazza Ponte Nuovo', 'SP di Marina']",yes,
391015418,False,secondary,True,46.652,"LINESTRING (10.2273594 43.9945282, 10.2276375 43.9945166, 10.2279392 43.9944863)",SP9,Via Gino Lombardi,,
40152133,True,residential,False,61.952,"LINESTRING (10.2279392 43.9944863, 10.2282976 43.9949802)",,Via 24 Maggio,,
391015418,False,secondary,False,46.652,"LINESTRING (10.2279392 43.9944863, 10.2276375 43.9945166, 10.2273594 43.9945282)",SP9,Via Gino Lombardi,,
"[69405909, 72500270]",False,residential,False,278.12800000000004,"LINESTRING (10.2285942 43.9953547, 10.2284525 43.9954411, 10.2284525 43.9954832, 10.228508 43.9955408, 10.2286121 43.9956419, 10.2287391 43.9957652, 10.2288054 43.9958204, 10.2288183 43.995848, 10.2288459 43.9958591, 10.2288827 43.9958554, 10.2289214 43.9957763, 10.2289416 43.9957431, 10.2289766 43.9957045, 10.2290336 43.9957266, 10.229052 43.9957744, 10.2290208 43.9958296, 10.2290097 43.9959051, 10.2290152 43.9959935, 10.2289803 43.9960229, 10.2289048 43.9960156, 10.228787 43.9960229, 10.2286471 43.9960395, 10.2285127 43.9961039, 10.2284283 43.996171, 10.2283473 43.9961363, 10.228266 43.9961162, 10.2280783 43.9960671, 10.2277911 43.9960468, 10.2275666 43.9960045, 10.2274101 43.9959879, 10.2272904 43.9960119)",,,,
391015417,False,residential,False,143.555,"LINESTRING (10.2285942 43.9953547, 10.2287545 43.995297, 10.2290287 43.9951928, 10.229235 43.9951287, 10.2295961 43.9949855, 10.2301892 43.9947641)",,,,
139099159,False,unclassified,True,45.08,"LINESTRING (10.2311285 43.9944539, 10.231014 43.9945103, 10.2307542 43.9945773, 10.2306142 43.9946135)",,,,
"[426434465, 433813463]",True,secondary,False,259.51300000000003,"LINESTRING (10.2311285 43.9944539, 10.2305453 43.9943786, 10.2300931 43.9943358, 10.22976 43.994316, 10.2290478 43.9943309, 10.2285808 43.9943477, 10.2282189 43.9943796, 10.2279392 43.9944863)",SP9,Via Gino Lombardi,,40
"[45772274, 847554838]",False,residential,False,151.474,"LINESTRING (10.2216911 43.9972376, 10.2217164 43.9974602, 10.2217577 43.9975257, 10.2218009 43.9975879, 10.221886 43.9977306, 10.221912 43.9978594, 10.2219104 43.9978644, 10.2219113 43.9978695, 10.2219146 43.9978741, 10.2219198 43.9978776, 10.2219263 43.9978797, 10.2219334 43.99788, 10.2219403 43.9978787, 10.2219461 43.9978757, 10.2219503 43.9978715, 10.2219522 43.9978666, 10.2219804 43.9978256, 10.2219868 43.9978211, 10.2219949 43.9978182, 10.2220038 43.9978173, 10.2220127 43.9978185, 10.2220206 43.9978215, 10.2220268 43.9978263, 10.2220306 43.9978321, 10.2220317 43.9978385, 10.22203 43.9978449, 10.2220125 43.9979076, 10.2219661 43.9980117, 10.2217344 43.9983569)",,Via Canala,,
"[45772275, 847554837]",False,unclassified,False,148.196,"LINESTRING (10.2217344 43.9983569, 10.2219223 43.9981832, 10.2220784 43.9980491, 10.2224296 43.9977716, 10.222798 43.9975213, 10.22295 43.9973563)",,Via Amos Paoli,,
"[45772274, 847554838]",False,residential,True,151.47399999999996,"LINESTRING (10.2217344 43.9983569, 10.2219661 43.9980117, 10.2220125 43.9979076, 10.22203 43.9978449, 10.2220317 43.9978385, 10.2220306 43.9978321, 10.2220268 43.9978263, 10.2220206 43.9978215, 10.2220127 43.9978185, 10.2220038 43.9978173, 10.2219949 43.9978182, 10.2219868 43.9978211, 10.2219804 43.9978256, 10.2219522 43.9978666, 10.2219503 43.9978715, 10.2219461 43.9978757, 10.2219403 43.9978787, 10.2219334 43.99788, 10.2219263 43.9978797, 10.2219198 43.9978776, 10.2219146 43.9978741, 10.2219113 43.9978695, 10.2219104 43.9978644, 10.221912 43.9978594, 10.221886 43.9977306, 10.2218009 43.9975879, 10.2217577 43.9975257, 10.2217164 43.9974602, 10.2216911 43.9972376)",,Via Canala,,
139115147,False,unclassified,False,220.542,"LINESTRING (10.22295 43.9973563, 10.2231111 43.996801, 10.2231667 43.9965942, 10.2232033 43.9963409, 10.2232092 43.9961813, 10.2232274 43.9959184, 10.2232927 43.9957149, 10.2233684 43.9955835, 10.2235051 43.9954365)",,Via Michelangelo Buonarroti,,
"[45772275, 847554837]",False,unclassified,True,148.196,"LINESTRING (10.22295 43.9973563, 10.222798 43.9975213, 10.2224296 43.9977716, 10.2220784 43.9980491, 10.2219223 43.9981832, 10.2217344 43.9983569)",,Via Amos Paoli,,
69409128,False,residential,True,20.882,"LINESTRING (10.2235051 43.9954365, 10.2237288 43.9955333)",,,yes,
139115089,False,tertiary,False,170.97899999999998,"LINESTRING (10.2235051 43.9954365, 10.2236999 43.995235, 10.2238073 43.9951226, 10.2238754 43.9950355, 10.2239561 43.9949132, 10.224048 43.9946066, 10.2240757 43.9943857, 10.224094 43.9942354, 10.2241252 43.9940023)",,Strada Comunale Lungo Fiume,,
139115147,False,unclassified,True,220.54199999999997,"LINESTRING (10.2235051 43.9954365, 10.2233684 43.9955835, 10.2232927 43.9957149, 10.2232274 43.9959184, 10.2232092 43.9961813, 10.2232033 43.9963409, 10.2231667 43.9965942, 10.2231111 43.996801, 10.22295 43.9973563)",,Via Michelangelo Buonarroti,,
69350101,False,unclassified,False,265.443,"LINESTRING (10.2301892 43.9947641, 10.2302431 43.9947759, 10.2313909 43.9947607, 10.2314668 43.9947626, 10.2315338 43.9947748, 10.231559 43.9948229, 10.2315403 43.9948742, 10.2315026 43.9948953, 10.2314036 43.9948987, 10.2310984 43.994904, 10.2308545 43.9949447, 10.2306339 43.994996, 10.2305656 43.9950359, 10.2305125 43.9950806, 10.2304904 43.9951371, 10.2304879 43.9951936, 10.2305334 43.9952934, 10.2307013 43.9955652)",,Via Circonvallazione,,
69350101,False,unclassified,True,45.257000000000005,"LINESTRING (10.2301892 43.9947641, 10.2301664 43.9947298, 10.230177 43.9946917, 10.2302053 43.9946685, 10.2306142 43.9946135)",,Via Circonvallazione,,
391015417,False,residential,True,143.555,"LINESTRING (10.2301892 43.9947641, 10.2295961 43.9949855, 10.229235 43.9951287, 10.2290287 43.9951928, 10.2287545 43.995297, 10.2285942 43.9953547)",,,,
