osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width,tunnel,junction
1149709438,2,SS516,Via Guglielmo Marconi,primary,50,False,False,4.817,"LINESTRING (11.9319164 45.3656803, 11.9319654 45.365654)",,,,
1149709435,1,SS516,Via Guglielmo Marconi,primary,50,True,False,58.227000000000004,"LINESTRING (11.9319164 45.3656803, 11.9317032 45.3657843, 11.9314799 45.3658768, 11.9313266 45.365994)",,,,
"[30008988, 146986543, 41506103]",2,SS516,Via Roma,primary,,False,False,94.75099999999999,"LINESTRING (11.9343493 45.3645484, 11.9344787 45.3645274, 11.9351668 45.3644131, 11.9354722 45.3643562, 11.9355279 45.3643478)",yes,,,
"[779664713, 146986541]",2,SS516,Via Guglielmo Marconi,primary,,False,True,163.15499999999997,"LINESTRING (11.9343493 45.3645484, 11.9341074 45.3646041, 11.9338598 45.3646862, 11.9332077 45.3650217, 11.9328035 45.3652169, 11.9326109 45.365341)",,,,
"[87548987, 87548989, 381434349, 381434331]",1,,"['Via Guglielmo Marconi', 'Via Pietro Mascagni']",residential,,False,False,214.312,"LINESTRING (11.9343493 45.3645484, 11.934367 45.3646096, 11.9343696 45.3646211, 11.9344179 45.3648745, 11.9343884 45.3648731, 11.9343469 45.3648237, 11.9343147 45.3647483, 11.9342852 45.3647012, 11.9342492 45.3646913, 11.9342235 45.3646843, 11.9341511 45.3647106, 11.934062 45.3647826, 11.9339248 45.3648449, 11.9338506 45.364884, 11.933451 45.3650668, 11.9330659 45.3652297, 11.9327198 45.3653529, 11.9326376 45.3653621, 11.9326109 45.365341)",,"['4', '3', '5', '2.5']",,
"[40872479, 40872535]",,,Via Leonardo da Vinci,unclassified,30,False,False,75.241,"LINESTRING (11.9355279 45.3643478, 11.9355233 45.3642442, 11.9355116 45.3639839, 11.9355049 45.3638454, 11.9354724 45.3636729)",,3,,
"[134768234, 40872508]",2,SS516,Via Roma,primary,,False,False,128.318,"LINESTRING (11.9355279 45.3643478, 11.9356266 45.3643208, 11.935731 45.3642843, 11.9358167 45.3642465, 11.9358894 45.3642067, 11.9360688 45.364092, 11.9362559 45.3639591, 11.9366093 45.3637028, 11.9367484 45.3635922)",,,,
"[30008988, 41506103, 146986543]",2,SS516,Via Roma,primary,,False,True,94.751,"LINESTRING (11.9355279 45.3643478, 11.9354722 45.3643562, 11.9351668 45.3644131, 11.9344787 45.3645274, 11.9343493 45.3645484)",yes,,,
40872443,,,Via Sant'Urbano,residential,,True,False,110.763,"LINESTRING (11.9353979 45.3653357, 11.9354573 45.3651261, 11.9355131 45.3649146, 11.9355296 45.3647646, 11.935533 45.3646174, 11.9355304 45.3644421, 11.9355299 45.3644116, 11.9355279 45.3643478)",,4,,
40872512,,,Via Sant'Urbano,residential,,False,False,108.17699999999999,"LINESTRING (11.9353979 45.3653357, 11.9354338 45.3653169, 11.935466 45.3652892, 11.9355277 45.3652147, 11.9355796 45.3651328, 11.935622 45.3650341, 11.9356691 45.3648931, 11.9356994 45.3648076, 11.9357121 45.3647214, 11.9357125 45.3645522, 11.9356964 45.3644402, 11.9356928 45.364415)",,3.5,,
