osmid,oneway,lanes,name,highway,maxspeed,access,reversed,length,geometry,bridge,ref
449093012,False,2,Via Pietro Nenni,tertiary,50,yes,False,21.824,"LINESTRING (9.1617919 39.2603617, 9.1619759 39.2602267)",,
931999251,True,,Via Venezia,residential,50,,False,6.784,"LINESTRING (9.1628185 39.2597892, 9.1627855 39.2597338)",,
27669191,True,,Via Venezia,residential,50,,False,110.46199999999999,"LINESTRING (9.1628185 39.2597892, 9.1628068 39.2598579, 9.1629495 39.2602967, 9.1630833 39.2607568)",,
"[1240591912, 931999249, 662358586]",True,2,Via Pietro Nenni,tertiary,50,yes,False,57.599000000000004,"LINESTRING (9.1628185 39.2597892, 9.16277 39.2598141, 9.1625194 39.2598618, 9.1624251 39.2599191, 9.1623084 39.2599915, 9.162233 39.260019)",yes,
278324078,False,,Via Palmiro Togliatti,residential,50,,True,120.05000000000001,"LINESTRING (9.161749 39.2612589, 9.1618887 39.2608762, 9.1620524 39.2604828, 9.1620549 39.26037, 9.1619759 39.2602267)",,
662358587,False,,Via Camillo Romagnino,residential,50,,False,53.291,"LINESTRING (9.1617955 39.2597082, 9.1621668 39.2600222, 9.1621949 39.2600283, 9.162233 39.260019)",,
27756670,False,,,secondary_link,50,,True,18.923,"LINESTRING (9.166945 39.2546588, 9.1671117 39.2545479)",,
662358585,False,,Via San Martino,tertiary,50,,True,192.761,"LINESTRING (9.166945 39.2546588, 9.1657617 39.2561304)",,
27669046,False,,,secondary,50,,False,44.444,"LINESTRING (9.166945 39.2546588, 9.1668505 39.2546158, 9.1667379 39.2545577, 9.1664916 39.2544697)",,
27669115,True,,Via Roma,secondary,50,,False,79.257,"LINESTRING (9.166945 39.2546588, 9.1671241 39.2547693, 9.1676216 39.2551412)",,SP15
36552348,False,2,Via Trieste,tertiary,50,yes,False,46.896,"LINESTRING (9.1664916 39.2544697, 9.1659837 39.2543174)",,
276934497,False,2,Via Istria,secondary,50,,False,14.433,"LINESTRING (9.1664916 39.2544697, 9.1663886 39.2543673)",,
27669046,False,,,secondary,50,,True,44.444,"LINESTRING (9.1664916 39.2544697, 9.1667379 39.2545577, 9.1668505 39.2546158, 9.166945 39.2546588)",,
36555645,True,,,tertiary,50,,False,54.236000000000004,"LINESTRING (9.1664916 39.2544697, 9.1667793 39.2545219, 9.1669086 39.2545375, 9.1671117 39.2545479)",,
27669278,False,,Via Calatafimi,residential,50,,True,181.699,"LINESTRING (9.1659837 39.2543174, 9.1648799 39.2557101)",,
36552348,False,2,Via Trieste,tertiary,50,yes,False,12.8,"LINESTRING (9.1659837 39.2543174, 9.1658445 39.254277)",,
36552348,False,2,Via Trieste,tertiary,50,yes,True,46.896,"LINESTRING (9.1659837 39.2543174, 9.1664916 39.2544697)",,
36552348,False,2,Via Trieste,tertiary,50,yes,False,60.702,"LINESTRING (9.1656439 39.2542187, 9.164984 39.2540266)",,
36552348,False,2,Via Trieste,tertiary,50,yes,True,18.449,"LINESTRING (9.1656439 39.2542187, 9.1658445 39.254277)",,
