osmid,highway,oneway,reversed,length,junction,geometry,name,ref,maxspeed
132919896,tertiary,False,False,3.852,,"LINESTRING (14.2652316 40.9573311, 14.2652595 40.9573036)",,,
1042891504,residential,True,False,9.280999999999999,roundabout,"LINESTRING (14.2718703 40.9537268, 14.2718594 40.9537447, 14.2718412 40.9537589, 14.2718179 40.9537678, 14.2717928 40.9537704, 14.2717861 40.9537695)",,,
1042891505,residential,False,False,97.57600000000001,,"LINESTRING (14.2718703 40.9537268, 14.2720567 40.9537603, 14.2724206 40.9538258, 14.2728742 40.9539092, 14.2729983 40.9539368)",,,
38477165,residential,False,True,68.392,,"LINESTRING (14.2707917 40.9566572, 14.2710074 40.9560641)",Via Giuseppe di Vittorio,,
511821036,residential,False,False,47.74,,"LINESTRING (14.2707917 40.9566572, 14.2706119 40.9570645)",Via Giuseppe di Vittorio,,
38524119,residential,False,True,117.148,,"LINESTRING (14.2707917 40.9566572, 14.2710914 40.9567757, 14.2712621 40.9568761, 14.2717669 40.9573835)",Via Firenze,,
132919893,residential,False,True,145.995,,"LINESTRING (14.2707917 40.9566572, 14.2707028 40.9566119, 14.2697694 40.956229, 14.269272 40.9560202)",,,
38524118,residential,False,True,103.273,,"LINESTRING (14.2706119 40.9570645, 14.2717669 40.9573835)",Via Firenze,,
511821036,residential,False,False,69.123,,"LINESTRING (14.2706119 40.9570645, 14.2703209 40.957646)",Via Giuseppe di Vittorio,,
511821036,residential,False,True,47.74,,"LINESTRING (14.2706119 40.9570645, 14.2707917 40.9566572)",Via Giuseppe di Vittorio,,
38477165,residential,False,False,43.643,,"LINESTRING (14.2711625 40.9556895, 14.2710074 40.9560641)",Via Giuseppe di Vittorio,,
38477165,residential,False,True,67.458,,"LINESTRING (14.2711625 40.9556895, 14.2713633 40.9551021)",Via Giuseppe di Vittorio,,
38524120,residential,False,True,96.917,,"LINESTRING (14.2711625 40.9556895, 14.271772 40.9558045, 14.2716334 40.9561876)",Via Genova,,
