osmid,lanes,ref,name,highway,junction,oneway,reversed,length,geometry,maxspeed,bridge
23595269,1,SP46,Rotatoria n° 60 Isola Vicentina,primary,roundabout,True,False,17.198,"LINESTRING (11.4455921 45.6278443, 11.4455472 45.6278217, 11.4455148 45.6277904, 11.445498 45.6277536, 11.4454987 45.6277149)",,
23595271,2,SP46,,primary,,True,False,41.48800000000001,"LINESTRING (11.4455921 45.6278443, 11.4453828 45.6278625, 11.445297 45.627869, 11.445128 45.6279009, 11.4450689 45.6279122)",50,
23595269,1,SP46,Rotatoria n° 60 Isola Vicentina,primary,roundabout,True,False,13.834,"LINESTRING (11.4457276 45.6276212, 11.4457673 45.6276352, 11.4458006 45.6276558, 11.4458253 45.6276817, 11.4458398 45.6277111)",,
23595274,1,SP46,Via Arasella,primary,,True,False,43.80200000000001,"LINESTRING (11.4457276 45.6276212, 11.4458294 45.6275905, 11.4459931 45.627534, 11.4462304 45.6274441)",50,
23595269,1,SP46,Rotatoria n° 60 Isola Vicentina,primary,roundabout,True,False,11.605,"LINESTRING (11.4457372 45.6278476, 11.4456885 45.6278564, 11.4456383 45.6278551, 11.4455921 45.6278443)",,
23595272,1,SP46,,primary,,True,False,53.013999999999996,"LINESTRING (11.4449067 45.6279431, 11.4451052 45.6278615, 11.4452742 45.6278099, 11.445415 45.6277705, 11.4454987 45.6277149)",50,
133050113,2,SP46,Via Guglielmo Marconi,primary,,False,True,156.65200000000002,"LINESTRING (11.4449067 45.6279431, 11.4448303 45.6279712, 11.4447247 45.6280087, 11.4446385 45.6280406, 11.4437566 45.6284073, 11.4433348 45.62859, 11.4431712 45.6286577)",50,
"[192633266, 23595270]",2,SP46,"['Via Arasella', 'Via Europa']",primary,,False,False,214.54999999999998,"LINESTRING (11.4462304 45.6274441, 11.4464191 45.6273189, 11.4466963 45.6270789, 11.4469457 45.6268172, 11.4472988 45.6264575, 11.4476679 45.6260966, 11.447872 45.625898)",50,
23595273,1,SP46,Via Arasella,primary,,True,False,42.691,"LINESTRING (11.4462304 45.6274441, 11.4461399 45.6275191, 11.4460413 45.6275745, 11.4459273 45.6276374, 11.4458398 45.6277111)",50,
352527913,,,Via Zanettin,residential,,False,False,234.38000000000002,"LINESTRING (11.439603 45.626752, 11.4396062 45.6267697, 11.4396474 45.6270018, 11.4396572 45.6272979, 11.439638 45.6274134, 11.4396034 45.6276046, 11.4395975 45.6277748, 11.4396316 45.6278959, 11.4398969 45.6282291, 11.4400496 45.6284165, 11.4402251 45.6286127, 11.4403286 45.6287192)",,
352527913,,,Via Zanettin,residential,,False,False,14.911,"LINESTRING (11.4403286 45.6287192, 11.440359 45.6288516)",,
55751411,,,Via del Convento,unclassified,,False,False,188.332,"LINESTRING (11.4403286 45.6287192, 11.4403134 45.6286335, 11.4402404 45.6285393, 11.4399277 45.6281282, 11.4398872 45.6280047, 11.4398985 45.6279166, 11.4399429 45.6278264, 11.4400019 45.6277673, 11.4400982 45.6277015, 11.4402513 45.6276447, 11.4404496 45.6276071, 11.4406042 45.6276124, 11.4407543 45.6276429, 11.4408532 45.6276728)",,
