osmid,name,highway,oneway,reversed,length,geometry,junction,bridge,maxspeed,lanes
112472092,Via Champigny sur Marne,tertiary,False,False,4.732,"LINESTRING (10.4291897 43.3951182, 10.4291679 43.3951577)",,,,
"[23526884, 600730967]",Via Arrigo Boito,residential,True,False,94.997,"LINESTRING (10.4291897 43.3951182, 10.4291887 43.3950846, 10.4291869 43.3950192, 10.429319 43.3947228, 10.4287564 43.3945502)",,,,
"[611227913, 112472092]",Via Champigny sur Marne,tertiary,False,"[False, True]",39.339999999999996,"LINESTRING (10.4291897 43.3951182, 10.4292096 43.3950922, 10.4294021 43.3947999)",,,,
112472092,Via Champigny sur Marne,tertiary,False,True,25.91,"LINESTRING (10.4291255 43.3953872, 10.4291317 43.3952567, 10.4291679 43.3951577)",,,,
197939619,Via Champigny sur Marne,unclassified,True,False,49.89300000000001,"LINESTRING (10.4291255 43.3953872, 10.4291523 43.3954798, 10.4291888 43.3955901, 10.4292263 43.3956795, 10.429258 43.3957192, 10.4292963 43.3957695, 10.4293255 43.3958078)",,,,
22726439,,tertiary,True,False,24.521,"LINESTRING (10.4290413 43.3960226, 10.4290167 43.3959823, 10.4290088 43.3959386, 10.4290183 43.395895, 10.4290446 43.3958553, 10.4290853 43.3958225)",roundabout,,,
26717758,Via della Cava,tertiary,False,True,131.566,"LINESTRING (10.4302385 43.3961778, 10.4305703 43.3962577, 10.4317825 43.3965537)",,yes,,
127639759,Via della Cava,tertiary,True,False,71.74300000000001,"LINESTRING (10.4302385 43.3961778, 10.4300549 43.3961565, 10.4296558 43.3960713, 10.4295116 43.3960558, 10.4294059 43.3960499, 10.4293718 43.3960474)",,,,
22726445,Via della Cava,tertiary,True,False,16.691000000000003,"LINESTRING (10.4354136 43.3973107, 10.435419 43.3973606, 10.4354055 43.3974097, 10.4353742 43.3974542)",roundabout,,,
22726446,Via della Cava,tertiary,True,False,20.252000000000002,"LINESTRING (10.4354136 43.3973107, 10.4355212 43.3973547, 10.4356399 43.3973879)",,,,
197939662,Via della Cava,tertiary,False,True,43.647,"LINESTRING (10.4356399 43.3973879, 10.4361732 43.3974505)",,,,
31265905,Via della Cava,tertiary,True,False,22.721,"LINESTRING (10.4356399 43.3973879, 10.4355447 43.397407, 10.4353742 43.3974542)",,,,
257158011,Via Lungomonte,tertiary,False,False,72.433,"LINESTRING (10.4387204 43.3998124, 10.4395451 43.3995569)",,,,
22726450,,tertiary,False,False,33.896,"LINESTRING (10.4289532 43.3965232, 10.4287864 43.3968029)",,,,
22726412,,tertiary,True,False,57.09700000000001,"LINESTRING (10.4289532 43.3965232, 10.4289881 43.3963942, 10.4290544 43.3962532, 10.4290707 43.3961841, 10.4290552 43.3960985, 10.4290413 43.3960226)",,,,
197939662,Via della Cava,tertiary,False,False,82.749,"LINESTRING (10.437867 43.3975911, 10.436849 43.3975094)",,,,
197939662,Via della Cava,tertiary,False,True,7.447,"LINESTRING (10.437867 43.3975911, 10.4379585 43.3975992)",,,,
22726419,Via Oreste Lizzadri,unclassified,True,False,205.825,"LINESTRING (10.437867 43.3975911, 10.4375488 43.3980415, 10.4373508 43.3982969, 10.4377561 43.3987582, 10.4381296 43.3991833)",,,,
31265903,Via della Cava,tertiary,False,False,11.672,"LINESTRING (10.4339726 43.3970518, 10.4338368 43.397016)",,,,
22755816,Via della Cava,tertiary,True,False,88.29899999999999,"LINESTRING (10.4339726 43.3970518, 10.4345533 43.3971617, 10.4347854 43.3972034, 10.4348997 43.3972051, 10.4350383 43.3971943)",,,,
22726439,,tertiary,True,False,8.722,"LINESTRING (10.4293718 43.3960474, 10.4293296 43.3960719, 10.4292803 43.3960878)",roundabout,,,
22726450,,tertiary,False,True,33.896,"LINESTRING (10.4287864 43.3968029, 10.4289532 43.3965232)",,,,
22726424,Via G. Berti Mantellassi,tertiary,True,False,13.054,"LINESTRING (10.4287864 43.3968029, 10.4288279 43.3968279, 10.428857 43.3968608, 10.4288708 43.3968986)",roundabout,,,
22726445,Via della Cava,tertiary,True,False,43.881,"LINESTRING (10.4353742 43.3974542, 10.4353186 43.3974958, 10.4352479 43.3975227, 10.4351691 43.397532, 10.4350903 43.3975228, 10.4350267 43.3974999, 10.4349745 43.3974649, 10.4349338 43.3974133)",roundabout,,,
22726424,Via G. Berti Mantellassi,tertiary,True,False,13.244,"LINESTRING (10.4287714 43.3970269, 10.4287189 43.397038, 10.4286643 43.3970367, 10.4286129 43.3970233)",roundabout,,,
22726409,,tertiary,True,False,55.406,"LINESTRING (10.4292803 43.3960878, 10.4291773 43.3961876, 10.4291082 43.3962964, 10.4290467 43.3964039, 10.4289532 43.3965232)",,,,
22726439,,tertiary,True,False,22.051000000000002,"LINESTRING (10.4292803 43.3960878, 10.4292126 43.3960941, 10.4291457 43.3960844, 10.4290866 43.3960597, 10.4290413 43.3960226)",roundabout,,,
850955998,Vecchia Aurelia,secondary,True,False,8.809999999999999,"LINESTRING (10.4310606 43.3962562, 10.4310588 43.3962298, 10.4310669 43.396204, 10.4310843 43.3961809)",roundabout,,,
22726424,Via G. Berti Mantellassi,tertiary,True,False,17.498,"LINESTRING (10.4285835 43.3968156, 10.4286296 43.3967949, 10.4286821 43.3967855, 10.4287361 43.3967883, 10.4287864 43.3968029)",roundabout,,,
22726405,Via della Cava,tertiary,True,False,75.828,"LINESTRING (10.4294075 43.3958702, 10.4295577 43.3959454, 10.4297126 43.3960025, 10.4301093 43.3961111, 10.4302385 43.3961778)",,,,
22726439,,tertiary,True,False,21.175,"LINESTRING (10.4294075 43.3958702, 10.4294282 43.3959154, 10.4294289 43.395963, 10.4294095 43.3960084, 10.4293718 43.3960474)",roundabout,,,
850956001,Vecchia Aurelia,secondary,False,True,26.814,"LINESTRING (10.4310165 43.3965311, 10.4308433 43.3967368)",,,,
51701788,Vecchia Aurelia,secondary,True,False,30.947000000000003,"LINESTRING (10.4310165 43.3965311, 10.4310535 43.396416, 10.4310628 43.3963381, 10.4310606 43.3962562)",,,,
22726424,Via G. Berti Mantellassi,tertiary,True,False,27.143,"LINESTRING (10.4286129 43.3970233, 10.4285688 43.3969982, 10.4285379 43.3969643, 10.4285233 43.396925, 10.4285265 43.3968844, 10.4285473 43.3968466, 10.4285835 43.3968156)",roundabout,,,
22726444,Vecchia Aurelia,secondary,True,False,12.066,"LINESTRING (10.431223 43.3961444, 10.4312576 43.3961545, 10.4312871 43.3961712, 10.431309 43.3961932, 10.4313216 43.3962187)",roundabout,,,
197939557,Vecchia Aurelia,secondary,True,False,19.858999999999998,"LINESTRING (10.431223 43.3961444, 10.4312872 43.3961248, 10.4313598 43.3960913, 10.4314213 43.3960434)",,,,
850956000,Vecchia Aurelia,secondary,True,False,5.372999999999999,"LINESTRING (10.4313216 43.3962187, 10.4313241 43.3962428, 10.4313184 43.3962666)",roundabout,,,
160403983,,residential,False,False,31.086,"LINESTRING (10.4313184 43.3962666, 10.4316499 43.3964085)",,,,
850955999,Vecchia Aurelia,secondary,True,False,6.332000000000001,"LINESTRING (10.4313184 43.3962666, 10.4313016 43.3962923, 10.4312751 43.3963133)",roundabout,,,
22901621,Vecchia Aurelia,secondary,True,False,32.198,"LINESTRING (10.4312751 43.3963133, 10.4311841 43.3963731, 10.4310955 43.3964409, 10.4310165 43.3965311)",,,,
"[850955998, 850955999]",Vecchia Aurelia,secondary,True,False,22.090999999999998,"LINESTRING (10.4312751 43.3963133, 10.4312353 43.3963295, 10.4311904 43.3963349, 10.4311455 43.396329, 10.431106 43.3963124, 10.4310766 43.3962872, 10.4310606 43.3962562)",roundabout,,,
22901622,Vecchia Aurelia,secondary,True,False,19.408,"LINESTRING (10.4304592 43.3971108, 10.4303205 43.3972533)",,,,
