osmid,ref,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,junction
216993634,A18,7th Street,trunk,False,False,7.615,,,"LINESTRING (29.816446 -19.457186, 29.8163753 -19.4571703)",
216993634,A18,7th Street,trunk,False,True,209.167,,,"LINESTRING (29.816446 -19.457186, 29.818395 -19.4575877)",
26815312,R2,Lobengula Avenue,trunk,True,False,123.612,2,120,"LINESTRING (29.816446 -19.457186, 29.8163172 -19.4577508, 29.8161946 -19.4582721)",
27360064,,8th Street,residential,False,False,113.046,,,"LINESTRING (29.8161946 -19.4582721, 29.8172422 -19.4585127)",
27360064,,8th Street,residential,False,True,8.298,,,"LINESTRING (29.8161946 -19.4582721, 29.8161191 -19.4582497)",
26815312,R2,Lobengula Avenue,trunk,True,False,129.347,2,120,"LINESTRING (29.8161946 -19.4582721, 29.8160526 -19.4588597, 29.8159197 -19.4594061)",
216993636,,9th Street,residential,False,False,115.128,,,"LINESTRING (29.8159197 -19.4594061, 29.8169939 -19.4596209)",
216993636,,9th Street,residential,False,True,9.47,,,"LINESTRING (29.8159197 -19.4594061, 29.815832 -19.4593857)",
27358977,,,residential,True,False,149.324,,,"LINESTRING (29.8215602 -19.4661243, 29.8216052 -19.4659164, 29.8218765 -19.464815)",
27358959,,,residential,False,False,12.896,,,"LINESTRING (29.8221785 -19.4635955, 29.8222974 -19.4636252)",
27358977,,,residential,True,False,136.69,,,"LINESTRING (29.8221785 -19.4635955, 29.8224675 -19.4623968)",
27358956,,,residential,False,False,12.756,,,"LINESTRING (29.8224675 -19.4623968, 29.8225862 -19.462422)",
27358977,,,residential,True,False,136.338,,,"LINESTRING (29.8224675 -19.4623968, 29.8227558 -19.4612012)",
27358957,,,residential,False,False,13.883,,,"LINESTRING (29.8227558 -19.4612012, 29.8228852 -19.4612277)",
27358977,,,residential,True,False,132.03199999999998,,,"LINESTRING (29.8227558 -19.4612012, 29.8229536 -19.4603515, 29.8230405 -19.4600448)",
27358976,,,residential,False,False,13.554,,,"LINESTRING (29.8230405 -19.4600448, 29.8231662 -19.4600733)",
27358977,,,residential,True,False,107.27000000000001,,,"LINESTRING (29.8230405 -19.4600448, 29.8231407 -19.4598052, 29.8232641 -19.4596155, 29.8234257 -19.4594265, 29.8236104 -19.4592587)",
