osmid,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,junction,name
28017511,residential,False,False,61.845,,,,"LINESTRING (29.6813913 -16.8165843, 29.6816656 -16.816094)",,
217420250,trunk,False,True,221.20399999999998,2,A1,120,"LINESTRING (29.6813913 -16.8165843, 29.6815489 -16.8166742, 29.6832199 -16.8175292)",,
28017342,tertiary,True,False,31.86,,,,"LINESTRING (29.6855637 -16.8187483, 29.685423 -16.8190012)",,
217420250,trunk,False,False,12.082,2,A1,120,"LINESTRING (29.6855637 -16.8187483, 29.6854649 -16.8186948)",,
217420250,trunk,False,True,183.582,2,A1,120,"LINESTRING (29.6855637 -16.8187483, 29.6870595 -16.8195703)",,
28017653,residential,False,False,16.589,,,,"LINESTRING (29.6877803 -16.8199385, 29.6876992 -16.8200659)",,
217420250,trunk,False,False,77.758,2,A1,120,"LINESTRING (29.6877803 -16.8199385, 29.6871379 -16.8196055)",,
217420250,trunk,False,True,252.29,2,A1,120,"LINESTRING (29.6832199 -16.8175292, 29.6853017 -16.818614)",,
518899168,residential,False,True,18.714,,,,"LINESTRING (29.6832199 -16.8175292, 29.6831462 -16.817682)",,
217420250,trunk,False,False,221.20399999999998,2,A1,120,"LINESTRING (29.6832199 -16.8175292, 29.6815489 -16.8166742, 29.6813913 -16.8165843)",,
28017511,residential,False,True,61.845,,,,"LINESTRING (29.6816656 -16.816094, 29.6813913 -16.8165843)",,
28017380,residential,False,False,54.298,,,,"LINESTRING (29.6878996 -16.8181471, 29.6876523 -16.8185742)",,
518899167,residential,False,True,68.225,,,,"LINESTRING (29.6878996 -16.8181471, 29.6876677 -16.8175751)",,
217420250,trunk,False,False,9.217,2,A1,120,"LINESTRING (29.6871379 -16.8196055, 29.6870595 -16.8195703)",,
217420250,trunk,False,True,77.758,2,A1,120,"LINESTRING (29.6871379 -16.8196055, 29.6877803 -16.8199385)",,
667365254,residential,True,False,25.656,,,,"LINESTRING (29.6871379 -16.8196055, 29.6872389 -16.819396)",,
217420250,trunk,False,False,252.29,2,A1,120,"LINESTRING (29.6853017 -16.818614, 29.6832199 -16.8175292)",,
217420250,trunk,False,True,19.557,2,A1,120,"LINESTRING (29.6853017 -16.818614, 29.6854649 -16.8186948)",,
"[518899167, 28017503]",residential,False,False,468.07599999999996,,,,"LINESTRING (29.6853017 -16.818614, 29.6856943 -16.8177487, 29.686043 -16.817058, 29.6864158 -16.8163674, 29.6869871 -16.8167808, 29.6873009 -16.8170555, 29.687523 -16.8173263, 29.6876677 -16.8175751)",,
518899167,residential,False,False,68.225,,,,"LINESTRING (29.6876677 -16.8175751, 29.6878996 -16.8181471)",,
"[28017503, 518899167]",residential,False,True,468.076,,,,"LINESTRING (29.6876677 -16.8175751, 29.687523 -16.8173263, 29.6873009 -16.8170555, 29.6869871 -16.8167808, 29.6864158 -16.8163674, 29.686043 -16.817058, 29.6856943 -16.8177487, 29.6853017 -16.818614)",,
28017671,residential,False,False,279.122,,,,"LINESTRING (29.6808743 -16.8216949, 29.683169 -16.82291)",,
28017671,residential,False,True,161.042,,,,"LINESTRING (29.6808743 -16.8216949, 29.6795438 -16.8210053)",,
518899168,residential,False,False,316.971,,,,"LINESTRING (29.6808743 -16.8216949, 29.6818208 -16.8200107, 29.6822949 -16.8191896)",,
28017671,residential,False,False,161.042,,,,"LINESTRING (29.6795438 -16.8210053, 29.6808743 -16.8216949)",,
28017338,tertiary,True,False,21.63,,,,"LINESTRING (29.6851533 -16.8190458, 29.6852164 -16.8189696, 29.6853151 -16.8189464)",roundabout,
518899170,residential,False,True,270.834,,,,"LINESTRING (29.6851533 -16.8190458, 29.6850559 -16.8189426, 29.685013 -16.818845, 29.6849634 -16.8186743, 29.6849272 -16.8186114, 29.6831462 -16.817682)",,
28017340,tertiary,True,False,32.201,,,,"LINESTRING (29.6853151 -16.8189464, 29.6854649 -16.8186948)",,
28017338,tertiary,True,False,13.265,,,,"LINESTRING (29.6853151 -16.8189464, 29.6853748 -16.8189633, 29.685423 -16.8190012)",roundabout,
28017338,tertiary,True,False,21.055,,,,"LINESTRING (29.685423 -16.8190012, 29.685453 -16.8190574, 29.6854563 -16.8191204, 29.6854322 -16.8191792)",roundabout,
28017338,tertiary,True,False,11.815999999999999,,,,"LINESTRING (29.6854322 -16.8191792, 29.6853938 -16.8192176, 29.6853439 -16.8192408)",roundabout,
28017656,residential,False,True,149.15,,,,"LINESTRING (29.6854322 -16.8191792, 29.6855064 -16.8192068, 29.6856326 -16.8191981, 29.6858069 -16.819139, 29.6859384 -16.8191351, 29.6867174 -16.8195242)",,
28016280,tertiary,True,False,85.368,,,,"LINESTRING (29.6853439 -16.8192408, 29.6849536 -16.8199115)",,
28017338,tertiary,True,False,23.529,,,,"LINESTRING (29.6853439 -16.8192408, 29.6852703 -16.8192435, 29.6852035 -16.8192138, 29.6851582 -16.8191581)",roundabout,
