osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,bridge,geometry,junction,tunnel,access
"[7338104, 7338114, 7338096]",True,2,N3,Rondweg,trunk,100,False,842.219,yes,"LINESTRING (4.6751403 51.7927866, 4.6755145 51.7930911, 4.6762274 51.7936096, 4.6767548 51.7939648, 4.6773407 51.7943326, 4.6779586 51.7946959, 4.6785124 51.7949976, 4.6790488 51.7952755, 4.6796688 51.7955672, 4.6801765 51.7957998, 4.6808485 51.7960855, 4.6818329 51.7964525, 4.6829201 51.7968333, 4.6839226 51.797114, 4.6847329 51.7973525)",,,
"[7338116, 321031276, 1120373049, 1120373054, 1120373055]",True,"['1', '2', '3']",N3,,trunk_link,"['50', '100']",False,378.35999999999996,,"LINESTRING (4.6751403 51.7927866, 4.6753862 51.7929011, 4.6756443 51.7930795, 4.6761136 51.7933749, 4.6767786 51.7937539, 4.6770234 51.7938792, 4.6772685 51.7939953, 4.6783066 51.7944585, 4.67863 51.7946075, 4.6787648 51.7946713, 4.6792862 51.7949094, 4.6793701 51.7949486)",,,
430578711,True,,,,tertiary,50,False,12.833,,"LINESTRING (4.6832229 51.7935041, 4.6832736 51.7935525, 4.6832963 51.7936085)",roundabout,,
430578733,True,,,,tertiary,50,False,25.625999999999998,,"LINESTRING (4.6828808 51.793466, 4.6829509 51.7934504, 4.6830252 51.7934466, 4.6830985 51.7934547, 4.6831314 51.7934643, 4.683166 51.7934744, 4.6832229 51.7935041)",roundabout,,
305480713,True,,,,tertiary,50,False,7.247,,"LINESTRING (4.6827397 51.7935694, 4.6827896 51.793512)",roundabout,,
7338022,True,,,Karel Lotsyweg,unclassified,50,False,124.895,,"LINESTRING (4.6827397 51.7935694, 4.6826597 51.7934919, 4.6815981 51.7928456, 4.6814725 51.7927678)",,,
305480712,True,,,,tertiary,50,False,41.47200000000001,,"LINESTRING (4.6832963 51.7936085, 4.6832911 51.7936593, 4.6832628 51.7937071, 4.6832136 51.7937478, 4.6831476 51.7937783, 4.6830704 51.7937958, 4.6829747 51.7937981, 4.6828831 51.7937806)",roundabout,,
"[698137657, 698137033, 7338037]",True,"['3', '5']",,Overkampweg,tertiary,50,False,173.975,,"LINESTRING (4.6828831 51.7937806, 4.6827747 51.793866, 4.6821566 51.7942064, 4.6819066 51.7943373, 4.6818053 51.7943903, 4.6815934 51.7944801, 4.6813406 51.7945805, 4.680921 51.7947587)",,,
305480714,True,,,,tertiary,50,False,16.097,,"LINESTRING (4.6828831 51.7937806, 4.6827916 51.7937355, 4.6827372 51.7936714)",roundabout,,
7337781,False,,,Laan der Verenigde Naties,residential,,False,162.222,,"LINESTRING (4.6757771 51.7945061, 4.6759678 51.7944428, 4.676312 51.7947278, 4.6764688 51.7948816, 4.6767971 51.7951195, 4.6772984 51.795479)",,,
