osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,access
6958110,Evertsenlaan,residential,30,False,False,55.989,"LINESTRING (5.6012633 52.1828552, 5.6009041 52.183308)",,,
48611390,G.H. Roeterdinkstraat,residential,30,False,False,50.037,"LINESTRING (5.6109606 52.1831093, 5.6111437 52.1829165, 5.6112818 52.182706)",,,
1208500907,G.H. Roeterdinkstraat,residential,30,False,True,127.132,"LINESTRING (5.6109606 52.1831093, 5.6105382 52.1833657, 5.610521 52.1834133, 5.6104708 52.1835766, 5.6103988 52.1837316, 5.6103675 52.1837611, 5.6103015 52.1838401, 5.6102218 52.1839199, 5.6100258 52.1840609)",,,
1208500909,G.H. Roeterdinkstraat,residential,30,False,False,129.197,"LINESTRING (5.6109606 52.1831093, 5.6118764 52.1834045, 5.6119371 52.1834215, 5.6121146 52.183531, 5.6125095 52.1836538, 5.6125791 52.183697)",,,
6958110,Evertsenlaan,residential,30,False,False,91.111,"LINESTRING (5.6009041 52.183308, 5.6003171 52.1840441)",,,
6958110,Evertsenlaan,residential,30,False,True,55.989,"LINESTRING (5.6009041 52.183308, 5.6012633 52.1828552)",,,
6958165,Irenelaan,residential,30,False,False,90.596,"LINESTRING (5.6125791 52.183697, 5.61332 52.18377, 5.61358 52.18384, 5.6138 52.18396)",,,
6958480,Bakkersweg,unclassified,30,False,False,110.455,"LINESTRING (5.6125791 52.183697, 5.6123737 52.1839439, 5.6118221 52.1845752)",,,
1208500909,G.H. Roeterdinkstraat,residential,30,False,True,129.197,"LINESTRING (5.6125791 52.183697, 5.6125095 52.1836538, 5.6121146 52.183531, 5.6119371 52.1834215, 5.6118764 52.1834045, 5.6109606 52.1831093)",,,
6958009,Margrietlaan,residential,30,False,False,123.979,"LINESTRING (5.6138 52.18396, 5.6127825 52.1848841)",,,
6958165,Irenelaan,residential,30,False,True,90.596,"LINESTRING (5.6138 52.18396, 5.61358 52.18384, 5.61332 52.18377, 5.6125791 52.183697)",,,
6958110,Evertsenlaan,residential,30,False,True,9.62,"LINESTRING (5.6002515 52.1841207, 5.6003171 52.1840441)",,,
1208487115,Noordersingel,residential,30,False,False,9.141,"LINESTRING (5.6002515 52.1841207, 5.6001996 52.1841965)",,,
1208487110,Hoofdstraat,tertiary,50,False,False,135.299,"LINESTRING (5.6002515 52.1841207, 5.6013104 52.1844906, 5.6015752 52.1845919, 5.6019501 52.1847486)",2,,
6958173,Bakkersweg,residential,30,False,False,181.913,"LINESTRING (5.6091385 52.1842388, 5.6097096 52.1843044, 5.6099308 52.1843282, 5.6101396 52.1843648, 5.610653 52.1844427, 5.6111115 52.1845379, 5.61163 52.18476)",,,
519138525,Baron van Nagellstraat,tertiary,50,False,False,26.678,"LINESTRING (5.6029616 52.1842887, 5.6031026 52.1845125)",2,,
6958068,Van den Berglaan,residential,30,False,False,31.657,"LINESTRING (5.60688 52.18444, 5.60688 52.1847247)",,,
6958161,Beatrixlaan,residential,30,False,False,257.794,"LINESTRING (5.60688 52.18444, 5.6032616 52.184494, 5.6031026 52.1845125)",,,
519138525,Baron van Nagellstraat,tertiary,50,False,True,26.678,"LINESTRING (5.6031026 52.1845125, 5.6029616 52.1842887)",2,,
6958161,Beatrixlaan,residential,30,False,True,257.794,"LINESTRING (5.6031026 52.1845125, 5.6032616 52.184494, 5.60688 52.18444)",,,
"[731164227, 519138525]",Baron van Nagellstraat,tertiary,"['50', '30']",False,False,48.878,"LINESTRING (5.6031026 52.1845125, 5.6033337 52.1848077, 5.6034082 52.1849101)",2,,
6958480,Bakkersweg,unclassified,30,False,False,24.368,"LINESTRING (5.6118221 52.1845752, 5.61163 52.18476)",,,
6958011,Marijkelaan,residential,30,False,False,74.054,"LINESTRING (5.6118221 52.1845752, 5.6126187 52.1848152, 5.6127825 52.1848841)",,,
6958480,Bakkersweg,unclassified,30,False,True,110.455,"LINESTRING (5.6118221 52.1845752, 5.6123737 52.1839439, 5.6125791 52.183697)",,,
183535399,Dwarsweg,residential,30,True,False,11.353,"LINESTRING (5.6019501 52.1847486, 5.6020278 52.1846583)",,,
731164233,Hoofdstraat,tertiary,30,False,False,15.713,"LINESTRING (5.6019501 52.1847486, 5.6021358 52.1848323)",2,,
1208487110,Hoofdstraat,tertiary,50,False,True,135.299,"LINESTRING (5.6019501 52.1847486, 5.6015752 52.1845919, 5.6013104 52.1844906, 5.6002515 52.1841207)",2,,
6958480,Bakkersweg,unclassified,30,False,True,24.368,"LINESTRING (5.61163 52.18476, 5.6118221 52.1845752)",,,
6958173,Bakkersweg,residential,30,False,True,181.91299999999998,"LINESTRING (5.61163 52.18476, 5.6111115 52.1845379, 5.610653 52.1844427, 5.6101396 52.1843648, 5.6099308 52.1843282, 5.6097096 52.1843044, 5.6091385 52.1842388)",,,
6958480,Bakkersweg,unclassified,30,False,False,168.572,"LINESTRING (5.61163 52.18476, 5.61146 52.18493, 5.6104778 52.1857193, 5.6102011 52.1859951)",,,
6958009,Margrietlaan,residential,30,False,True,123.979,"LINESTRING (5.6127825 52.1848841, 5.6138 52.18396)",,,
6958011,Marijkelaan,residential,30,False,False,47.288000000000004,"LINESTRING (5.6127825 52.1848841, 5.6130985 52.1851195, 5.6131934 52.1852249)",,,
6958011,Marijkelaan,residential,30,False,True,74.054,"LINESTRING (5.6127825 52.1848841, 5.6126187 52.1848152, 5.6118221 52.1845752)",,,
731164231,Hoofdstraat,tertiary,30,True,False,13.77,"LINESTRING (5.6021358 52.1848323, 5.6023166 52.1848875)",1,,
731164233,Hoofdstraat,tertiary,30,False,True,15.713,"LINESTRING (5.6021358 52.1848323, 5.6019501 52.1847486)",2,,
6958011,Marijkelaan,residential,30,False,True,47.288000000000004,"LINESTRING (5.6131934 52.1852249, 5.6130985 52.1851195, 5.6127825 52.1848841)",,,
6958093,Molenpark,residential,30,False,False,141.973,"LINESTRING (5.6131934 52.1852249, 5.6132562 52.1853216, 5.6133295 52.1854486, 5.6133133 52.18592, 5.6133303 52.1859822, 5.6133657 52.1860059, 5.6140272 52.1860165, 5.6141339 52.1860211)",,,
6958448,Molenweg,tertiary,50,False,False,189.973,"LINESTRING (5.6131934 52.1852249, 5.6124149 52.1854811, 5.6118155 52.1857387, 5.6109599 52.1862289)",2,,
