osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction
"[33223217, 483642467, 33223213]",Renaissancelaan,residential,30,False,False,178.90800000000002,"LINESTRING (4.6446723 52.1143831, 4.6450623 52.1142886, 4.6454352 52.1141997, 4.6455597 52.1141852, 4.6457661 52.1141955, 4.6469581 52.1143634, 4.6471974 52.1143928)",yes,
483642467,Renaissancelaan,residential,30,False,True,211.935,"LINESTRING (4.6446723 52.1143831, 4.6433091 52.1147714, 4.6419202 52.1152605)",,
32981708,Kooikerstraat,residential,30,False,False,49.85,"LINESTRING (4.6401185 52.1160222, 4.6405514 52.1163832)",,
150783749,Wagenburg,living_street,15,False,False,135.338,"LINESTRING (4.6401185 52.1160222, 4.6400191 52.1159482, 4.6399601 52.1159219, 4.6398904 52.1159219, 4.6398287 52.11594, 4.6392467 52.1162348, 4.6391058 52.1163655, 4.6390294 52.1164918, 4.6390333 52.1165315, 4.6390763 52.1165698, 4.6391394 52.1165873, 4.6393149 52.1165955)",,
483642468,Renaissancelaan,residential,30,False,True,87.565,"LINESTRING (4.6401185 52.1160222, 4.639507 52.1163099, 4.6393869 52.1164153, 4.6393397 52.116513, 4.6393149 52.1165955)",,
"[32981704, 483642467, 483642468]",Renaissancelaan,residential,30,False,False,149.436,"LINESTRING (4.6401185 52.1160222, 4.641153 52.1155592, 4.6413025 52.115501, 4.6416105 52.1153811, 4.6419202 52.1152605)",yes,
32981708,Kooikerstraat,residential,30,False,True,49.85,"LINESTRING (4.6405514 52.1163832, 4.6401185 52.1160222)",,
150783743,Kooikerstraat,residential,30,False,False,11.137,"LINESTRING (4.6405514 52.1163832, 4.640637 52.1163635, 4.640707 52.116373)",,
788070644,Kooikerstraat,residential,30,False,True,12.086,"LINESTRING (4.6405514 52.1163832, 4.6404963 52.1164293, 4.6404971 52.1164808)",,
33186131,Eendenkooi,living_street,15,False,True,62.539,"LINESTRING (4.6422909 52.1172438, 4.6426367 52.1171052, 4.6429302 52.1169848, 4.643055 52.1169337)",,
788070645,Eendenkooi,residential,30,False,True,145.689,"LINESTRING (4.6422909 52.1172438, 4.6416307 52.1168379, 4.641588 52.1168115, 4.6411207 52.1165565, 4.6410393 52.1165164, 4.6407876 52.1163922, 4.640707 52.116373)",,
32981712,Eendenkooi,residential,30,False,True,139.035,"LINESTRING (4.6404971 52.1164808, 4.6405097 52.1165237, 4.6405296 52.1165629, 4.6406648 52.1166973, 4.6407591 52.116791, 4.6410332 52.1170445, 4.6411035 52.1171046, 4.641281 52.1172564, 4.6415991 52.1175254)",,
32981714,Kooikerstraat,living_street,15,False,True,71.853,"LINESTRING (4.6404971 52.1164808, 4.6402421 52.1166033, 4.6399112 52.1167612, 4.639745 52.1168421, 4.639672 52.1168817)",,
788070644,Kooikerstraat,residential,30,False,False,12.086,"LINESTRING (4.6404971 52.1164808, 4.6404963 52.1164293, 4.6405514 52.1163832)",,
32981714,Kooikerstraat,living_street,15,False,False,71.853,"LINESTRING (4.639672 52.1168817, 4.639745 52.1168421, 4.6399112 52.1167612, 4.6402421 52.1166033, 4.6404971 52.1164808)",,
150783750,Kooikerstraat,living_street,15,False,True,47.076,"LINESTRING (4.6416607 52.1159433, 4.6412175 52.115619)",,
32981715,Kooikerstraat,living_street,15,False,True,80.76899999999999,"LINESTRING (4.6416607 52.1159433, 4.6415412 52.1159967, 4.6412678 52.116119, 4.6409682 52.1162525, 4.640707 52.116373)",,
150783750,Kooikerstraat,living_street,15,False,False,145.582,"LINESTRING (4.6416607 52.1159433, 4.6419296 52.1161306, 4.6424154 52.1164691, 4.643055 52.1169337)",,
150783750,Kooikerstraat,living_street,15,False,False,47.076,"LINESTRING (4.6412175 52.115619, 4.6416607 52.1159433)",,
150783752,Sokrateslaan,living_street,15,False,False,67.976,"LINESTRING (4.6426016 52.1157679, 4.6432619 52.1162254)",,
"[33221930, 32981723, 33223197]",Aristoteleslaan,living_street,15,False,False,598.085,"LINESTRING (4.6426016 52.1157679, 4.6440808 52.1152696, 4.6450329 52.1150026, 4.6460236 52.1147696, 4.6464358 52.1146833, 4.6465328 52.1146859, 4.6465857 52.1147135, 4.6466042 52.1147565, 4.6465787 52.1148041, 4.6460634 52.1153985, 4.6452798 52.1155946, 4.6443437 52.1158616, 4.6432619 52.1162254)",,
150783752,Sokrateslaan,living_street,15,False,True,73.13,"LINESTRING (4.6426016 52.1157679, 4.6419202 52.1152605)",,
150783752,Sokrateslaan,living_street,15,False,False,69.85,"LINESTRING (4.6432619 52.1162254, 4.6439386 52.1166965)",,
150783752,Sokrateslaan,living_street,15,False,True,67.976,"LINESTRING (4.6432619 52.1162254, 4.6426016 52.1157679)",,
"[33221930, 32981723, 33223197]",Aristoteleslaan,living_street,15,False,True,598.085,"LINESTRING (4.6432619 52.1162254, 4.6443437 52.1158616, 4.6452798 52.1155946, 4.6460634 52.1153985, 4.6465787 52.1148041, 4.6466042 52.1147565, 4.6465857 52.1147135, 4.6465328 52.1146859, 4.6464358 52.1146833, 4.6460236 52.1147696, 4.6450329 52.1150026, 4.6440808 52.1152696, 4.6426016 52.1157679)",,
150783752,Sokrateslaan,living_street,15,False,False,72.81,"LINESTRING (4.6445384 52.1171326, 4.645225 52.1176336)",,
150783752,Sokrateslaan,living_street,15,False,True,63.472,"LINESTRING (4.6445384 52.1171326, 4.6439386 52.1166965)",,
150644687,Platolaan,living_street,15,False,True,191.95600000000002,"LINESTRING (4.6445384 52.1171326, 4.6452069 52.1169156, 4.6459344 52.116701, 4.6470947 52.1164187)",,
33186131,Eendenkooi,living_street,15,False,False,62.539,"LINESTRING (4.643055 52.1169337, 4.6429302 52.1169848, 4.6426367 52.1171052, 4.6422909 52.1172438)",,
150783750,Kooikerstraat,living_street,15,False,True,145.582,"LINESTRING (4.643055 52.1169337, 4.6424154 52.1164691, 4.6419296 52.1161306, 4.6416607 52.1159433)",,
33223206,Augustijnenlaan,living_street,15,False,False,96.156,"LINESTRING (4.6433842 52.1140811, 4.6446091 52.1143174, 4.6446723 52.1143831)",,
"[33223200, 33223206]",Augustijnenlaan,living_street,15,False,"[False, True]",257.396,"LINESTRING (4.6433842 52.1140811, 4.6427213 52.1139666, 4.6423173 52.1139376, 4.6419258 52.1139678, 4.6415295 52.1140464, 4.6408378 52.1142897, 4.640753 52.1143564, 4.6407419 52.1144153, 4.6407888 52.1144639, 4.6408387 52.1145097, 4.6412675 52.1148096)",,
33223208,Augustijnenlaan,living_street,15,False,False,165.728,"LINESTRING (4.6433842 52.1140811, 4.6420083 52.1145367, 4.6412675 52.1148096)",,
150783749,Wagenburg,living_street,15,False,True,135.338,"LINESTRING (4.6393149 52.1165955, 4.6391394 52.1165873, 4.6390763 52.1165698, 4.6390333 52.1165315, 4.6390294 52.1164918, 4.6391058 52.1163655, 4.6392467 52.1162348, 4.6398287 52.11594, 4.6398904 52.1159219, 4.6399601 52.1159219, 4.6400191 52.1159482, 4.6401185 52.1160222)",,
483642468,Renaissancelaan,residential,30,False,False,87.565,"LINESTRING (4.6393149 52.1165955, 4.6393397 52.116513, 4.6393869 52.1164153, 4.639507 52.1163099, 4.6401185 52.1160222)",,
"[483642468, 471542999]",Renaissancelaan,residential,30,False,True,24.11,"LINESTRING (4.6393149 52.1165955, 4.6392966 52.1166718, 4.6392886 52.1167345, 4.6392793 52.1168111)",,
32981715,Kooikerstraat,living_street,15,False,False,80.76899999999999,"LINESTRING (4.640707 52.116373, 4.6409682 52.1162525, 4.6412678 52.116119, 4.6415412 52.1159967, 4.6416607 52.1159433)",,
150783743,Kooikerstraat,residential,30,False,True,11.137,"LINESTRING (4.640707 52.116373, 4.640637 52.1163635, 4.6405514 52.1163832)",,
788070645,Eendenkooi,residential,30,False,False,145.689,"LINESTRING (4.640707 52.116373, 4.6407876 52.1163922, 4.6410393 52.1165164, 4.6411207 52.1165565, 4.641588 52.1168115, 4.6416307 52.1168379, 4.6422909 52.1172438)",,
"[33221921, 32981724]",Platolaan,living_street,15,False,True,267.46399999999994,"LINESTRING (4.6470947 52.1164187, 4.6470517 52.116376, 4.6470228 52.1163463, 4.6466048 52.1159137, 4.645339 52.1162434, 4.6445167 52.1164821, 4.6439386 52.1166965)",,
150644687,Platolaan,living_street,15,False,False,191.956,"LINESTRING (4.6470947 52.1164187, 4.6459344 52.116701, 4.6452069 52.1169156, 4.6445384 52.1171326)",,
150783751,Triviumlaan,living_street,15,False,False,73.545,"LINESTRING (4.6470947 52.1164187, 4.6475987 52.1169185, 4.6476085 52.1169918)",,
