osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,lanes,access,tunnel
6999072,Leyenseweg,tertiary,50,False,False,115.293,"LINESTRING (5.2014279 52.1252726, 5.201163 52.1253176, 5.2010961 52.1253289, 5.200084 52.1255085, 5.1998041 52.1255576)",,,,
45745122,Soestdijkseweg Zuid,secondary,50,False,False,246.876,"LINESTRING (5.2014279 52.1252726, 5.2014519 52.1253033, 5.2015276 52.1253966, 5.2029254 52.1271188, 5.20304 52.12726)",,,,
6999042,Prins Hendriklaan,residential,30,False,False,57.041,"LINESTRING (5.1998041 52.1255576, 5.1998372 52.1256042, 5.2001681 52.1260193)",,,,
6999072,Leyenseweg,tertiary,50,False,False,113.07900000000001,"LINESTRING (5.1998041 52.1255576, 5.199596 52.1255939, 5.1982082 52.12583)",,,,
6999072,Leyenseweg,tertiary,50,False,True,115.293,"LINESTRING (5.1998041 52.1255576, 5.200084 52.1255085, 5.2010961 52.1253289, 5.201163 52.1253176, 5.2014279 52.1252726)",,,,
"[957156254, 27511894]",Korte Boslaan,residential,,False,False,121.24000000000001,"LINESTRING (5.20574 52.1256672, 5.2062147 52.1258637, 5.2063263 52.1259311, 5.2067993 52.126395, 5.20687 52.12648)",,,,
6999072,Leyenseweg,tertiary,50,False,False,64.234,"LINESTRING (5.1982082 52.12583, 5.1973054 52.1259928)",,,,
6999045,Middellaan,residential,30,False,False,40.16,"LINESTRING (5.1982082 52.12583, 5.1982444 52.1258808, 5.198453 52.1261584)",,,,
6999072,Leyenseweg,tertiary,50,False,True,113.07900000000001,"LINESTRING (5.1982082 52.12583, 5.199596 52.1255939, 5.1998041 52.1255576)",,,,
6999072,Leyenseweg,tertiary,50,False,True,64.234,"LINESTRING (5.1973054 52.1259928, 5.1982082 52.12583)",,,,
6999042,Prins Hendriklaan,residential,30,False,True,57.041,"LINESTRING (5.2001681 52.1260193, 5.1998372 52.1256042, 5.1998041 52.1255576)",,,,
6999059,Prins Hendriklaan,residential,30,False,False,124.627,"LINESTRING (5.2001681 52.1260193, 5.20037 52.12627, 5.2005058 52.1265411, 5.2006619 52.1270903)",,,,
6999081,Prins Hendriklaan,residential,30,False,False,111.533,"LINESTRING (5.2001681 52.1260193, 5.19939 52.12618, 5.1997005 52.1266412)",,,,
6999045,Middellaan,residential,30,False,False,145.481,"LINESTRING (5.198453 52.1261584, 5.19884 52.12666, 5.19904 52.12704, 5.19911 52.12727, 5.19911 52.12739)",,,,
6999045,Middellaan,residential,30,False,True,40.16,"LINESTRING (5.198453 52.1261584, 5.1982444 52.1258808, 5.1982082 52.12583)",,,,
6999080,Wissellaan,residential,30,False,False,78.583,"LINESTRING (5.198453 52.1261584, 5.1978388 52.126342, 5.1980464 52.1265995)",,,,
6999175,Boslaan,tertiary,50,False,False,73.753,"LINESTRING (5.2078947 52.1263084, 5.2078063 52.1262915, 5.207697 52.1262994, 5.2075397 52.1263338, 5.20687 52.12648)",,,,
6999190,Sperwerlaan,tertiary,50,False,False,42.5,"LINESTRING (5.2078947 52.1263084, 5.2079573 52.1263517, 5.2080928 52.1266113, 5.2081373 52.1266552)",,,,
6999175,Boslaan,tertiary,50,False,False,184.18,"LINESTRING (5.20687 52.12648, 5.2060497 52.1266419, 5.205648 52.1267244, 5.20507 52.12684, 5.2043084 52.1269999)",,,,
6999175,Boslaan,tertiary,50,False,True,73.75300000000001,"LINESTRING (5.20687 52.12648, 5.2075397 52.1263338, 5.207697 52.1262994, 5.2078063 52.1262915, 5.2078947 52.1263084)",,,,
"[27511894, 957156254]",Korte Boslaan,residential,,False,True,121.24,"LINESTRING (5.20687 52.12648, 5.2067993 52.126395, 5.2063263 52.1259311, 5.2062147 52.1258637, 5.20574 52.1256672)",,,,
6999080,Wissellaan,residential,30,False,True,78.583,"LINESTRING (5.1980464 52.1265995, 5.1978388 52.126342, 5.198453 52.1261584)",,,,
6999081,Prins Hendriklaan,residential,30,False,True,111.533,"LINESTRING (5.1997005 52.1266412, 5.19939 52.12618, 5.2001681 52.1260193)",,,,
6998964,Merellaan,residential,,False,False,96.98,"LINESTRING (5.2081373 52.1266552, 5.2080791 52.1266947, 5.2071117 52.1272585)",,,,
6999190,Sperwerlaan,tertiary,50,False,True,42.5,"LINESTRING (5.2081373 52.1266552, 5.2080928 52.1266113, 5.2079573 52.1263517, 5.2078947 52.1263084)",,,,
832751808,Sperwerlaan,tertiary,50,False,True,137.752,"LINESTRING (5.2081373 52.1266552, 5.2090917 52.1272335, 5.2095885 52.1275158)",,,,
6999032,Plein Vogelzang,residential,,False,False,112.40200000000002,"LINESTRING (5.2061069 52.1267505, 5.2061871 52.1269063, 5.20618 52.1269237, 5.2060813 52.1269905, 5.2058892 52.1270384, 5.2058364 52.1272057, 5.2058539 52.1272988, 5.2058968 52.1273696, 5.2059008 52.1274066, 5.2058449 52.1274403, 5.2055799 52.1275329)",,,,
6999024,Kruisbeklaan,residential,30,False,False,63.025999999999996,"LINESTRING (5.2109901 52.1269782, 5.2105332 52.1270759, 5.2102597 52.127136, 5.2101285 52.1271793)",,,,
6999088,Putterlaan,residential,,False,False,302.1,"LINESTRING (5.2109901 52.1269782, 5.2106816 52.1264455, 5.2106266 52.1263505, 5.2104767 52.1260956, 5.2104041 52.1259677, 5.2095454 52.1261555, 5.2099514 52.126871, 5.2101285 52.1271793)",,,,
6998997,Koppellaan,residential,30,False,False,96.56899999999999,"LINESTRING (5.1978333 52.1270371, 5.1979862 52.1270556, 5.19831 52.12711, 5.19891 52.1273, 5.19911 52.12739)",,,,
6999153,Spoorlaan,residential,30,False,False,253.50799999999998,"LINESTRING (5.1978333 52.1270371, 5.1977596 52.1272742, 5.1977523 52.1275141, 5.1977805 52.1276453, 5.1978414 52.1277593, 5.1979243 52.1278808, 5.1980353 52.1279966, 5.198158 52.1280855, 5.19829 52.12816, 5.198392 52.1281981, 5.1998553 52.1285904)",,,,
"[37538907, 6999031]",Nachtegaallaan,residential,"['50', '30']",False,False,109.025,"LINESTRING (5.2043084 52.1269999, 5.2043518 52.1270559, 5.2043897 52.1270758, 5.2044632 52.1270864, 5.2047555 52.1271374, 5.2049282 52.1271841, 5.205157 52.1272647, 5.2054 52.12738, 5.2055799 52.1275329)",,,,
6999175,Boslaan,tertiary,50,False,False,91.34899999999999,"LINESTRING (5.2043084 52.1269999, 5.2033413 52.1271871, 5.2031957 52.1272178, 5.20304 52.12726)",,,,
6999175,Boslaan,tertiary,50,False,True,184.17999999999998,"LINESTRING (5.2043084 52.1269999, 5.20507 52.12684, 5.205648 52.1267244, 5.2060497 52.1266419, 5.20687 52.12648)",,,,
6999108,Kruislaan,residential,30,False,False,24.212,"LINESTRING (5.2006619 52.1270903, 5.2006688 52.127308)",,,,
6999059,Prins Hendriklaan,residential,30,False,True,124.627,"LINESTRING (5.2006619 52.1270903, 5.2005058 52.1265411, 5.20037 52.12627, 5.2001681 52.1260193)",,,,
