osmid,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,access,lanes,junction
"[7332785, 7332674, 175910011]",Strausslaan,residential,30,False,False,115.921,yes,"LINESTRING (4.5250681 51.8478901, 4.5250859 51.847935, 4.5250924 51.8479552, 4.5251334 51.8480517, 4.5252469 51.848349, 4.5252678 51.8484039, 4.5255199 51.8488938)",,,
1007843697,Middeldijk,unclassified,30,False,True,49.995999999999995,,"LINESTRING (4.5250681 51.8478901, 4.5255784 51.8478196, 4.5257791 51.847794)",,,
7332317,Van Riedevliet,residential,30,False,False,21.55,,"LINESTRING (4.5331513 51.8478113, 4.5331516 51.8480051)",,,
7332317,Van Riedevliet,residential,30,False,False,64.771,,"LINESTRING (4.5331516 51.8480051, 4.5331519 51.8485876)",,,
7332317,Van Riedevliet,residential,30,False,True,21.55,,"LINESTRING (4.5331516 51.8480051, 4.5331513 51.8478113)",,,
7332692,Standerdmolen,residential,30,False,False,61.673,,"LINESTRING (4.5293943 51.8483163, 4.5284968 51.8483315)",,,
7332651,Standerdmolen,residential,30,False,False,72.676,,"LINESTRING (4.5293943 51.8483163, 4.5294123 51.8487557, 4.5296109 51.8489311)",,,
7332651,Standerdmolen,residential,30,False,True,78.651,,"LINESTRING (4.5293943 51.8483163, 4.5301406 51.8483058, 4.530151 51.8485519)",,,
7332692,Standerdmolen,residential,30,False,True,61.673,,"LINESTRING (4.5284968 51.8483315, 4.5293943 51.8483163)",,,
7332692,Standerdmolen,residential,30,False,False,146.93800000000002,,"LINESTRING (4.5284968 51.8483315, 4.5285169 51.849008, 4.5278133 51.8490183, 4.5278224 51.8492283)",,,
7332809,Standerdmolen,residential,30,False,True,33.649,,"LINESTRING (4.5284968 51.8483315, 4.5284335 51.8483176, 4.528356 51.8482445, 4.5283307 51.8482447, 4.5280748 51.8482471)",,,
7332651,Standerdmolen,residential,30,False,False,78.651,,"LINESTRING (4.530151 51.8485519, 4.5301406 51.8483058, 4.5293943 51.8483163)",,,
7332402,Van Minnebekevliet,residential,30,False,True,148.906,,"LINESTRING (4.5315374 51.8483756, 4.5315401 51.8480675, 4.5315978 51.8480277, 4.5319918 51.8480291, 4.5320784 51.8480294, 4.5322253 51.8480299, 4.5322121 51.8486198)",,,
7332786,Strawinskysingel,residential,30,False,False,74.38300000000001,,"LINESTRING (4.5265587 51.8487254, 4.5261207 51.848823, 4.5259048 51.8488235, 4.5256325 51.8488732, 4.5255199 51.8488938)",,,
7332402,Van Minnebekevliet,residential,30,False,False,148.90599999999998,,"LINESTRING (4.5322121 51.8486198, 4.5322253 51.8480299, 4.5320784 51.8480294, 4.5319918 51.8480291, 4.5315978 51.8480277, 4.5315401 51.8480675, 4.5315374 51.8483756)",,,
7332407,Arent Maertensvliet,residential,30,False,False,64.836,,"LINESTRING (4.5322121 51.8486198, 4.5324784 51.8485909, 4.5331519 51.8485876)",,,
"[7332644, 7332407]","['Torenmolen', 'Arent Maertensvliet']",residential,30,False,"[False, True]",183.43099999999998,,"LINESTRING (4.5322121 51.8486198, 4.5319551 51.848664, 4.531578 51.8487288, 4.5313004 51.8487682, 4.5310483 51.848804, 4.530759 51.8488505, 4.5304689 51.8488766, 4.5297039 51.8488935, 4.5296109 51.8489311)",,,
7332317,Van Riedevliet,residential,30,False,True,64.771,,"LINESTRING (4.5331519 51.8485876, 4.5331516 51.8480051)",,,
7332407,Arent Maertensvliet,residential,30,False,False,41.528999999999996,,"LINESTRING (4.5331519 51.8485876, 4.5332957 51.8485869, 4.5335741 51.8485854, 4.5337432 51.8486276)",,,
