osmid,oneway,name,highway,maxspeed,width,reversed,length,geometry,lanes,bridge,tunnel
"[7620353, 7620346]",False,"['Beenhouwerssingel', 'Roosterstraat']",residential,30,3,False,161.325,"LINESTRING (3.6121653 51.4952522, 3.6121472 51.495238, 3.6120928 51.4952179, 3.6120499 51.4952075, 3.6120147 51.4952045, 3.6119547 51.4952117, 3.6118011 51.4952368, 3.6116352 51.4952687, 3.6114534 51.4953208, 3.6112728 51.4953759, 3.6110644 51.4954466, 3.6107306 51.4955635, 3.6107433 51.4955768, 3.61086 51.4957, 3.6108582 51.495729, 3.6105343 51.4959145)",,,
7620358,True,Stadsschuur,unclassified,,4,False,103.88899999999998,"LINESTRING (3.6121653 51.4952522, 3.6121963 51.4952965, 3.6122592 51.4953864, 3.6124034 51.4956193, 3.61241 51.49563, 3.612427 51.4957427, 3.6125054 51.4958194, 3.6125288 51.4961418)",,,
7621537,False,Het Groene Woud,residential,50,,False,9.86,"LINESTRING (3.60949 51.49541, 3.6095384 51.4954934)",,,
7621537,False,Het Groene Woud,residential,50,,True,9.86,"LINESTRING (3.6095384 51.4954934, 3.60949 51.49541)",,,
"[48471499, 7620356, 7620029, 487930246]",False,"['Koestraat', 'Geerebrug']",residential,"['50', '30']",,False,90.34699999999998,"LINESTRING (3.6095384 51.4954934, 3.6095546 51.4955143, 3.6096064 51.4955602, 3.609716 51.4956685, 3.6097403 51.4956931, 3.6098773 51.4958133, 3.60995 51.4958638, 3.6100248 51.495916, 3.6101694 51.4959881, 3.6103748 51.4960656, 3.6104124 51.4960776)","['2', '3']",yes,
"[140495504, 382485739, 469784037]",True,Het Groene Woud,secondary,50,,False,115.883,"LINESTRING (3.6095384 51.4954934, 3.6093671 51.4955348, 3.6091355 51.4955518, 3.6090295 51.4955507, 3.6088474 51.495543, 3.6079974 51.4954959, 3.607938 51.4955002, 3.6078856 51.4955112)","['2', '3']",viaduct,
"[221450209, 786140495, 786140496, 184779445, 7620535, 1213681916, 7620543]",False,"['Kanaalweg', 'Stationsstraat', 'Stationsbrug']",residential,30,"['3', '6']",False,94.18400000000001,"LINESTRING (3.6180587 51.4954353, 3.6179942 51.4955022, 3.6179584 51.4955394, 3.6179439 51.4955532, 3.6175637 51.4959683, 3.6175234 51.4960121, 3.6174615 51.4960783, 3.6174475 51.4960946, 3.6173761 51.4961679)",,"['viaduct', 'movable']",
370386746,False,Het Groene Woud,unclassified,50,6,False,8.735,"LINESTRING (3.6078277 51.4954414, 3.6078856 51.4955112)",,,
"[382485737, 382485730, 469784039, 382485735]",True,Het Groene Woud,secondary,50,,False,116.70200000000001,"LINESTRING (3.6078277 51.4954414, 3.6079212 51.4954254, 3.6080066 51.4954208, 3.6088571 51.4954635, 3.6090147 51.4954718, 3.6091209 51.4954702, 3.60932 51.4954553, 3.60949 51.49541)","['1', '2']",viaduct,
370386746,False,Het Groene Woud,unclassified,50,6,True,8.735,"LINESTRING (3.6078856 51.4955112, 3.6078277 51.4954414)",,,
"[140495500, 382485734]",True,Het Groene Woud,secondary,50,,False,95.815,"LINESTRING (3.6078856 51.4955112, 3.6076968 51.4955684, 3.6070561 51.4958686, 3.6068576 51.4959453, 3.6067361 51.4959868)","['2', '3']",,
7621490,False,Het Groene Woud,tertiary,50,,False,12.978,"LINESTRING (3.6066061 51.4959027, 3.6067361 51.4959868)",2,,
