osmid,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,lanes,width,ref,junction
"[6426529, 6426562, 6426532]",Vierzonenweg,residential,50,False,False,31.859,movable,"LINESTRING (6.5730589 52.452871, 6.5730172 52.452965, 6.5729885 52.4530298, 6.5729339 52.4531472)",,,,
"[557951188, 6426470]",Puntkolk,tertiary,50,False,False,104.345,,"LINESTRING (6.5729339 52.4531472, 6.5730564 52.4531647, 6.5732219 52.4531878, 6.57335 52.4532226, 6.5734334 52.4532576, 6.5735025 52.4532997, 6.5735642 52.4533434, 6.5735908 52.4533622, 6.5736895 52.4534447, 6.573805 52.4535463, 6.5739354 52.4536623, 6.5740108 52.4537542)",,,,
"[6426529, 6426562, 6426532]",Vierzonenweg,residential,50,False,True,31.858999999999998,movable,"LINESTRING (6.5729339 52.4531472, 6.5729885 52.4530298, 6.5730172 52.452965, 6.5730589 52.452871)",,,,
6426114,Prinsenkamp,residential,30,False,False,20.592,,"LINESTRING (6.5718466 52.453727, 6.5718 52.45391)",,,,
398235394,Prinsenkamp,residential,30,False,True,5.352,,"LINESTRING (6.5718466 52.453727, 6.5718571 52.4536793)",,,,
6426011,Prinsenkamp,residential,30,False,False,151.09,,"LINESTRING (6.5718466 52.453727, 6.5725914 52.4538403, 6.5726766 52.4538555, 6.5725035 52.4546857)",,,,
6426068,Prinsenkamp,residential,30,False,False,33.694,,"LINESTRING (6.5718 52.45391, 6.57173 52.45421)",,,,
6426114,Prinsenkamp,residential,30,False,True,20.592,,"LINESTRING (6.5718 52.45391, 6.5718466 52.453727)",,,,
6425983,Prinsenkamp,residential,30,False,False,60.396,,"LINESTRING (6.5718 52.45391, 6.5713268 52.4538808, 6.57129 52.45396, 6.5712766 52.4541308)",,,,
"[6426690, 6426692, 6426693]","['Puntbrug', 'Europasingel']",tertiary,50,False,"[False, True]",35.823,movable,"LINESTRING (6.5740108 52.4537542, 6.5740321 52.4537624, 6.5740596 52.45377, 6.5741672 52.4537744, 6.5743354 52.4537813, 6.5743894 52.4537836, 6.5745318 52.4537894)",2,,,
"[557951188, 6426470]",Puntkolk,tertiary,50,False,True,104.34499999999998,,"LINESTRING (6.5740108 52.4537542, 6.5739354 52.4536623, 6.573805 52.4535463, 6.5736895 52.4534447, 6.5735908 52.4533622, 6.5735642 52.4533434, 6.5735025 52.4532997, 6.5734334 52.4532576, 6.57335 52.4532226, 6.5732219 52.4531878, 6.5730564 52.4531647, 6.5729339 52.4531472)",,,,
"[562492024, 6426697]",Hoofdstraat,tertiary,50,False,False,120.03699999999999,,"LINESTRING (6.5740108 52.4537542, 6.5739834 52.453816, 6.5739769 52.4538592, 6.573976 52.4538822, 6.5739582 52.454135, 6.5739369 52.4543161, 6.5738831 52.4547006, 6.5738549 52.4547831, 6.5738471 52.4548272)",,,,
6425897,Oranjestraat,residential,30,False,False,845.906,,"LINESTRING (6.5745318 52.4537894, 6.5745176 52.4538553, 6.5744896 52.4539299, 6.5744641 52.453984, 6.5744326 52.4540292, 6.5744084 52.4540954, 6.5743865 52.454202, 6.5742478 52.4552206, 6.5734207 52.4612938, 6.5734061 52.4613608)",,,,
"[6426690, 6426692, 6426693]","['Puntbrug', 'Europasingel']",tertiary,50,False,"[False, True]",35.823,movable,"LINESTRING (6.5745318 52.4537894, 6.5743894 52.4537836, 6.5743354 52.4537813, 6.5741672 52.4537744, 6.5740596 52.45377, 6.5740321 52.4537624, 6.5740108 52.4537542)",2,,,
6426693,Europasingel,tertiary,50,False,True,51.491,,"LINESTRING (6.5745318 52.4537894, 6.5747242 52.4537995, 6.5752888 52.4538296)",2,,,
6426064,Linderflier,unclassified,30,False,False,88.19900000000001,,"LINESTRING (6.5656084 52.453999, 6.5655997 52.4540747, 6.565506 52.454699, 6.565489 52.4547888)",,,,
6426058,Prinsenkamp,residential,30,False,False,31.96,,"LINESTRING (6.5712766 52.4541308, 6.57173 52.45421)",,,,
6425983,Prinsenkamp,residential,30,False,True,60.396,,"LINESTRING (6.5712766 52.4541308, 6.57129 52.45396, 6.5713268 52.4538808, 6.5718 52.45391)",,,,
6426026,Prinsenkamp,residential,30,False,False,72.873,,"LINESTRING (6.5712766 52.4541308, 6.5711733 52.454153, 6.571125 52.4541827, 6.5711101 52.4542154, 6.57108 52.45466, 6.57117 52.4547)",,,,
6426037,Prinsenkamp,residential,30,True,False,39.878,,"LINESTRING (6.57173 52.45421, 6.5716645 52.4545664)",,,,
6426058,Prinsenkamp,residential,30,False,True,31.96,,"LINESTRING (6.57173 52.45421, 6.5712766 52.4541308)",,,,
6426068,Prinsenkamp,residential,30,False,True,33.694,,"LINESTRING (6.57173 52.45421, 6.5718 52.45391)",,,,
6426039,Prinsenkamp,residential,30,False,False,37.423,,"LINESTRING (6.5716486 52.4546531, 6.5721999 52.4546731)",,,,
6426054,Prinsenkamp,residential,30,False,False,32.847,,"LINESTRING (6.5716486 52.4546531, 6.57117 52.4547)",,,,
6426134,Prinsenkamp,residential,30,False,False,58.83,,"LINESTRING (6.5716486 52.4546531, 6.57157 52.45518)",,,,
6426039,Prinsenkamp,residential,30,False,False,20.62,,"LINESTRING (6.5721999 52.4546731, 6.5725035 52.4546857)",,,,
6426039,Prinsenkamp,residential,30,False,True,37.423,,"LINESTRING (6.5721999 52.4546731, 6.5716486 52.4546531)",,,,
568724890,Prinsenkamp,residential,30,False,False,45.575,,"LINESTRING (6.5721999 52.4546731, 6.5722109 52.454598, 6.5716645 52.4545664)",,,,
6425978,Prinsenkamp,residential,30,False,False,107.761,,"LINESTRING (6.57117 52.4547, 6.5710601 52.4556668)",,,,
6426054,Prinsenkamp,residential,30,False,True,32.847,,"LINESTRING (6.57117 52.4547, 6.5716486 52.4546531)",,,,
6426026,Prinsenkamp,residential,30,False,True,72.873,,"LINESTRING (6.57117 52.4547, 6.57108 52.45466, 6.5711101 52.4542154, 6.571125 52.4541827, 6.5711733 52.454153, 6.5712766 52.4541308)",,,,
6426039,Prinsenkamp,residential,30,False,True,20.62,,"LINESTRING (6.5725035 52.4546857, 6.5721999 52.4546731)",,,,
6426011,Prinsenkamp,residential,30,False,True,151.09,,"LINESTRING (6.5725035 52.4546857, 6.5726766 52.4538555, 6.5725914 52.4538403, 6.5718466 52.453727)",,,,
6426039,Prinsenkamp,residential,30,False,False,92.50300000000001,,"LINESTRING (6.5725035 52.4546857, 6.5732204 52.4547781, 6.5734888 52.454807, 6.5738471 52.4548272)",,,,
6426045,Havenstraat,residential,50,False,True,223.926,,"LINESTRING (6.565489 52.4547888, 6.5668161 52.4548817, 6.5678948 52.4549357, 6.5686551 52.454953, 6.5687272 52.4549365, 6.5687725 52.4549257)",,,,
6426064,Linderflier,unclassified,30,False,True,88.199,,"LINESTRING (6.565489 52.4547888, 6.565506 52.454699, 6.5655997 52.4540747, 6.5656084 52.453999)",,,,
"[6426075, 6426211]",Linderflier,unclassified,"['30', '50']",False,False,65.317,,"LINESTRING (6.565489 52.4547888, 6.5654622 52.4549309, 6.5653902 52.4553731)",,,,
6426039,Prinsenkamp,residential,30,False,True,92.503,,"LINESTRING (6.5738471 52.4548272, 6.5734888 52.454807, 6.5732204 52.4547781, 6.5725035 52.4546857)",,,,
"[6426696, 6426689]",Hoofdstraat,tertiary,50,False,False,315.28099999999995,,"LINESTRING (6.5738471 52.4548272, 6.5738428 52.4548742, 6.5738491 52.4549582, 6.5737587 52.4555996, 6.5737229 52.4558607, 6.5736752 52.4562227, 6.5736028 52.4567204, 6.5735572 52.4570489, 6.573495 52.4574995, 6.5734755 52.4575663, 6.5734597 52.4576517)",,,,
"[562492024, 6426697]",Hoofdstraat,tertiary,50,False,True,120.03699999999999,,"LINESTRING (6.5738471 52.4548272, 6.5738549 52.4547831, 6.5738831 52.4547006, 6.5739369 52.4543161, 6.5739582 52.454135, 6.573976 52.4538822, 6.5739769 52.4538592, 6.5739834 52.453816, 6.5740108 52.4537542)",,,,
6426003,Prinsenkamp,residential,30,False,False,58.103,,"LINESTRING (6.57157 52.45518, 6.5715217 52.4557017)",,,,
6426134,Prinsenkamp,residential,30,False,True,58.83,,"LINESTRING (6.57157 52.45518, 6.5716486 52.4546531)",,,,
6426155,Prinsenkamp,residential,30,False,False,75.938,,"LINESTRING (6.57157 52.45518, 6.57242 52.45522, 6.57268 52.45526)",,,,
6426155,Prinsenkamp,residential,30,False,True,75.938,,"LINESTRING (6.57268 52.45526, 6.57242 52.45522, 6.57157 52.45518)",,,,
6426211,Linderflier,unclassified,50,False,False,72.286,,"LINESTRING (6.5653902 52.4553731, 6.5652975 52.4559429, 6.5652849 52.45602)",,,,
"[6426211, 6426075]",Linderflier,unclassified,"['50', '30']",False,True,65.317,,"LINESTRING (6.5653902 52.4553731, 6.5654622 52.4549309, 6.565489 52.4547888)",,,,
88306033,Bijvank,residential,30,False,True,183.697,,"LINESTRING (6.5653902 52.4553731, 6.5651609 52.4553435, 6.5636618 52.4551986, 6.5638134 52.4546217)",,,,
6425978,Prinsenkamp,residential,30,False,True,107.761,,"LINESTRING (6.5710601 52.4556668, 6.57117 52.4547)",,,,
6425992,Prinsenkamp,residential,30,False,False,31.52,,"LINESTRING (6.5710601 52.4556668, 6.5712251 52.4556809, 6.5715217 52.4557017)",,,,
6426009,Prinsenkamp,residential,30,False,False,60.424,,"LINESTRING (6.5710601 52.4556668, 6.57098 52.45571, 6.57093 52.45582, 6.5709233 52.456107, 6.5709799 52.4561759)",,,,
6425991,Prinsenkamp,residential,30,False,False,49.623,,"LINESTRING (6.5715217 52.4557017, 6.5714734 52.456147)",,,,
6426003,Prinsenkamp,residential,30,False,True,58.103,,"LINESTRING (6.5715217 52.4557017, 6.57157 52.45518)",,,,
6425992,Prinsenkamp,residential,30,False,True,31.52,,"LINESTRING (6.5715217 52.4557017, 6.5712251 52.4556809, 6.5710601 52.4556668)",,,,
6426211,Linderflier,unclassified,50,False,False,81.22399999999999,,"LINESTRING (6.5652849 52.45602, 6.5652662 52.4561348, 6.5652442 52.4562702, 6.5652361 52.45632, 6.5651666 52.4567469)",,,,
6426211,Linderflier,unclassified,50,False,True,72.286,,"LINESTRING (6.5652849 52.45602, 6.5652975 52.4559429, 6.5653902 52.4553731)",,,,
6425988,Prinsenkamp,residential,30,False,False,33.593,,"LINESTRING (6.5714734 52.456147, 6.5709799 52.4561759)",,,,
6425991,Prinsenkamp,residential,30,False,True,49.623,,"LINESTRING (6.5714734 52.456147, 6.5715217 52.4557017)",,,,
6426126,Prinsenkamp,residential,30,False,False,32.907,,"LINESTRING (6.5714734 52.456147, 6.571444 52.4564424)",,,,
6425988,Prinsenkamp,residential,30,False,True,33.593,,"LINESTRING (6.5709799 52.4561759, 6.5714734 52.456147)",,,,
6426009,Prinsenkamp,residential,30,False,True,60.424,,"LINESTRING (6.5709799 52.4561759, 6.5709233 52.456107, 6.57093 52.45582, 6.57098 52.45571, 6.5710601 52.4556668)",,,,
6426041,Prinsenkamp,residential,30,False,False,51.882999999999996,,"LINESTRING (6.5709799 52.4561759, 6.57101 52.45624, 6.5710166 52.456358, 6.5710349 52.4563799, 6.5710866 52.4563918, 6.571444 52.4564424)",,,,
