osmid,highway,maxspeed,access,oneway,reversed,length,name,geometry,bridge
22679409,residential,30,no,False,True,40.395,,"LINESTRING (5.3204419 51.589387, 5.3201451 51.5897)",
7193614,residential,30,,False,False,73.20899999999999,van Coothstraat,"LINESTRING (5.32056 51.5847, 5.3204809 51.5847339, 5.31961 51.58499)",
7193631,living_street,15,,False,False,145.949,Frans Staelstraat,"LINESTRING (5.32056 51.5847, 5.32083 51.58508, 5.32088 51.58508, 5.3214031 51.584912, 5.3214622 51.584893, 5.32151 51.58495, 5.3215621 51.5850193, 5.32177 51.58531)",
7193674,residential,30,,False,False,12.772,Stationsstraat,"LINESTRING (5.3195185 51.5848902, 5.31961 51.58499)",
"[7194023, 755279699, 446344788, 7194040, 7194044, 329731486]",tertiary,"['30', '50']",,False,False,291.02799999999996,"['Parallelweg Noord', 'Stationsplein']","LINESTRING (5.3195185 51.5848902, 5.3194249 51.5849822, 5.3193778 51.5850346, 5.3192082 51.5851608, 5.3190565 51.5852252, 5.3188912 51.585281, 5.3188195 51.585312, 5.3186809 51.5853752, 5.3185613 51.58544, 5.3185279 51.5854664, 5.3182592 51.5856561, 5.3180143 51.5858333, 5.3177337 51.5860134, 5.3175843 51.5861093, 5.3174497 51.5861955, 5.3168932 51.5865736, 5.3168815 51.5866023, 5.3168701 51.5866302, 5.3168698 51.5868286)",
7193674,residential,30,,False,False,80.388,Stationsstraat,"LINESTRING (5.31961 51.58499, 5.3201304 51.5856366)",
7193674,residential,30,,False,True,12.772,Stationsstraat,"LINESTRING (5.31961 51.58499, 5.3195185 51.5848902)",
7193614,residential,30,,False,True,73.20899999999999,van Coothstraat,"LINESTRING (5.31961 51.58499, 5.3204809 51.5847339, 5.32056 51.5847)",
7193624,residential,,,False,False,67.19,Kasteellaan,"LINESTRING (5.32264 51.58504, 5.32177 51.58531)",
1177968151,unclassified,,no,False,True,8.889,,"LINESTRING (5.32264 51.58504, 5.322764 51.5850187)",
7193745,residential,30,,False,False,70.83,Prins Hendrikstraat,"LINESTRING (5.32264 51.58504, 5.3226604 51.5850848, 5.3226769 51.5851209, 5.3227227 51.5852213, 5.3229044 51.5856554)",
7194014,secondary,,,False,False,93.328,Mijlstraat,"LINESTRING (5.31034 51.58507, 5.3109307 51.585357, 5.3112751 51.585663)",
7193624,residential,,,False,True,67.19,Kasteellaan,"LINESTRING (5.32177 51.58531, 5.32264 51.58504)",
