osmid,oneway,name,highway,maxspeed,reversed,length,bridge,lanes,geometry,width,access
"[24979794, 24979796, 10888830]",False,Marga Klompébrug,residential,30,True,50.117000000000004,yes,3,"LINESTRING (5.1147274 52.0892542, 5.1148328 52.0892895, 5.1148692 52.089303, 5.1152009 52.0894196, 5.1153688 52.0894727)",,
"[540638188, 1184823132]",False,Catharijnesingel,tertiary,30,True,144.60899999999998,,3,"LINESTRING (5.1147274 52.0892542, 5.1147879 52.089192, 5.1148526 52.0891251, 5.1149405 52.0890328, 5.1150187 52.0889509, 5.1150394 52.0889321, 5.1151308 52.0888361, 5.1152263 52.088739, 5.1157805 52.0881263)",,
3243983,False,,residential,,False,7.398,,,"LINESTRING (5.1208703 52.0868553, 5.1207684 52.0868328)",,
425994914,False,,residential,,False,9.348,,,"LINESTRING (5.1208703 52.0868553, 5.1209986 52.0868845)",,
3243983,False,,residential,,True,27.144,,,"LINESTRING (5.1208703 52.0868553, 5.1208868 52.0868319, 5.1210293 52.0866316)",,
"[7010505, 7010507, 7010509]",False,Smeebrug,residential,30,False,34.296,yes,,"LINESTRING (5.1219225 52.0862891, 5.1220179 52.0863062, 5.1223003 52.0863404, 5.1224133 52.0863526)",,
"[262472343, 7010263]",True,Korte Smeestraat,residential,30,False,110.852,,,"LINESTRING (5.1224133 52.0863526, 5.1225189 52.0863679, 5.1232486 52.0865308, 5.1238797 52.0866861, 5.1239312 52.0867021)",,
"[7010505, 7010507, 7010509]",False,Smeebrug,residential,30,True,34.296,yes,,"LINESTRING (5.1224133 52.0863526, 5.1223003 52.0863404, 5.1220179 52.0863062, 5.1219225 52.0862891)",,
33532040,True,Oudegracht,residential,30,False,233.99599999999998,,,"LINESTRING (5.1224133 52.0863526, 5.1223863 52.0864625, 5.1221832 52.0870083, 5.1221037 52.0872352, 5.1220858 52.0872805, 5.1220763 52.087308, 5.1219381 52.0877168, 5.1216759 52.0883457, 5.1216517 52.0884036)",,
1002317454,False,Brandstraat,residential,30,False,62.386,,,"LINESTRING (5.1201832 52.0864207, 5.1210293 52.0866316)",,
7057410,True,Springweg,residential,30,False,184.976,,,"LINESTRING (5.1201832 52.0864207, 5.1200001 52.0868243, 5.1198208 52.0871753, 5.1197586 52.087298, 5.1196605 52.0874578, 5.1196255 52.0875083, 5.1194732 52.0877, 5.1193611 52.0878211, 5.1192244 52.0879687)",,
7057408,False,Moreelsepark,unclassified,30,True,230.315,,,"LINESTRING (5.1147192 52.086555, 5.1161303 52.0870371, 5.115839 52.087363, 5.1158145 52.0874273, 5.1156419 52.0876267, 5.1155721 52.0876638, 5.1152956 52.0879798)",,
7010501,True,A.B.C.-straat,residential,30,False,30.904,,,"LINESTRING (5.1262215 52.0866612, 5.1258256 52.0865268)",,
7010411,False,Magdalenastraat,residential,30,False,133.637,,,"LINESTRING (5.1264842 52.0866584, 5.1269418 52.0868016, 5.1270641 52.0868371, 5.1276335 52.0870287, 5.1281845 52.0872496)",,
7010547,True,Nieuwegracht,residential,30,False,37.486,,,"LINESTRING (5.1264842 52.0866584, 5.1264677 52.086685, 5.1262883 52.0869733)",,
7010419,False,Lange Nieuwstraat,residential,30,False,92.844,,,"LINESTRING (5.1239312 52.0867021, 5.1237812 52.08695, 5.1235961 52.087244, 5.1235736 52.0872769, 5.1235444 52.0873223, 5.1234394 52.0874804)",4.9,
540638188,False,Catharijnesingel,tertiary,30,False,182.63400000000001,,,"LINESTRING (5.1171426 52.0867138, 5.1168105 52.0870824, 5.1166968 52.0872096, 5.1166323 52.0872818, 5.1165655 52.0873462, 5.1164443 52.0874564, 5.1157805 52.0881263)",,
7010415,False,Brandstraat,residential,30,True,53.172,,,"LINESTRING (5.1217606 52.086795, 5.1216985 52.0867828, 5.1210293 52.0866316)",,
37411189,True,Oudegracht,residential,30,False,57.358999999999995,,,"LINESTRING (5.1217606 52.086795, 5.1218005 52.0866458, 5.1218978 52.086383, 5.1219225 52.0862891)",,
7010395,False,Keukenstraat,residential,30,False,138.34300000000002,,,"LINESTRING (5.1262883 52.0869733, 5.126424 52.08701, 5.12669 52.0870998, 5.1273375 52.087341, 5.1280356 52.0876004)",,
7010547,True,Nieuwegracht,residential,30,False,54.608000000000004,,,"LINESTRING (5.1262883 52.0869733, 5.126068 52.087289, 5.1259794 52.0874262)",,
7010411,False,Magdalenastraat,residential,30,True,133.637,,,"LINESTRING (5.1281845 52.0872496, 5.1276335 52.0870287, 5.1270641 52.0868371, 5.1269418 52.0868016, 5.1264842 52.0866584)",,
"[263067899, 265272709, 7010399]",False,Quintijnsbrug,residential,30,False,23.104,yes,,"LINESTRING (5.125649 52.0873784, 5.125707 52.0874005, 5.1258458 52.0874476, 5.1259435 52.0874804)",,
7010405,True,Zuilenstraat,residential,30,False,139.739,,,"LINESTRING (5.125649 52.0873784, 5.1239911 52.0867475, 5.1239312 52.0867021)",,
7010550,True,Nieuwegracht,residential,30,False,88.853,,,"LINESTRING (5.125649 52.0873784, 5.1257562 52.0872528, 5.1260137 52.0869432, 5.1261661 52.0867378, 5.1262215 52.0866612)",,
7010469,False,Schalkwijkstraat,residential,30,False,39.691,,,"LINESTRING (5.1259794 52.0874262, 5.1264878 52.0875989)",2.5,
7010547,True,Nieuwegracht,residential,30,False,6.507,,,"LINESTRING (5.1259794 52.0874262, 5.1259435 52.0874804)",,
7010469,False,Schalkwijkstraat,residential,30,True,39.691,,,"LINESTRING (5.1264878 52.0875989, 5.1259794 52.0874262)",2.5,
7010463,True,Servaasbolwerk,residential,30,False,40.312,,,"LINESTRING (5.1280356 52.0876004, 5.1281845 52.0872496)",,
7010395,False,Keukenstraat,residential,30,True,138.343,,,"LINESTRING (5.1280356 52.0876004, 5.1273375 52.087341, 5.12669 52.0870998, 5.126424 52.08701, 5.1262883 52.0869733)",,
540638191,False,Moreelsepark,unclassified,30,True,39.767,,,"LINESTRING (5.1147798 52.0878141, 5.1152956 52.0879798)",,
443048050,False,Schalkwijkstraat,residential,30,True,55.62,,,"LINESTRING (5.1272233 52.0878911, 5.1265397 52.0876195)",2.6,
443048050,False,Schalkwijkstraat,residential,30,False,52.045,,,"LINESTRING (5.1272233 52.0878911, 5.1275163 52.0879995, 5.1276615 52.0880547, 5.1277728 52.0880938, 5.127823 52.0880988, 5.127892 52.0881057)",2.6,
"[7010163, 262740487]",True,Haverstraat,"['residential', 'unclassified']",30,False,145.169,,,"LINESTRING (5.1192244 52.0879687, 5.1200185 52.0881761, 5.1201081 52.088193, 5.1202853 52.0882288, 5.1209783 52.0883283, 5.121241 52.0883664)",,
443042200,False,Springweg,residential,30,True,73.321,,,"LINESTRING (5.1192244 52.0879687, 5.119186 52.0880113, 5.1191176 52.0880873, 5.1189908 52.0882423, 5.1188659 52.0884356, 5.1187608 52.0885625)",,
540638191,False,Moreelsepark,unclassified,30,False,39.767,,,"LINESTRING (5.1152956 52.0879798, 5.1147798 52.0878141)",,
7057408,False,Moreelsepark,unclassified,30,False,230.315,,,"LINESTRING (5.1152956 52.0879798, 5.1155721 52.0876638, 5.1156419 52.0876267, 5.1158145 52.0874273, 5.115839 52.087363, 5.1161303 52.0870371, 5.1147192 52.086555)",,
7010463,True,Servaasbolwerk,residential,30,False,57.604,,,"LINESTRING (5.127892 52.0881057, 5.1278718 52.088033, 5.1279011 52.0879356, 5.1280356 52.0876004)",,
443048050,False,Schalkwijkstraat,residential,30,True,52.045,,,"LINESTRING (5.127892 52.0881057, 5.127823 52.0880988, 5.1277728 52.0880938, 5.1276615 52.0880547, 5.1275163 52.0879995, 5.1272233 52.0878911)",2.6,
7010547,True,Nieuwegracht,residential,30,False,98.983,,,"LINESTRING (5.1251815 52.0882062, 5.1250184 52.0883643, 5.1244653 52.0889311, 5.1244354 52.088969)",,
"[164706921, 7010454, 7010455]",True,"['Hamburgerstraat', 'Haverstraat', 'Hamburgerbrug']",unclassified,30,False,28.503,yes,,"LINESTRING (5.121241 52.0883664, 5.1213679 52.0883824, 5.1215629 52.088406, 5.1216517 52.0884036)",,
37411189,True,Oudegracht,residential,30,False,178.425,,,"LINESTRING (5.121241 52.0883664, 5.1212762 52.0882311, 5.1214077 52.0878824, 5.1214298 52.0878233, 5.1214891 52.0876825, 5.1216136 52.0873438, 5.1216447 52.0872578, 5.1216719 52.087149, 5.1217606 52.086795)",,
7010448,True,Hamburgerstraat,unclassified,30,False,72.902,,,"LINESTRING (5.1216517 52.0884036, 5.1226692 52.088601)",,
"[7010529, 164706923, 164706916]",True,"['Oudegracht', 'Gaardbrug']",unclassified,30,False,114.62899999999999,yes,,"LINESTRING (5.1216517 52.0884036, 5.1215965 52.088512, 5.1213799 52.0891323, 5.1213606 52.0891876, 5.1213452 52.089234, 5.1213157 52.0892285, 5.1212808 52.089222, 5.1210671 52.0891808)",,destination
7057305,True,Strosteeg,residential,30,False,37.115,,,"LINESTRING (5.1187608 52.0885625, 5.1191773 52.0886671, 5.1192637 52.0886887)",,
"[7057345, 440716263, 627360522, 128073199, 33686292]",False,"['Willemsplantsoen', 'Walsteeg']",residential,30,"[False, True]",350.259,,,"LINESTRING (5.1187608 52.0885625, 5.118719 52.0885471, 5.1176678 52.088108, 5.1172121 52.0879182, 5.117089 52.0879017, 5.1167772 52.0882267, 5.1164498 52.0885681, 5.1163551 52.0886577, 5.1162444 52.0887003, 5.1161335 52.088732, 5.1160818 52.0887477, 5.116038 52.0887611, 5.1158064 52.0890061, 5.1157207 52.0890978, 5.115653 52.0891798, 5.1154666 52.0893708, 5.1153688 52.0894727)",,
