osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,bridge,junction,tunnel,access
"[6597747, 6597719]",True,"['Beethovenstraat', 'Schubertstraat']",unclassified,False,136.768,"LINESTRING (4.8299282 52.438031, 4.829599 52.4378894, 4.829441 52.4378222, 4.8293488 52.43782, 4.8292329 52.4378154, 4.8291587 52.4379485, 4.8291346 52.4379929, 4.8289146 52.4382022, 4.8286368 52.4384546)",,,,,,,
"[6597753, 6597754]",False,"['Zuiddijk', 'Burcht']",unclassified,"[False, True]",132.53199999999998,"LINESTRING (4.8299282 52.438031, 4.8296217 52.4382909, 4.8295466 52.4383537, 4.8293647 52.4385112, 4.8292168 52.4386673, 4.8291383 52.4386653, 4.8290892 52.4386561, 4.8290556 52.4386463, 4.8286368 52.4384546)",,,,,,,
6598867,False,Cornelis Calffstraat,unclassified,False,33.467,"LINESTRING (4.8227894 52.4380664, 4.8227114 52.4383636)",,,,,,,
6597751,False,Burgemeester Smitstraat,unclassified,False,46.761,"LINESTRING (4.8336456 52.4382955, 4.8341619 52.4385744)",,,,,,,
6597803,True,Burgemeester Versteegstraat,unclassified,False,119.915,"LINESTRING (4.8336456 52.4382955, 4.83339 52.43838, 4.8333064 52.4384231, 4.8329367 52.4386138, 4.83275 52.43871, 4.8325701 52.4387892, 4.8325418 52.4388016, 4.8322311 52.4389384)",,,,,,,
6598864,True,Czaar Peterstraat,unclassified,False,40.214,"LINESTRING (4.8227114 52.4383636, 4.8232957 52.4384262)",,,,,,,
6598867,False,Cornelis Calffstraat,unclassified,True,33.467,"LINESTRING (4.8227114 52.4383636, 4.8227894 52.4380664)",,,,,,,
6597804,False,Sint Cathrijnestraat,unclassified,False,112.524,"LINESTRING (4.8317534 52.4383673, 4.8313653 52.4384949, 4.8302922 52.4388475)",,,,,,,
6597928,True,Wibautstraat,secondary,False,56.845,"LINESTRING (4.8362843 52.4383572, 4.8359472 52.4388253)",2,S155,50,,,,
6598825,True,Czaar Peterstraat,unclassified,False,9.463,"LINESTRING (4.8232957 52.4384262, 4.8234103 52.4384748)",,,,,,,
6597745,False,Burcht,unclassified,True,47.84,"LINESTRING (4.8286368 52.4384546, 4.8280708 52.4381976)",,,,,,,
