osmid,oneway,name,highway,reversed,length,geometry,maxspeed,tunnel,junction,lanes
"[867048136, 7214772]",True,Parallelweg,unclassified,False,112.24499999999999,"LINESTRING (4.9249744 51.5837304, 4.9247876 51.5837847, 4.9236045 51.5839619, 4.9234725 51.5839665, 4.9234035 51.5839691)",,,,
7214765,False,Stationsplein,residential,True,125.525,"LINESTRING (4.9263045 51.5839524, 4.9261361 51.5839843, 4.9255647 51.5840675, 4.9247114 51.5841978, 4.9246477 51.5842332, 4.9246062 51.5842826)",30,,,
7214767,False,Anne Frankplein,residential,False,66.68299999999999,"LINESTRING (4.9263045 51.5839524, 4.9263328 51.5840284, 4.9263314 51.5840937, 4.9260113 51.5844363, 4.9259896 51.584495)",30,,,
7215296,False,Stationsstraat,tertiary,False,42.613,"LINESTRING (4.9234035 51.5839691, 4.9233449 51.5840553, 4.9232887 51.5841393, 4.9232585 51.5841843, 4.9232491 51.5841984, 4.9231601 51.5843212)",,,,
"[7215115, 867048134]",False,Spoorlaan Zuid,residential,False,96.00999999999999,"LINESTRING (4.9234035 51.5839691, 4.9233298 51.5839722, 4.9231598 51.5839794, 4.9220469 51.5841475)",,,,
7214765,False,Stationsplein,residential,False,125.52499999999999,"LINESTRING (4.9246062 51.5842826, 4.9246477 51.5842332, 4.9247114 51.5841978, 4.9255647 51.5840675, 4.9261361 51.5839843, 4.9263045 51.5839524)",30,,,
"[731995353, 7215222]",False,Anne Frankplein,residential,False,65.095,"LINESTRING (4.9246062 51.5842826, 4.9247574 51.5843486, 4.9253891 51.5846082)",30,,,
"[373575586, 373575587, 352072031]",False,Stationsplein,residential,True,64.178,"LINESTRING (4.9246062 51.5842826, 4.9244961 51.5842601, 4.9243937 51.5842651, 4.9238204 51.5843526, 4.9237034 51.5843689)",30,,,
7215234,False,Stationsplein,residential,False,5.427,"LINESTRING (4.9231601 51.5843212, 4.9232385 51.5843182)",30,,,
7215295,False,Stationsstraat,tertiary,False,8.094,"LINESTRING (4.9231601 51.5843212, 4.9231055 51.5843856)",50,,,
7215296,False,Stationsstraat,tertiary,True,42.613,"LINESTRING (4.9231601 51.5843212, 4.9232491 51.5841984, 4.9232585 51.5841843, 4.9232887 51.5841393, 4.9233449 51.5840553, 4.9234035 51.5839691)",,,,
305641609,False,Koolaspad,residential,False,41.723,"LINESTRING (4.9231601 51.5843212, 4.9231006 51.5843235, 4.922566 51.5843869)",,,,
7215295,False,Stationsstraat,tertiary,True,8.094,"LINESTRING (4.9231055 51.5843856, 4.9231601 51.5843212)",50,,,
7215306,False,Stationsstraat,tertiary,False,107.443,"LINESTRING (4.9231055 51.5843856, 4.9223817 51.5851487, 4.9223189 51.5852191)",50,,,
7215178,False,Anne Frankplein,residential,True,35.159,"LINESTRING (4.9261152 51.5847962, 4.9261099 51.5847404, 4.9261024 51.5847013, 4.9260258 51.5845207, 4.9259896 51.584495)",30,,,
7215272,False,Anne Frankplein,tertiary,False,43.538,"LINESTRING (4.9261152 51.5847962, 4.9259821 51.5848103, 4.9255691 51.5848674, 4.9255013 51.5848825)",50,,,
7215231,False,Anne Frankplein,residential,True,31.627000000000002,"LINESTRING (4.9255013 51.5848825, 4.9254605 51.5848257, 4.9253945 51.5846441, 4.9253891 51.5846082)",30,,,
7215272,False,Anne Frankplein,tertiary,True,43.538000000000004,"LINESTRING (4.9255013 51.5848825, 4.9255691 51.5848674, 4.9259821 51.5848103, 4.9261152 51.5847962)",50,,,
7215278,False,Constance Gerlingsstraat,tertiary,False,39.18,"LINESTRING (4.9255013 51.5848825, 4.9253587 51.5850085, 4.9251868 51.5851756)",50,,,
7215051,False,Wilhelminastraat,residential,False,38.913,"LINESTRING (4.9188799 51.5849828, 4.9189169 51.585332)",,,,
7215225,False,Spoorlaan Noord,tertiary,False,118.474,"LINESTRING (4.9188799 51.5849828, 4.918769 51.5849559, 4.9186958 51.5849564, 4.9182965 51.5849944, 4.9173582 51.5851304, 4.917288 51.585155, 4.9172523 51.5851956)",50,,,
7215226,False,Spoorlaan Noord,tertiary,False,177.23,"LINESTRING (4.9188799 51.5849828, 4.9189847 51.5850102, 4.9190239 51.5850103, 4.9201896 51.5848523, 4.9203734 51.5848505, 4.9204405 51.5848645, 4.9206082 51.5849022, 4.9207313 51.5849425, 4.9208418 51.5849721, 4.9213508 51.5850563)",50,,,
7215075,True,Rembrandtlaan,tertiary,False,200.21300000000002,"LINESTRING (4.9172523 51.5851956, 4.9171651 51.585326, 4.9170941 51.5854033, 4.9165895 51.585967, 4.9163537 51.5862477, 4.9161302 51.5865291, 4.9160943 51.5865534, 4.9160418 51.5865764, 4.915819 51.5866373, 4.9157173 51.5866691)",50,,,
7215225,False,Spoorlaan Noord,tertiary,True,118.47399999999999,"LINESTRING (4.9172523 51.5851956, 4.917288 51.585155, 4.9173582 51.5851304, 4.9182965 51.5849944, 4.9186958 51.5849564, 4.918769 51.5849559, 4.9188799 51.5849828)",50,,,
7215279,False,Constance Gerlingsstraat,tertiary,False,45.809999999999995,"LINESTRING (4.9223189 51.5852191, 4.922537 51.5852807, 4.9227366 51.5853381, 4.92293 51.5853775)",50,,,
7215306,False,Stationsstraat,tertiary,True,107.443,"LINESTRING (4.9223189 51.5852191, 4.9223817 51.5851487, 4.9231055 51.5843856)",50,,,
"[344459403, 7215308]",False,Stationsstraat,unclassified,False,214.26299999999998,"LINESTRING (4.9223189 51.5852191, 4.9222598 51.5852871, 4.9207435 51.5868788)",30,,,
"[7215223, 32443327]",False,Spoorlaan Noord,tertiary,True,69.838,"LINESTRING (4.9223189 51.5852191, 4.9221064 51.5851569, 4.921928 51.5851169, 4.9217155 51.5850898, 4.9215219 51.5850789, 4.9213508 51.5850563)",50,,,
7215276,True,Spoorlaan Noord,tertiary,False,82.45200000000001,"LINESTRING (4.916183 51.5854101, 4.9162542 51.5853314, 4.9163183 51.5852962, 4.9163832 51.5852734, 4.9168161 51.5852131, 4.9169513 51.5851924, 4.9171192 51.5851789, 4.9172523 51.5851956)",50,,,
7218482,False,Spoorlaan Noord,residential,False,130.094,"LINESTRING (4.916183 51.5854101, 4.9160484 51.5853795, 4.915893 51.5853445, 4.9143651 51.5855803)",,,,
7215138,True,Laagstraat,residential,False,114.71000000000001,"LINESTRING (4.9242193 51.5853429, 4.9242036 51.5852853, 4.9241011 51.5849748, 4.9240311 51.5848129, 4.9238649 51.5845748, 4.9237034 51.5843689)",30,,,
7215215,False,Laagstraat,residential,False,154.31199999999998,"LINESTRING (4.9242193 51.5853429, 4.9242317 51.5853953, 4.9243003 51.5856603, 4.9244225 51.5861325, 4.9245446 51.5866452, 4.924561 51.5867143)",30,,,
7215240,False,Constance Gerlingsstraat,tertiary,False,55.980999999999995,"LINESTRING (4.9242193 51.5853429, 4.9239402 51.5853739, 4.9236532 51.5853922, 4.923416 51.5854059)",50,,,
