osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,junction,access,bridge
332724157,True,Estersveldlaan,tertiary,50,False,20.465,"LINESTRING (5.7452016 51.7557107, 5.7452505 51.7557619, 5.7452675 51.7558104, 5.745256 51.755885)",,,,,
1118729181,False,,unclassified,,True,10.401,"LINESTRING (5.745256 51.755885, 5.745329 51.7559669)",,,,,
1263460119,True,Estersveldlaan,tertiary,50,False,20.766,"LINESTRING (5.745256 51.755885, 5.745192 51.7558057, 5.7451779 51.7557549, 5.7452016 51.7557107)",,,,,
1263469609,True,Jan van Cuykdijk,primary,50,False,58.928,"LINESTRING (5.745256 51.755885, 5.7451587 51.7559403, 5.7450292 51.7559877, 5.7449049 51.7560314, 5.7448128 51.7560714, 5.7447063 51.756124, 5.7445501 51.7561817)",1,N321,,,
65423951,True,G.W. Lovendaalsingel,residential,50,False,6.938,"LINESTRING (5.7363673 51.7563757, 5.7362756 51.7564016)",,,,,
135793725,True,Elftweg,primary,50,False,101.02600000000001,"LINESTRING (5.7363673 51.7563757, 5.7364573 51.7565126, 5.7365358 51.7566854, 5.736576 51.7568394, 5.7366002 51.7569928, 5.7365982 51.7571558, 5.7365901 51.7572638)",2,N324,,,
"[6903732, 332724159]",False,G.W. Lovendaalsingel,residential,30,False,374.841,"LINESTRING (5.7341793 51.7571208, 5.7343125 51.7575478, 5.7343195 51.7576908, 5.7343214 51.7577296, 5.7342754 51.7578709, 5.7342047 51.7579874, 5.7341723 51.7580132, 5.734072 51.7580931, 5.7339737 51.7581426, 5.7330207 51.7586219, 5.7328971 51.7587353, 5.7328951 51.7588162, 5.7328947 51.7588313, 5.7329264 51.758897, 5.732936 51.758917, 5.7330291 51.759011, 5.7335394 51.7593413, 5.7336728 51.7594276, 5.7337785 51.7595328, 5.7338264 51.7596417, 5.733866 51.7597387, 5.7338811 51.7598394, 5.7338653 51.7598772, 5.733857 51.7599041)",,,,,
135793733,True,Sint Elisabethstraat,primary,50,False,11.588,"LINESTRING (5.7365687 51.7573733, 5.7364352 51.7573098)",,N321,,,
"[964088953, 6900374]",True,Arnoud van Gelderweg,primary,50,False,299.471,"LINESTRING (5.7365687 51.7573733, 5.7365304 51.7574954, 5.7364372 51.7576934, 5.735928 51.758445, 5.7356031 51.7588838, 5.7350871 51.7596852, 5.7350616 51.7597214, 5.7350477 51.759741, 5.734956 51.7598704)","['1', '3']",N324,,,
6900378,True,Sint Elisabethstraat,primary,50,False,41.905,"LINESTRING (5.7371757 51.7573465, 5.736836 51.757365, 5.7367317 51.7573711, 5.7365687 51.7573733)",1,N321,,,
"[332724165, 111412143]",False,Sint Elisabethstraat,primary,50,False,138.785,"LINESTRING (5.7371757 51.7573465, 5.7373805 51.7574033, 5.7378253 51.7575325, 5.7379388 51.7575654, 5.7380885 51.7576037, 5.7382765 51.757628, 5.7384885 51.7576265, 5.7386636 51.7576031, 5.7388731 51.7575461, 5.7390436 51.7574799)",,N321,,,
"[332724161, 6900219]",False,"['Gasthuisstraat', 'Brugstraat']",unclassified,30,False,71.244,"LINESTRING (5.7422303 51.7578172, 5.7421296 51.7578672, 5.741439 51.7582302)",,,,,
"[111412049, 111412099]",False,Jan van Cuykdijk,primary,50,True,15.068999999999999,"LINESTRING (5.7422303 51.7578172, 5.7423119 51.7578285, 5.7423944 51.7578336, 5.7424467 51.7578357)",,N321,,,
1153326954,False,Sint Elisabethstraat,primary,50,True,153.723,"LINESTRING (5.7422303 51.7578172, 5.7419378 51.7577459, 5.7418664 51.7577283, 5.7417831 51.7577046, 5.7412381 51.7575438, 5.740537 51.75736, 5.7401728 51.757282)",,N321,,,
111411972,False,Hamstraat,residential,30,False,63.171,"LINESTRING (5.7396548 51.7578404, 5.7398346 51.7580105, 5.7401814 51.7583055)",,,,,
"[111412008, 6899723]",True,Hamstraat,residential,30,False,68.475,"LINESTRING (5.7396548 51.7578404, 5.7396097 51.7577888, 5.7394723 51.75754, 5.7394428 51.7575216, 5.739218 51.7575312, 5.7392003 51.757532, 5.7390853 51.7575168, 5.7390436 51.7574799)",,,,,
6899720,False,De Reed van Batavia,residential,30,False,45.962,"LINESTRING (5.7394484 51.7580464, 5.7394978 51.7581162, 5.7395868 51.7582399, 5.7397003 51.758429)",,,,,
"[111412002, 6899725, 111412046, 6899751]",False,"['Prinsenstal', 'Maaskade']",residential,30,False,236.44400000000002,"LINESTRING (5.7417194 51.7583239, 5.7420064 51.7582182, 5.7420938 51.7583412, 5.7421528 51.7583536, 5.7424322 51.7587232, 5.742698 51.7590749, 5.7427179 51.7591013, 5.7427713 51.759182, 5.742689 51.7593183, 5.7425988 51.7594735, 5.7425058 51.7596496, 5.7424464 51.7597302, 5.7423089 51.759965)",,,,,
6899719,True,Sint Jorisstraat,residential,30,False,35.848,"LINESTRING (5.7401814 51.7583055, 5.7397626 51.7584123, 5.7397003 51.758429)",,,,,
6899875,False,Hamstraat,residential,30,False,46.616,"LINESTRING (5.7401814 51.7583055, 5.7405436 51.758619, 5.7405754 51.7586465)",,,,,
111411972,False,Hamstraat,residential,30,True,63.171,"LINESTRING (5.7401814 51.7583055, 5.7398346 51.7580105, 5.7396548 51.7578404)",,,,,
6899714,False,Brugstraat,unclassified,30,False,51.444,"LINESTRING (5.7413233 51.7582984, 5.7407386 51.7585866)",,,,,
111412052,False,Brugstraat,unclassified,30,True,10.997,"LINESTRING (5.7413233 51.7582984, 5.741439 51.7582302)",,,,,
6900180,False,Oliestraat,residential,30,False,139.635,"LINESTRING (5.7413233 51.7582984, 5.7413421 51.7583259, 5.7416384 51.7587513, 5.7417534 51.7589251, 5.7419078 51.7591584, 5.74203 51.75933, 5.74209 51.75946)",,,,,
6899716,False,Sint Jorisstraat,residential,30,False,6.639,"LINESTRING (5.7397003 51.758429, 5.73961 51.75845)",,,,,
6899720,False,De Reed van Batavia,residential,30,True,45.962,"LINESTRING (5.7397003 51.758429, 5.7395868 51.7582399, 5.7394978 51.7581162, 5.7394484 51.7580464)",,,,,
6899716,False,Sint Jorisstraat,residential,30,False,32.984,"LINESTRING (5.73961 51.75845, 5.7391515 51.7585363)",,,,,
6899716,False,Sint Jorisstraat,residential,30,True,6.639,"LINESTRING (5.73961 51.75845, 5.7397003 51.758429)",,,,,
6899697,False,Botermarkt,residential,30,False,46.536,"LINESTRING (5.73961 51.75845, 5.7398636 51.7588028, 5.7398749 51.7588344)",,,,,
6899716,False,Sint Jorisstraat,residential,30,True,32.984,"LINESTRING (5.7391515 51.7585363, 5.73961 51.75845)",,,,,
"[6899715, 6899846]",True,"['Boreel de Mauregnaultstraat', 'Achter de Marstal']",residential,30,False,126.14200000000001,"LINESTRING (5.7391515 51.7585363, 5.7390336 51.7583482, 5.7389217 51.7581616, 5.73882 51.757983, 5.7389988 51.7579345, 5.7392207 51.7579008, 5.7393399 51.7578719, 5.7395719 51.7578284, 5.7396548 51.7578404)",,,,,
"[6899752, 928602940]",False,Het Kasteeltje,living_street,15,False,90.53800000000001,"LINESTRING (5.7391515 51.7585363, 5.7385845 51.7586594, 5.73864 51.75875, 5.7388245 51.7590283, 5.73885 51.75907)",,,,,
6899714,False,Brugstraat,unclassified,30,True,51.444,"LINESTRING (5.7407386 51.7585866, 5.7413233 51.7582984)",,,,,
6899876,False,Brugstraat,unclassified,30,False,13.059,"LINESTRING (5.7407386 51.7585866, 5.7405754 51.7586465)",,,,,
988592771,False,Brugstraat,residential,,False,3.599,"LINESTRING (5.7407386 51.7585866, 5.7407023 51.7585633)",,,,,
"[867322315, 6899804, 6899798]",True,Rogstraat,residential,30,False,116.28699999999999,"LINESTRING (5.7407386 51.7585866, 5.7407659 51.7586103, 5.7408848 51.7587592, 5.7409916 51.7589087, 5.7411498 51.7591666, 5.7412533 51.7593596, 5.7413473 51.7595592)",,,,,
6899694,False,Klinkerstraat,unclassified,30,False,35.245,"LINESTRING (5.7405754 51.7586465, 5.740108 51.758776)",,,,,
6899876,False,Brugstraat,unclassified,30,True,13.059,"LINESTRING (5.7405754 51.7586465, 5.7407386 51.7585866)",,,,,
