osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry
4212489,1,'t Pluuke,secondary,50,roundabout,True,False,11.873000000000001,"LINESTRING (5.5551305 51.4709301, 5.5550648 51.4709433, 5.555014 51.4709494, 5.5549635 51.4709518)"
1168524203,1,Smits van Oyenlaan,secondary,50,,True,False,39.585,"LINESTRING (5.5551305 51.4709301, 5.5550979 51.4709788, 5.5550847 51.4710076, 5.5550725 51.471039, 5.5550489 51.4711142, 5.5550197 51.4712118, 5.5550411 51.4712755)"
237257371,1,'t Pluuke,secondary,50,roundabout,True,False,27.514,"LINESTRING (5.5552902 51.4707245, 5.5552995 51.470781, 5.5552855 51.4708227, 5.5552486 51.4708685, 5.5551898 51.4709075, 5.5551305 51.4709301)"
427304777,2,Europalaan,secondary,50,,False,True,187.073,"LINESTRING (5.5522716 51.4701393, 5.5514712 51.470102, 5.5509472 51.4700892, 5.5503456 51.4701075, 5.5495809 51.4701709)"
"[427305774, 1150489911]","['1', '2']",Europalaan,secondary,50,,True,False,60.279,"LINESTRING (5.5522716 51.4701393, 5.5524654 51.4701374, 5.5526863 51.4701418, 5.5527908 51.470145, 5.5530566 51.4701539, 5.553141 51.4701576)"
258027163,1,'t Pluuke,secondary,50,roundabout,True,False,15.883,"LINESTRING (5.5548914 51.4709378, 5.5548513 51.4709275, 5.5548056 51.4709033, 5.5547642 51.4708759, 5.5547327 51.4708401)"
4261903,2,Parkstraat,tertiary,30,,False,True,152.89100000000002,"LINESTRING (5.5449812 51.4706148, 5.5450116 51.4706532, 5.5450444 51.4707168, 5.5453205 51.4711655, 5.545649 51.4717385, 5.5457406 51.4719054)"
452933134,2,Parkstraat,tertiary,30,,False,False,31.343,"LINESTRING (5.5449812 51.4706148, 5.5449648 51.4705693, 5.5449574 51.4705339, 5.5449783 51.4704468, 5.5450306 51.4703402)"
"[4288848, 941095339]",,Europalaan,residential,30,,True,False,131.547,"LINESTRING (5.5449812 51.4706148, 5.5448846 51.470608, 5.5448424 51.4705955, 5.5446953 51.4704305, 5.5446625 51.4703948, 5.5445309 51.4703122, 5.5444611 51.4702767, 5.5444003 51.4702492, 5.5442649 51.4701968, 5.5440836 51.4701413, 5.5438549 51.4700808, 5.5434644 51.4699775)"
4368556,,Lindenlaan,residential,30,,True,False,82.159,"LINESTRING (5.5457406 51.4719054, 5.5468624 51.4716653)"
4261903,2,Parkstraat,tertiary,30,,False,False,152.891,"LINESTRING (5.5457406 51.4719054, 5.545649 51.4717385, 5.5453205 51.4711655, 5.5450444 51.4707168, 5.5450116 51.4706532, 5.5449812 51.4706148)"
4306953,,Parkstraat,tertiary,30,,True,False,243.72899999999998,"LINESTRING (5.5457406 51.4719054, 5.5460246 51.4723772, 5.5462042 51.4726665, 5.5462636 51.4727591, 5.5463487 51.4728526, 5.5465574 51.4730667, 5.5466634 51.4731543, 5.5471628 51.4734815, 5.5473067 51.4735757, 5.5475558 51.4737441)"
24493935,,Voirt,residential,30,,False,True,73.095,"LINESTRING (5.5457406 51.4719054, 5.5456254 51.4719367, 5.5454217 51.4719362, 5.5449588 51.4719352, 5.5446958 51.4719325)"
12284203,,Parkstraat,tertiary,30,,False,True,39.98,"LINESTRING (5.5479716 51.4739935, 5.5475558 51.4737441)"
4425407,,Park,tertiary,30,,False,True,137.966,"LINESTRING (5.5479716 51.4739935, 5.5481103 51.4740904, 5.5483973 51.4742659, 5.5487802 51.4745398, 5.5492968 51.4749189)"
"[332261796, 1022048830]",,Park,residential,30,,True,False,106.616,"LINESTRING (5.5479716 51.4739935, 5.548032 51.4739584, 5.5481151 51.4738966, 5.5482438 51.4738398, 5.5484745 51.473829, 5.5485791 51.4738022, 5.5486745 51.473772, 5.5489537 51.4736084, 5.5491383 51.4734669, 5.5491641 51.4734462)"
