osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width,bridge,lanes
7538478,Graswinckelstraat,living_street,15,False,False,85.371,"LINESTRING (4.3526439 52.006946, 4.3524517 52.0071217, 4.3519503 52.0075841)",,,
7538876,Westerstraat,living_street,15,False,True,6.906,"LINESTRING (4.3545402 52.0073719, 4.3544622 52.0073325)",,,
7539012,Hovenierstraat,living_street,15,False,False,88.325,"LINESTRING (4.3545402 52.0073719, 4.3540178 52.0078239, 4.3538147 52.0080283)",,,
144512938,Tuinstraat,living_street,15,False,True,52.836,"LINESTRING (4.3532998 52.0073995, 4.3537656 52.0070206)",,,
28347285,Zusterlaan,residential,30,False,False,55.237,"LINESTRING (4.3635802 52.0074946, 4.3635527 52.0074252, 4.3634738 52.0072261, 4.3633889 52.007012)",,,
28347285,Zusterlaan,residential,30,False,True,78.201,"LINESTRING (4.3635802 52.0074946, 4.3636185 52.0075617, 4.3636352 52.007585, 4.3636528 52.0076096, 4.3636744 52.0076357, 4.3637156 52.0076697, 4.3638167 52.0077181, 4.3641688 52.0078691, 4.3643854 52.0079665)",,,
7542238,Buitenwatersloot,residential,30,True,False,36.256,"LINESTRING (4.3519503 52.0075841, 4.3523714 52.0077819)",,,
7538478,Graswinckelstraat,living_street,15,False,True,85.371,"LINESTRING (4.3519503 52.0075841, 4.3524517 52.0071217, 4.3526439 52.006946)",,,
7538558,Oude Delft,residential,30,True,False,316.048,"LINESTRING (4.3592249 52.0076371, 4.3590941 52.0077917, 4.3589715 52.0079436, 4.3588989 52.0080335, 4.358799 52.0081774, 4.3585292 52.008618, 4.3583914 52.008807, 4.3582931 52.0089358, 4.357887 52.0094452, 4.3575857 52.0098192, 4.3572448 52.0102017)",,,
7538902,Breestraat,residential,30,False,False,60.806999999999995,"LINESTRING (4.3592249 52.0076371, 4.3592823 52.0076487, 4.3599951 52.007908)",4,,
"[409840112, 362595393, 460917781]",Oude Delft,residential,30,False,True,19.893,"LINESTRING (4.3592249 52.0076371, 4.3591329 52.0076139, 4.3590662 52.0075901, 4.3589658 52.0075567)",4,yes,
7539013,Torenstraat,residential,30,False,False,43.379000000000005,"LINESTRING (4.3647495 52.0076472, 4.3647311 52.0076644, 4.3645587 52.007815, 4.3643854 52.0079665)",,,
28347285,Zusterlaan,residential,30,False,False,111.643,"LINESTRING (4.3654144 52.0077438, 4.3653681 52.0077963, 4.3652203 52.0079741, 4.3651988 52.008, 4.3650431 52.0081945, 4.3649864 52.0082258, 4.3649291 52.0082009, 4.3645279 52.0080279, 4.3643854 52.0079665)",,,
"[1256924060, 7542190]",Van Slingelandtstraat,residential,30,False,False,54.445,"LINESTRING (4.3523913 52.007957, 4.3522116 52.0080812, 4.3518622 52.0083226)",,,
7539016,Korte Geer,residential,30,False,False,56.121,"LINESTRING (4.3599951 52.007908, 4.3602972 52.0074388)",,,
