osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access,junction,bridge,tunnel
6591950,Laagveenstraat,residential,30,False,False,17.591,"LINESTRING (4.9619105 52.4981351, 4.9617814 52.4979978)",,,,,
1208605993,Laagveenstraat,residential,30,False,False,73.134,"LINESTRING (4.9619105 52.4981351, 4.9615611 52.4982622, 4.9614262 52.4981275, 4.9617255 52.4980175, 4.9617814 52.4979978)",,,,,
6591950,Laagveenstraat,residential,30,False,True,62.626000000000005,"LINESTRING (4.9619105 52.4981351, 4.9621683 52.4984093, 4.9623746 52.4986223)",,,,,
6592015,Veenweidestraat,residential,,False,False,30.1,"LINESTRING (4.9637639 52.4982284, 4.9639817 52.4984644)",,,,,
6591951,Veenweidestraat,residential,30,False,False,74.396,"LINESTRING (4.9633151 52.4982764, 4.9625483 52.4985526, 4.9625024 52.498571, 4.9623746 52.4986223)",,,,,
6591951,Veenweidestraat,residential,30,False,True,40.456999999999994,"LINESTRING (4.9633151 52.4982764, 4.9634791 52.4984448, 4.9636138 52.4985915)",,,,,
1208634973,Veenweidestraat,residential,30,False,False,32.161,"LINESTRING (4.9633151 52.4982764, 4.9636769 52.4981419, 4.9637206 52.4981257)",,,,,
"[6592059, 6591943]","['Bovenlandsestraat', 'Veenweidestraat']",tertiary,50,False,False,80.032,"LINESTRING (4.960621 52.4983994, 4.9611315 52.49892, 4.9611655 52.4989607, 4.961177 52.4989923, 4.9611757 52.4990277)",2,,,,
6591947,Baardmosstraat,residential,30,False,True,99.846,"LINESTRING (4.9546661 52.4984764, 4.9551038 52.4983331, 4.955398 52.4983766, 4.9555387 52.4983974, 4.9556154 52.4984335, 4.955937 52.4985848, 4.9559584 52.4985949)",,,,,
6592017,Levermosstraat,residential,30,False,True,429.616,"LINESTRING (4.9546661 52.4984764, 4.9544784 52.4982527, 4.9543069 52.4980578, 4.954344 52.4980238, 4.9549883 52.4978219, 4.9551457 52.4978011, 4.9553197 52.4977977, 4.9555213 52.4978319, 4.9557911 52.4979044, 4.9560547 52.4979922, 4.956095 52.4980492, 4.9564027 52.4981914, 4.956748 52.4983511, 4.9569103 52.4983779, 4.9569619 52.4984061, 4.9572714 52.4986242, 4.9574437 52.498767, 4.9575577 52.4989137, 4.95783 52.49922, 4.9577579 52.4992453, 4.9574416 52.4993505, 4.9570615 52.4994767)",,,,,
6592038,Baardmosstraat,residential,30,False,False,51.492,"LINESTRING (4.9546661 52.4984764, 4.9548858 52.4987177, 4.9549351 52.4987717, 4.9551032 52.4988442)",,,,,
6591949,Veenweidestraat,residential,,False,False,25.684,"LINESTRING (4.9639817 52.4984644, 4.9641894 52.4986577)",,,,,
6592015,Veenweidestraat,residential,,False,True,30.1,"LINESTRING (4.9639817 52.4984644, 4.9637639 52.4982284)",,,,,
