osmid,name,highway,oneway,reversed,length,geometry,maxspeed,junction,lanes,ref
6441092,Wethouder Timmermanstraat,unclassified,False,False,152.57200000000003,"LINESTRING (6.2113758 52.6327404, 6.2111083 52.6329422, 6.2110449 52.63299, 6.2109104 52.6330915, 6.210764 52.6332019, 6.2106739 52.6332699, 6.2105485 52.6333645, 6.2103356 52.6335251, 6.21017 52.63365, 6.2099388 52.633799)",,,,
"[6447521, 6447534]","['Wethouder Hulsstraat', 'Wethouder Visscherstraat']",unclassified,False,"[False, True]",312.76099999999997,"LINESTRING (6.2113758 52.6327404, 6.2110769 52.6325926, 6.2107199 52.632416, 6.2104536 52.6322842, 6.2101195 52.6321189, 6.2099654 52.6320427, 6.209584 52.631854, 6.2095233 52.631824, 6.2094174 52.631902, 6.2091891 52.6320701, 6.2090918 52.6321417, 6.2089032 52.6322806, 6.2086144 52.6324932, 6.2085902 52.632511, 6.2080956 52.6328751)",,,,
6441087,Wethouder Klompstraat,unclassified,False,False,161.32899999999998,"LINESTRING (6.2080956 52.6328751, 6.2082846 52.6329699, 6.2084639 52.6330597, 6.2087209 52.6331885, 6.2089733 52.6333151, 6.2091394 52.6333983, 6.2093404 52.6334991, 6.2095018 52.63358, 6.2095361 52.6335972, 6.2097432 52.6337009, 6.2099388 52.633799)",,,,
6441091,Wethouder Ohmannstraat,unclassified,False,False,307.171,"LINESTRING (6.2080956 52.6328751, 6.2076834 52.6331808, 6.2073031 52.6334629, 6.2067588 52.6338666, 6.2067456 52.63394, 6.2069446 52.63404, 6.2071106 52.6341234, 6.2071632 52.6341498, 6.2077356 52.6344375, 6.2079224 52.6345313, 6.2085364 52.6348343)",,,,
"[6447521, 6447534]","['Wethouder Hulsstraat', 'Wethouder Visscherstraat']",unclassified,False,"[False, True]",312.76099999999997,"LINESTRING (6.2080956 52.6328751, 6.2085902 52.632511, 6.2086144 52.6324932, 6.2089032 52.6322806, 6.2090918 52.6321417, 6.2091891 52.6320701, 6.2094174 52.631902, 6.2095233 52.631824, 6.209584 52.631854, 6.2099654 52.6320427, 6.2101195 52.6321189, 6.2104536 52.6322842, 6.2107199 52.632416, 6.2110769 52.6325926, 6.2113758 52.6327404)",,,,
6441083,Achthoevenweg,unclassified,False,False,233.66799999999998,"LINESTRING (6.2138972 52.632957, 6.2137853 52.6331489, 6.2136168 52.6333527, 6.2134449 52.6335188, 6.2132252 52.6336893, 6.2130666 52.6338068, 6.2127683 52.6340279, 6.2126553 52.6341116, 6.2125297 52.6342047, 6.2120023 52.6345955, 6.2119059 52.6346584)",50,,,
1178812346,Oude Achthoevenweg,unclassified,False,True,9.88,"LINESTRING (6.2138972 52.632957, 6.2139468 52.6329667, 6.2140392 52.6329781)",,,,
6441087,Wethouder Klompstraat,unclassified,False,True,161.32899999999998,"LINESTRING (6.2099388 52.633799, 6.2097432 52.6337009, 6.2095361 52.6335972, 6.2095018 52.63358, 6.2093404 52.6334991, 6.2091394 52.6333983, 6.2089733 52.6333151, 6.2087209 52.6331885, 6.2084639 52.6330597, 6.2082846 52.6329699, 6.2080956 52.6328751)",,,,
6441092,Wethouder Timmermanstraat,unclassified,False,True,152.57200000000003,"LINESTRING (6.2099388 52.633799, 6.21017 52.63365, 6.2103356 52.6335251, 6.2105485 52.6333645, 6.2106739 52.6332699, 6.210764 52.6332019, 6.2109104 52.6330915, 6.2110449 52.63299, 6.2111083 52.6329422, 6.2113758 52.6327404)",,,,
6441397,Wethouder Ohmannstraat,unclassified,False,False,149.05700000000002,"LINESTRING (6.2099388 52.633799, 6.2093835 52.6341927, 6.2092567 52.6342825, 6.209228 52.6343029, 6.2085364 52.6348343)",,,,
"[6441546, 6441603]",Wethouder Klompstraat,unclassified,False,False,150.381,"LINESTRING (6.2099388 52.633799, 6.2102221 52.6339478, 6.2102649 52.6339703, 6.2104415 52.634063, 6.2106105 52.6341518, 6.2106665 52.63418, 6.2107056 52.6341997, 6.2107815 52.6342378, 6.2110258 52.6343607, 6.2113185 52.634508, 6.2114884 52.6345932, 6.211641 52.6346717)",,,,
