osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,access
186290648,Celebeslaan,residential,30,False,False,57.778999999999996,"LINESTRING (5.2470747 52.292077, 5.2473274 52.2925098, 5.2473331 52.2925199, 5.2473611 52.2925662)",,,
7016563,Lindenlaan,unclassified,30,False,True,5.251,"LINESTRING (5.2404168 52.2921208, 5.2404635 52.2920832)",,,
7016774,Lindenlaan,unclassified,30,False,False,7.417,"LINESTRING (5.2404168 52.2921208, 5.2403551 52.2921758)",,,
711677022,Haardstedelaan,tertiary,50,True,False,30.162,"LINESTRING (5.2404168 52.2921208, 5.2405572 52.2922206, 5.2406369 52.2923514)",,,
7016559,Dahliastraat,unclassified,,False,False,68.419,"LINESTRING (5.2417719 52.2922489, 5.2421555 52.2927303, 5.2422583 52.2927794)",,,
"[7016731, 1120584893]","['Haardstedelaan', 'Dahliastraat']",unclassified,30,False,False,94.01,"LINESTRING (5.2417719 52.2922489, 5.2415662 52.2922826, 5.2407158 52.292188, 5.2404635 52.2920832)",,,
7016733,Kastanjelaan,unclassified,,False,False,67.234,"LINESTRING (5.2360381 52.2922922, 5.236916 52.2925702)",,,
7016547,Lage Laarderweg,residential,30,False,False,65.14699999999999,"LINESTRING (5.2360381 52.2922922, 5.23595 52.2925994, 5.2358768 52.2928697)",,,
7016934,Blaricummerstraat,secondary,50,True,False,28.387,"LINESTRING (5.2392552 52.2922684, 5.2392601 52.2922212, 5.2393397 52.2920811, 5.239373 52.292025)",,,
967283524,Blaricummerstraat,secondary,50,False,True,57.92,"LINESTRING (5.2392552 52.2922684, 5.2390315 52.2924938, 5.2387681 52.2926943)",,,
7017154,Oranje Nassauplein,unclassified,,False,False,19.03,"LINESTRING (5.2346435 52.2924618, 5.2346113 52.2926318)",,,
555763283,Oranje Nassauplein,unclassified,,False,True,7.176,"LINESTRING (5.2346435 52.2924618, 5.234749 52.2924611)",,,
7017164,Oranje Nassauplein,unclassified,,False,True,149.002,"LINESTRING (5.2346435 52.2924618, 5.234576 52.2922936, 5.2344598 52.2921645, 5.2344953 52.2919151, 5.2345734 52.291876, 5.2347648 52.291884, 5.2348192 52.2919278, 5.234749 52.2924611)",,,
7016733,Kastanjelaan,unclassified,,False,True,67.234,"LINESTRING (5.236916 52.2925702, 5.2360381 52.2922922)",,,
7016733,Kastanjelaan,unclassified,,False,False,97.059,"LINESTRING (5.236916 52.2925702, 5.2381084 52.2929573, 5.2381666 52.2929883)",,,
7016558,Borneolaan,unclassified,,False,False,52.874,"LINESTRING (5.2473611 52.2925662, 5.2467766 52.2926948, 5.2466303 52.2927284)",,,
186290648,Celebeslaan,residential,30,False,True,57.778999999999996,"LINESTRING (5.2473611 52.2925662, 5.2473331 52.2925199, 5.2473274 52.2925098, 5.2470747 52.292077)",,,
7016718,Ceintuurbaan,unclassified,30,False,False,22.384,"LINESTRING (5.2387681 52.2926943, 5.2388474 52.292768, 5.2389416 52.2928653)",,,
7016938,Ceintuurbaan,secondary,50,False,False,52.433,"LINESTRING (5.2387681 52.2926943, 5.2384962 52.2928425, 5.2381666 52.2929883)",2,,
967283524,Blaricummerstraat,secondary,50,False,False,57.92,"LINESTRING (5.2387681 52.2926943, 5.2390315 52.2924938, 5.2392552 52.2922684)",,,
7016558,Borneolaan,unclassified,,False,True,52.874,"LINESTRING (5.2466303 52.2927284, 5.2467766 52.2926948, 5.2473611 52.2925662)",,,
