osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,tunnel,bridge,width
6822410,1,Satu Mare Rotonde,tertiary,50,roundabout,True,False,8.184999999999999,"LINESTRING (6.1988775 52.1354467, 6.1989369 52.1354415, 6.198996 52.1354476)",,,
6822410,1,Satu Mare Rotonde,tertiary,50,roundabout,True,False,12.953000000000001,"LINESTRING (6.198996 52.1354476, 6.1990388 52.1354602, 6.1990754 52.1354787, 6.1991037 52.1355021, 6.1991218 52.135529)",,,
6822012,1,Henri Dunantweg,residential,30,,False,False,12.018,"LINESTRING (6.1963731 52.135442, 6.196496 52.1355194)",,,
6822012,1,Henri Dunantweg,residential,30,,False,True,12.018,"LINESTRING (6.196496 52.1355194, 6.1963731 52.135442)",,,
6822058,1,Henri Dunantweg,residential,50,,False,False,84.72800000000001,"LINESTRING (6.196496 52.1355194, 6.1967933 52.1357198, 6.1972571 52.1360176, 6.1973313 52.1360821)",,,
6822161,1,Hoornwerk,residential,30,,False,False,253.31,"LINESTRING (6.196496 52.1355194, 6.1960422 52.1357274, 6.1960004 52.135758, 6.1959692 52.1357878, 6.1948752 52.1363717, 6.1946472 52.1364959, 6.1937621 52.1367825, 6.19354 52.1368735)",,,
"[6822376, 379126949]",,Tadamastraat,tertiary,50,,True,False,105.67,"LINESTRING (6.1991218 52.135529, 6.1992753 52.1355219, 6.1993914 52.1355284, 6.1994779 52.1355432, 6.1996454 52.1355761, 6.1997821 52.1356103, 6.2000016 52.1356939, 6.2001642 52.1357949, 6.2002244 52.1358343, 6.2003989 52.135974)",,,
6822410,1,Satu Mare Rotonde,tertiary,50,roundabout,True,False,7.504,"LINESTRING (6.1991218 52.135529, 6.1991289 52.1355624, 6.1991204 52.1355958)",,,
6822410,1,Satu Mare Rotonde,tertiary,50,roundabout,True,False,15.860999999999999,"LINESTRING (6.1987405 52.135552, 6.1987534 52.1355172, 6.1987825 52.1354864, 6.1988251 52.1354621, 6.1988775 52.1354467)",,,
6822410,1,Satu Mare Rotonde,tertiary,50,roundabout,True,False,31.372999999999998,"LINESTRING (6.1991204 52.1355958, 6.1990957 52.1356276, 6.1990569 52.1356536, 6.1990074 52.1356715, 6.1989515 52.1356798, 6.1988942 52.1356777, 6.1988403 52.1356654, 6.1987947 52.1356439, 6.1987613 52.1356152)",,,
6822375,,Houtwal,tertiary,50,,True,False,95.567,"LINESTRING (6.1987613 52.1356152, 6.1986194 52.1356403, 6.1983063 52.1357225, 6.1980433 52.1358256, 6.197705 52.1359797, 6.1975656 52.1360483)",,,
6822410,1,Satu Mare Rotonde,tertiary,50,roundabout,True,False,7.2379999999999995,"LINESTRING (6.1987613 52.1356152, 6.1987438 52.1355845, 6.1987405 52.135552)",,,
6822063,1,Houtwal,residential,50,,False,False,274.08,"LINESTRING (6.2003989 52.135974, 6.1998712 52.1362507, 6.1996983 52.1363517, 6.1995297 52.1364542, 6.1988221 52.1368377, 6.19873 52.1368454, 6.198571 52.1368279, 6.1984679 52.1368, 6.1981862 52.1366703, 6.1979393 52.1365057, 6.1974635 52.1361886, 6.19739 52.1361338)",,,
6822371,,Tadamastraat,tertiary,50,,True,False,99.37,"LINESTRING (6.2003989 52.135974, 6.2001518 52.1358793, 6.1998953 52.1357571, 6.1997906 52.1357064, 6.1996569 52.1356583, 6.1994429 52.1356132, 6.1993605 52.1356016, 6.1992782 52.135595, 6.1991204 52.1355958)",,,
6822393,1,Tadamastraat,tertiary,50,,False,False,78.589,"LINESTRING (6.2003989 52.135974, 6.2008573 52.1363198, 6.2011202 52.1365249)",,,
6822392,,Houtwal,tertiary,50,,False,False,15.301,"LINESTRING (6.1975656 52.1360483, 6.1974239 52.1361188, 6.19739 52.1361338)",,,
6822058,1,Henri Dunantweg,residential,50,,False,True,7.007,"LINESTRING (6.19739 52.1361338, 6.1973313 52.1360821)",,,
379107951,,Houtwal,tertiary,50,,False,False,43.765,"LINESTRING (6.19739 52.1361338, 6.1968605 52.1363558)",,,
6822063,1,Houtwal,residential,50,,False,True,274.08000000000004,"LINESTRING (6.19739 52.1361338, 6.1974635 52.1361886, 6.1979393 52.1365057, 6.1981862 52.1366703, 6.1984679 52.1368, 6.198571 52.1368279, 6.19873 52.1368454, 6.1988221 52.1368377, 6.1995297 52.1364542, 6.1996983 52.1363517, 6.1998712 52.1362507, 6.2003989 52.135974)",,,
6822392,,Houtwal,tertiary,50,,False,True,15.301,"LINESTRING (6.19739 52.1361338, 6.1974239 52.1361188, 6.1975656 52.1360483)",,,
6822046,,Tadamasingel,residential,30,,False,False,24.748,"LINESTRING (6.2011202 52.1365249, 6.2008391 52.1366655)",,,
6822393,1,Tadamastraat,tertiary,50,,False,False,109.33800000000001,"LINESTRING (6.2011202 52.1365249, 6.201795 52.1370617, 6.2019654 52.1372169, 6.2020555 52.1373213)",,,
6822393,1,Tadamastraat,tertiary,50,,False,True,78.589,"LINESTRING (6.2011202 52.1365249, 6.2008573 52.1363198, 6.2003989 52.135974)",,,
"[6823493, 6823494]",,Veerstraat,residential,30,,False,False,104.22,"LINESTRING (6.1921761 52.1366362, 6.1922941 52.1366286, 6.1930344 52.1366139, 6.1931659 52.1366468, 6.19354 52.1368735)",,,
6823544,1,Vispoortstraat,residential,30,,False,False,101.79,"LINESTRING (6.1921761 52.1366362, 6.1922405 52.1368149, 6.1923934 52.137279, 6.1924524 52.1373832, 6.1925838 52.137508)",,,
6822161,1,Hoornwerk,residential,30,,False,True,253.31,"LINESTRING (6.19354 52.1368735, 6.1937621 52.1367825, 6.1946472 52.1364959, 6.1948752 52.1363717, 6.1959692 52.1357878, 6.1960004 52.135758, 6.1960422 52.1357274, 6.196496 52.1355194)",,,
"[6823493, 6823494]",,Veerstraat,residential,30,,False,True,104.22,"LINESTRING (6.19354 52.1368735, 6.1931659 52.1366468, 6.1930344 52.1366139, 6.1922941 52.1366286, 6.1921761 52.1366362)",,,
6823808,,Hoornwerk,residential,30,,False,False,96.203,"LINESTRING (6.19354 52.1368735, 6.1933666 52.1369693, 6.1930184 52.1371982, 6.1925838 52.137508)",,,
388812232,,Tadamasingel,residential,30,,False,False,35.319,"LINESTRING (6.2011414 52.1369233, 6.2008391 52.1366655)",,,
6822089,,Tadamasingel,residential,30,,False,False,45.804,"LINESTRING (6.2011414 52.1369233, 6.2014473 52.1371773, 6.2013369 52.1372454)",,,
6822089,,Tadamasingel,residential,30,,False,True,57.769999999999996,"LINESTRING (6.2011414 52.1369233, 6.2007478 52.1371027, 6.2004595 52.1372311)",,,
6822089,,Tadamasingel,residential,30,,False,True,37.796,"LINESTRING (6.2004595 52.1372311, 6.2000357 52.1374499)",,,
6822046,,Tadamasingel,residential,30,,False,True,89.089,"LINESTRING (6.2004595 52.1372311, 6.2002194 52.1370589, 6.2002261 52.1369659, 6.2008391 52.1366655)",,,
6822089,,Tadamasingel,residential,30,,False,False,57.769999999999996,"LINESTRING (6.2004595 52.1372311, 6.2007478 52.1371027, 6.2011414 52.1369233)",,,
6822220,1,Spittaalstraat,residential,30,,True,False,36.179,"LINESTRING (6.2020555 52.1373213, 6.2019732 52.137367, 6.2019347 52.1373898, 6.2016573 52.1374922, 6.2016214 52.1375055)",,,
6822393,1,Tadamastraat,tertiary,50,,False,True,109.33800000000001,"LINESTRING (6.2020555 52.1373213, 6.2019654 52.1372169, 6.201795 52.1370617, 6.2011202 52.1365249)",,,
6822089,,Tadamasingel,residential,30,,False,False,37.796,"LINESTRING (6.2000357 52.1374499, 6.2004595 52.1372311)",,,
257649917,,Tadamasingel,residential,30,,False,True,10.822,"LINESTRING (6.2000357 52.1374499, 6.2001135 52.1375347)",,,
6822089,,Tadamasingel,residential,30,,False,True,26.882,"LINESTRING (6.2000357 52.1374499, 6.1998372 52.1375454, 6.1997675 52.1376211)",,,
257649918,,Tadamasingel,residential,30,,False,True,34.835,"LINESTRING (6.2016214 52.1375055, 6.2013369 52.1372454)",,,
6822220,1,Spittaalstraat,residential,30,,True,False,85.871,"LINESTRING (6.2016214 52.1375055, 6.2013437 52.1375911, 6.2004787 52.1378284)",,,
6823544,1,Vispoortstraat,residential,30,,False,False,82.979,"LINESTRING (6.1925838 52.137508, 6.1927152 52.1376301, 6.1927799 52.1376685, 6.192925 52.1377545, 6.1934713 52.1380089)",,,
6823544,1,Vispoortstraat,residential,30,,False,True,101.78999999999999,"LINESTRING (6.1925838 52.137508, 6.1924524 52.1373832, 6.1923934 52.137279, 6.1922405 52.1368149, 6.1921761 52.1366362)",,,
