osmid,name,highway,maxspeed,oneway,reversed,length,geometry,access,junction,width,bridge
7170987,Emmausstraat,residential,30,False,False,171.24099999999999,"LINESTRING (5.4584273 51.5602857, 5.45827 51.5607, 5.45822 51.56123, 5.45802 51.5618)",,,,
7171164,Mater Lemmensstraat,residential,30,False,False,115.976,"LINESTRING (5.4584273 51.5602857, 5.4578577 51.5602908, 5.4567687 51.5604179)",,,,
515069888,Mater Lemmensstraat,residential,30,False,True,54.422,"LINESTRING (5.4584273 51.5602857, 5.4588603 51.5602757, 5.4591295 51.5602684, 5.4592129 51.5602599)",,,,
7171236,Mater Lemmensstraat,residential,30,False,False,159.00900000000001,"LINESTRING (5.4545215 51.5602717, 5.45537 51.56044, 5.4557191 51.5604726, 5.4560455 51.5604723, 5.4564111 51.5604601, 5.4567687 51.5604179)",,,,
25701347,Kasteellaan,unclassified,30,False,True,52.5,"LINESTRING (5.4545215 51.5602717, 5.4543587 51.5605863, 5.4543425 51.5607276)",yes,,,
515069888,Mater Lemmensstraat,residential,30,False,False,54.422,"LINESTRING (5.4592129 51.5602599, 5.4591295 51.5602684, 5.4588603 51.5602757, 5.4584273 51.5602857)",,,,
7171164,Mater Lemmensstraat,residential,30,False,True,115.976,"LINESTRING (5.4567687 51.5604179, 5.4578577 51.5602908, 5.4584273 51.5602857)",,,,
7171236,Mater Lemmensstraat,residential,30,False,True,159.00900000000001,"LINESTRING (5.4567687 51.5604179, 5.4564111 51.5604601, 5.4560455 51.5604723, 5.4557191 51.5604726, 5.45537 51.56044, 5.4545215 51.5602717)",,,,
961132660,Hertog Hendrikstraat,residential,50,True,False,23.962,"LINESTRING (5.4624148 51.5611841, 5.4622877 51.5611969, 5.4622585 51.5611998, 5.4620702 51.5612003)",,,,
961133040,,tertiary,50,True,False,9.403,"LINESTRING (5.4624148 51.5611841, 5.4623822 51.5611579, 5.4623694 51.5611384, 5.4623617 51.5611084)",,roundabout,,
200494614,Hertog Hendrikstraat,residential,30,False,True,32.78,"LINESTRING (5.4616189 51.5612908, 5.4620702 51.5612003)",,,,
7171398,Hertog Hendrikstraat,residential,30,False,False,63.264,"LINESTRING (5.4616189 51.5612908, 5.4611988 51.5613576, 5.4607296 51.561425)",,,,
7171398,Hertog Hendrikstraat,residential,30,False,True,63.264,"LINESTRING (5.4607296 51.561425, 5.4611988 51.5613576, 5.4616189 51.5612908)",,,,
7171404,Hertog Hendrikstraat,residential,30,False,False,63.629,"LINESTRING (5.4607296 51.561425, 5.46032 51.5615029, 5.4600239 51.5616053, 5.4598934 51.5616553)",,,,
7171115,Streepenstraat,residential,30,False,True,47.375,"LINESTRING (5.4596605 51.5612546, 5.4598934 51.5616553)",,,,
515069890,Streepenstraat,residential,30,True,False,114.914,"LINESTRING (5.4596605 51.5612546, 5.4592261 51.5603184, 5.4592129 51.5602599)",,,,
7171528,Corridor,tertiary,50,False,True,17.891,"LINESTRING (5.4630417 51.5615188, 5.4628414 51.5614169)",,,,
123253350,Corridor,residential,30,False,False,10.395,"LINESTRING (5.4630417 51.5615188, 5.463188 51.5614972)",,,3,
7171528,Corridor,tertiary,50,False,False,99.728,"LINESTRING (5.4630417 51.5615188, 5.46357 51.56179, 5.464086 51.5621348)",,,,
7171115,Streepenstraat,residential,30,False,False,47.375,"LINESTRING (5.4598934 51.5616553, 5.4596605 51.5612546)",,,,
7171404,Hertog Hendrikstraat,residential,30,False,False,70.789,"LINESTRING (5.4598934 51.5616553, 5.45971 51.5617729, 5.4595418 51.5618978, 5.4593727 51.5620661, 5.4592636 51.5621546)",,,,
7171404,Hertog Hendrikstraat,residential,30,False,True,63.629,"LINESTRING (5.4598934 51.5616553, 5.4600239 51.5616053, 5.46032 51.5615029, 5.4607296 51.561425)",,,,
7170987,Emmausstraat,residential,30,False,True,171.24099999999999,"LINESTRING (5.45802 51.5618, 5.45822 51.56123, 5.45827 51.5607, 5.4584273 51.5602857)",,,,
"[7171409, 7171347]",Kofferen,residential,30,False,False,36.416000000000004,"LINESTRING (5.45802 51.5618, 5.4582 51.56184, 5.45851 51.56192)",,,,
