osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,access,tunnel,junction,ref
6754289,Zwartbroekstraat,residential,50,False,False,12.822,,"LINESTRING (5.9878848 51.189444, 5.9879259 51.1895564)",,,,
53435507,Zwartbroekplein,secondary_link,50,True,False,63.153000000000006,2,"LINESTRING (5.9878848 51.189444, 5.9884141 51.1893096, 5.9884639 51.189295, 5.9885155 51.1892801, 5.988582 51.1892459, 5.9886051 51.189228, 5.9886229 51.1892042, 5.9886345 51.1891682)",,,,
254823726,Zwartbroekplein,secondary,50,True,False,58.792,2,"LINESTRING (5.9878848 51.189444, 5.9884451 51.1893747, 5.9885034 51.1893677, 5.9885601 51.1893609, 5.9887125 51.1893418)",,,,
1189585915,Graaf Reinaldstraat,residential,30,False,True,80.04,,"LINESTRING (5.9845654 51.1893736, 5.9845548 51.1893831, 5.9845378 51.1893909, 5.984518 51.1893963, 5.9844972 51.1893994, 5.9844001 51.1894029, 5.9834316 51.1894151)",,,,
"[6754248, 6754337]","['Dokter Leursstraat', 'Bisschop Lindanussingel']",residential,30,True,False,103.328,,"LINESTRING (5.9834316 51.1894151, 5.9834456 51.1896784, 5.9834528 51.1899047, 5.9834467 51.1900069, 5.9834255 51.1901104, 5.9833847 51.1902353, 5.9832256 51.1902693)",,,,
1189585915,Graaf Reinaldstraat,residential,30,False,False,80.04,,"LINESTRING (5.9834316 51.1894151, 5.9844001 51.1894029, 5.9844972 51.1893994, 5.984518 51.1893963, 5.9845378 51.1893909, 5.9845548 51.1893831, 5.9845654 51.1893736)",,,,
6754260,Graaf Reinaldstraat,residential,30,False,False,86.93299999999999,,"LINESTRING (5.9847578 51.1893863, 5.9847882 51.1893871, 5.9848297 51.1893943, 5.9849072 51.1894115, 5.9859373 51.1896381)",,,,
"[6754296, 6754260]","['Bisschop Boermansstraat', 'Graaf Reinaldstraat']",residential,30,False,"[False, True]",132.659,,"LINESTRING (5.9847578 51.1893863, 5.9847268 51.1893912, 5.9847076 51.1894005, 5.9846929 51.1894149, 5.9846826 51.1894313, 5.9846715 51.1894641, 5.9846054 51.1900075, 5.9843004 51.1905174)",,,,
65624780,Willem II Singel,busway,50,True,False,18.979,1,"LINESTRING (5.9906356 51.1893923, 5.9905629 51.1893677, 5.9904955 51.1893516, 5.9904428 51.1893447, 5.9903793 51.1893412)",,,,
278914045,Koninginnelaan,busway,50,True,False,17.586,1,"LINESTRING (5.9906356 51.1893923, 5.9905722 51.1893503, 5.9905304 51.1893022, 5.9905022 51.1892602)",,,,
6754289,Zwartbroekstraat,residential,50,False,True,12.822,,"LINESTRING (5.9879259 51.1895564, 5.9878848 51.189444)",,,,
1088164894,Zwartbroekplein,secondary,50,False,True,6.05,,"LINESTRING (5.9879259 51.1895564, 5.9880105 51.1895442)",,,,
6754517,Minderbroederssingel,secondary,50,True,False,99.69,,"LINESTRING (5.9879259 51.1895564, 5.9873381 51.1896382, 5.9870118 51.1896903, 5.9868409 51.1897315, 5.9866766 51.189781, 5.9865797 51.1898317)",,,,
1088164894,Zwartbroekplein,secondary,50,False,False,6.05,,"LINESTRING (5.9880105 51.1895442, 5.9879259 51.1895564)",,,,
"[978063104, 6754255, 603750608, 74879424]","['Minderbroedersstraat', 'Zwartbroekstraat']",residential,"['50', '30']",True,False,214.021,,"LINESTRING (5.9880105 51.1895442, 5.9880343 51.1896095, 5.9880431 51.1896632, 5.988019 51.18971, 5.9879284 51.1898013, 5.9875594 51.1901641, 5.9870754 51.190826, 5.9869727 51.1909568, 5.9867593 51.1912726)",,,,
"[1078574946, 6754260]",Graaf Reinaldstraat,residential,30,False,False,41.730999999999995,,"LINESTRING (5.9859373 51.1896381, 5.9863213 51.1897251, 5.9863773 51.1897384, 5.9864864 51.1897834)",,,,
6754260,Graaf Reinaldstraat,residential,30,False,True,86.933,,"LINESTRING (5.9859373 51.1896381, 5.9849072 51.1894115, 5.9848297 51.1893943, 5.9847882 51.1893871, 5.9847578 51.1893863)",,,,
