osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,bridge,ref
242640383,東門街,tertiary,False,False,113.12899999999999,"LINESTRING (120.9721292 24.80416, 120.9715315 24.8041723, 120.9711552 24.80418, 120.9710087 24.804183)",,,,
242640386,民族路,tertiary,False,False,170.265,"LINESTRING (120.9721292 24.80416, 120.97196 24.8035201, 120.9718389 24.8030729, 120.9717554 24.8027408, 120.9717378 24.8026706)",2,,,
34639372,東門圓環,tertiary,True,False,32.509,"LINESTRING (120.9710087 24.804183, 120.970986 24.8042508, 120.9709469 24.8043112, 120.9708949 24.8043593, 120.9708204 24.8044092)",5,roundabout,,
242640383,東門街,tertiary,False,True,113.12899999999999,"LINESTRING (120.9710087 24.804183, 120.9711552 24.80418, 120.9715315 24.8041723, 120.9721292 24.80416)",,,,
"[271086465, 30104588]",中正路,tertiary,False,False,198.583,"LINESTRING (120.9702566 24.8044562, 120.9701811 24.8045495, 120.9699779 24.8048105, 120.9697426 24.8051109, 120.9695713 24.8053297, 120.9695259 24.8053876, 120.9694962 24.8054261, 120.9691716 24.8058468, 120.969121 24.8059145)",,,,
34639372,東門圓環,tertiary,True,False,41.691,"LINESTRING (120.9702566 24.8044562, 120.9701693 24.8044086, 120.9701126 24.8043663, 120.9700745 24.8043079, 120.9700478 24.8042145, 120.9700482 24.804163)",5,roundabout,,
34639372,東門圓環,tertiary,True,False,14.95,"LINESTRING (120.9700482 24.804163, 120.9700679 24.8041102, 120.9701171 24.8040454)",5,roundabout,,
326490089,東門街,residential,False,True,103.38300000000001,"LINESTRING (120.9700482 24.804163, 120.9699069 24.8041622, 120.9698964 24.8041623, 120.969024 24.8041679)",,,,
34639372,東門圓環,tertiary,True,False,21.447,"LINESTRING (120.9701171 24.8040454, 120.9701945 24.8040032, 120.9703115 24.8039712)",5,roundabout,,
36726276,文昌街,residential,False,False,83.18100000000001,"LINESTRING (120.9701171 24.8040454, 120.970022 24.8039916, 120.9694157 24.8036527)",,,,
30104587,勝利路,residential,True,False,119.562,"LINESTRING (120.9703115 24.8039712, 120.9702766 24.8038788, 120.9699688 24.8029687, 120.9699605 24.8029443)",,,,
34639372,東門圓環,tertiary,True,False,37.221999999999994,"LINESTRING (120.9703115 24.8039712, 120.9704826 24.8039468, 120.9706781 24.8039422)",5,roundabout,,
34639372,東門圓環,tertiary,True,False,18.384,"LINESTRING (120.9706781 24.8039422, 120.9707633 24.8039451, 120.9708583 24.8039623)",5,roundabout,,
34639372,東門圓環,tertiary,True,False,29.561000000000003,"LINESTRING (120.9708583 24.8039623, 120.970908 24.8039993, 120.9709459 24.8040444, 120.9709794 24.8040969, 120.9710087 24.804183)",5,roundabout,,
"[34995736, 775159377]",中正路,tertiary,False,False,153.61200000000002,"LINESTRING (120.9708583 24.8039623, 120.9709026 24.8038642, 120.9709711 24.8037059, 120.9711537 24.8032588, 120.9712442 24.8030374, 120.971311 24.802874, 120.9713526 24.8027721, 120.9713652 24.8027414, 120.9713945 24.8026695)",2,,,
34639373,復興路,residential,False,True,126.95,"LINESTRING (120.968006 24.8041558, 120.968736 24.8032261)",,,,
326490089,東門街,residential,False,False,102.763,"LINESTRING (120.968006 24.8041558, 120.969024 24.8041679)",,,,
326490089,東門街,residential,False,True,39.531,"LINESTRING (120.968006 24.8041558, 120.9676151 24.8041777)",,,,
34639372,東門圓環,tertiary,True,False,18.4,"LINESTRING (120.9704378 24.8044698, 120.9703602 24.8044699, 120.9702566 24.8044562)",5,roundabout,,
34995734,府後街,residential,True,False,158.57399999999998,"LINESTRING (120.9708126 24.8058547, 120.9707872 24.8057603, 120.9706834 24.8053749, 120.970472 24.80459, 120.9704378 24.8044698)",,,,
292245529,土城橋,residential,False,False,41.323,"LINESTRING (120.9708126 24.8058547, 120.9708563 24.8058447, 120.9711199 24.8057844, 120.9712096 24.8057639)",,,yes,
34639372,東門圓環,tertiary,True,False,39.315,"LINESTRING (120.9708204 24.8044092, 120.9706649 24.8044469, 120.9705513 24.8044606, 120.9704378 24.8044698)",5,roundabout,,
34995735,文化街,residential,True,False,155.675,"LINESTRING (120.9708204 24.8044092, 120.9708496 24.8045108, 120.970978 24.8049576, 120.9711892 24.8056929, 120.9712096 24.8057639)",,,,
34995736,中正路,tertiary,False,False,6.008,"LINESTRING (120.9713945 24.8026695, 120.9714168 24.8026194)",2,,,
"[34995736, 775159377]",中正路,tertiary,False,True,153.612,"LINESTRING (120.9713945 24.8026695, 120.9713652 24.8027414, 120.9713526 24.8027721, 120.971311 24.802874, 120.9712442 24.8030374, 120.9711537 24.8032588, 120.9709711 24.8037059, 120.9709026 24.8038642, 120.9708583 24.8039623)",2,,,
35434078,中山路,tertiary,False,False,112.773,"LINESTRING (120.9686117 24.8065797, 120.9685253 24.8065253, 120.9676937 24.8060016)",2,,,
242614236,中正路,tertiary,False,True,90.076,"LINESTRING (120.9686117 24.8065797, 120.9687071 24.8064545, 120.9687272 24.8064282, 120.9690631 24.8059901, 120.969121 24.8059145)",,,,
328896992,中正路,tertiary,False,False,69.48,"LINESTRING (120.9686117 24.8065797, 120.9685319 24.8066859, 120.9685165 24.8067056, 120.9682148 24.8070902)",,,,
290208087,世界街,residential,False,False,62.946,"LINESTRING (120.9693756 24.8087589, 120.9698849 24.8090856)",,,,
"[676329575, 294347908, 290208086, 290208087]","['世界街', '府院橋']",residential,False,True,66.40100000000001,"LINESTRING (120.9693756 24.8087589, 120.9692788 24.8086973, 120.9691479 24.8086162, 120.9690861 24.8085765, 120.9688905 24.8084506, 120.9688367 24.8084164)",,,yes,
294347909,文化街,residential,False,True,134.88299999999998,"LINESTRING (120.9693756 24.8087589, 120.9693878 24.8087433, 120.9695712 24.8085087, 120.969881 24.8081123, 120.9700646 24.8078774, 120.9701152 24.807812, 120.9701489 24.8077696)",,,,
93114898,平和街,residential,True,False,94.866,"LINESTRING (120.9672374 24.8046717, 120.9667099 24.8053778)",,,,
328764242,中央路,residential,True,False,47.422,"LINESTRING (120.9672374 24.8046717, 120.9668673 24.804409)",,,,
328764237,大同路,residential,False,False,68.778,"LINESTRING (120.9673135 24.8065149, 120.9676937 24.8060016)",,,,
100635008,英明街,residential,False,False,111.21300000000001,"LINESTRING (120.9673135 24.8065149, 120.9677165 24.8067721, 120.9681611 24.8070559, 120.9682148 24.8070902)",,,,
100635008,英明街,residential,False,True,148.83599999999998,"LINESTRING (120.9673135 24.8065149, 120.9668024 24.8061937, 120.9663384 24.806145, 120.9659548 24.8061073)",,,,
328764237,大同路,residential,False,True,164.548,"LINESTRING (120.9673135 24.8065149, 120.9668417 24.8071518, 120.9664038 24.8077429)",,,,
328764237,大同路,residential,False,True,93.873,"LINESTRING (120.9682126 24.805301, 120.9676937 24.8060016)",,,,
328764243,大同路,residential,False,False,67.461,"LINESTRING (120.9682126 24.805301, 120.9685666 24.8047864)",,,,
242614232,中央路,residential,False,True,114.28400000000002,"LINESTRING (120.9682126 24.805301, 120.9684088 24.8054335, 120.9686395 24.8055893, 120.9689158 24.8057759, 120.9690628 24.8058752, 120.969121 24.8059145)",,,,
328764242,中央路,residential,True,False,120.778,"LINESTRING (120.9682126 24.805301, 120.9677827 24.8050214, 120.9673066 24.8047195, 120.9672374 24.8046717)",,,,
93114898,平和街,residential,True,False,66.864,"LINESTRING (120.9676151 24.8041777, 120.9672374 24.8046717)",,,,
93114902,東前街,residential,False,True,115.061,"LINESTRING (120.9676151 24.8041777, 120.9666999 24.8035608)",,,,
326490089,東門街,residential,False,False,39.531,"LINESTRING (120.9676151 24.8041777, 120.968006 24.8041558)",,,,
326490089,東門街,residential,False,True,79.742,"LINESTRING (120.9676151 24.8041777, 120.9668673 24.804409)",,,,
93114902,東前街,residential,False,False,117.50399999999999,"LINESTRING (120.9676151 24.8041777, 120.9677707 24.8042727, 120.9684298 24.8047012, 120.9685666 24.8047864)",,,,
328896994,北大路,tertiary,False,True,84.621,"LINESTRING (120.9659132 24.8084053, 120.9652217 24.807975)",,,,
328764237,大同路,residential,False,False,88.75399999999999,"LINESTRING (120.9659132 24.8084053, 120.966151 24.8080843, 120.9662419 24.8079615, 120.9664038 24.8077429)",,,,
328896994,北大路,tertiary,False,False,106.204,"LINESTRING (120.9659132 24.8084053, 120.9667214 24.8089082, 120.9667811 24.8089453)",,,,
35434078,中山路,tertiary,False,False,79.385,"LINESTRING (120.9667099 24.8053778, 120.9660773 24.8049536)",2,,,
35434078,中山路,tertiary,False,True,121.166,"LINESTRING (120.9667099 24.8053778, 120.9670016 24.8055628, 120.9671998 24.8057014, 120.9676937 24.8060016)",2,,,
35434078,中山路,tertiary,False,True,79.385,"LINESTRING (120.9660773 24.8049536, 120.9667099 24.8053778)",2,,,
