osmid,oneway,name,highway,reversed,length,ref,geometry,bridge,maxspeed
104702329,False,建興路,residential,True,7.099,,"LINESTRING (120.4892877 24.1489131, 120.4892184 24.1489219)",,
104702356,True,中興路一段,secondary,False,69.566,134,"LINESTRING (120.4892877 24.1489131, 120.4893643 24.1495348)",,
104702329,False,建興路,residential,False,224.873,,"LINESTRING (120.4892877 24.1489131, 120.4897016 24.1488523, 120.4898559 24.1488318, 120.4900385 24.1488032, 120.4902844 24.1487743, 120.4903692 24.1487621, 120.491481 24.1486238)",,
1041670607,False,新港路,tertiary,True,31.436,,"LINESTRING (120.4866827 24.1492865, 120.4866912 24.1490039)",,
104702329,False,建興路,residential,False,260.479,,"LINESTRING (120.4866827 24.1492865, 120.4872849 24.149209, 120.4874935 24.1491735, 120.4879596 24.1491075, 120.4880118 24.1491003, 120.4883612 24.149052, 120.488625 24.1490092, 120.4892184 24.1489219)",,
104702329,False,建興路,residential,False,7.347,,"LINESTRING (120.4895758 24.1437511, 120.4895034 24.1437523)",,
104702329,False,建興路,residential,True,72.593,,"LINESTRING (120.4895758 24.1437511, 120.4902903 24.1437843)",,
104702356,True,中興路一段,secondary,False,419.78999999999996,134,"LINESTRING (120.4895758 24.1437511, 120.4893278 24.1452123, 120.4892061 24.1457359, 120.4891516 24.1459701, 120.4890734 24.1464743, 120.4890183 24.1467899, 120.4890229 24.1469542, 120.4890358 24.1470534, 120.4890571 24.1472181, 120.4890932 24.1474791)",,
371349350,False,中山東路,tertiary,False,6.191,彰4,"LINESTRING (120.4890932 24.1474791, 120.4890322 24.1474805)",,
104702356,True,中興路一段,secondary,False,71.10900000000001,134,"LINESTRING (120.4890932 24.1474791, 120.4891242 24.1476492, 120.4891899 24.1481124)",,
371349350,False,中山東路,tertiary,True,134.808,彰4,"LINESTRING (120.4890932 24.1474791, 120.4891708 24.1474766, 120.4893907 24.1474339, 120.4896335 24.1473781, 120.4903788 24.1471817)",,
978412580,False,中山路,tertiary,True,105.594,彰4,"LINESTRING (120.4868364 24.1472651, 120.4858092 24.1471127)",,
1041670607,False,新港路,tertiary,False,75.877,,"LINESTRING (120.4868364 24.1472651, 120.4867297 24.1479405)",,
252598262,False,新港路,tertiary,True,243.708,,"LINESTRING (120.4868364 24.1472651, 120.4869576 24.1466899, 120.4869964 24.1465056, 120.4871548 24.1457108, 120.4872811 24.1451113)",,
371349350,False,中山東路,tertiary,True,224.906,彰4,"LINESTRING (120.4868364 24.1472651, 120.4874327 24.1473544, 120.4875448 24.1473712, 120.4880802 24.1474514, 120.4883731 24.1474953, 120.4884224 24.1474951, 120.4890322 24.1474805)",,
104702329,False,建興路,residential,True,199.696,,"LINESTRING (120.4875363 24.1436962, 120.488332 24.1437195, 120.4895034 24.1437523)",,
