osmid,oneway,ref,name,highway,maxspeed,width,reversed,length,lanes,geometry,bridge
286630363,False,投54,民生路,tertiary,50,5,False,127.7,,"LINESTRING (120.7835449 23.8269642, 120.784799 23.8270171)",
286630363,False,投54,民生路,tertiary,50,5,True,127.7,,"LINESTRING (120.784799 23.8270171, 120.7835449 23.8269642)",
293135022,False,,民生路,residential,50,5,True,138.928,2,"LINESTRING (120.784799 23.8270171, 120.7847373 23.8273136, 120.7847017 23.8275033, 120.7846541 23.8277036, 120.7846033 23.8278935, 120.7845249 23.8282408)",
"[181422192, 181422161, 181422187]",False,,"['初中橋', '初中街']","['unclassified', 'residential']",40,,True,188.70799999999997,,"LINESTRING (120.7845249 23.8282408, 120.7845102 23.8283083, 120.7844244 23.828692, 120.7843785 23.8287943, 120.7843615 23.828828, 120.7842327 23.82908, 120.7842242 23.8291591, 120.7842138 23.8292379, 120.7841967 23.8294993, 120.7841567 23.8298876)",yes
293135022,False,,民生路,residential,50,5,False,138.928,2,"LINESTRING (120.7845249 23.8282408, 120.7846033 23.8278935, 120.7846541 23.8277036, 120.7847017 23.8275033, 120.7847373 23.8273136, 120.784799 23.8270171)",
181422148,False,,成功路,unclassified,50,,False,73.269,,"LINESTRING (120.783329 23.8317343, 120.7840469 23.8317885)",
317336633,False,,初中二街22巷,residential,,,False,136.198,,"LINESTRING (120.783329 23.8317343, 120.7833823 23.8313855, 120.7833964 23.8311373, 120.7834084 23.830869, 120.7834176 23.8305135)",
181422148,False,,成功路,unclassified,50,,True,73.269,,"LINESTRING (120.7840469 23.8317885, 120.783329 23.8317343)",
181422148,False,,成功路,unclassified,50,,False,216.56900000000002,,"LINESTRING (120.7840469 23.8317885, 120.7848119 23.831855, 120.7853739 23.8319085, 120.7855443 23.8319525, 120.7858368 23.8321241, 120.7860561 23.83227)",
181422187,False,,初中街,residential,40,,False,211.676,,"LINESTRING (120.7840469 23.8317885, 120.784064 23.8314323, 120.7841018 23.8309107, 120.7841171 23.8305633, 120.7841567 23.8298876)",
317339326,False,,初中一街,unclassified,,4,False,118.893,2,"LINESTRING (120.7829938 23.8297934, 120.7832265 23.8297912, 120.7836355 23.8298354, 120.7841567 23.8298876)",
317336633,False,,初中二街22巷,residential,,,True,136.198,,"LINESTRING (120.7834176 23.8305135, 120.7834084 23.830869, 120.7833964 23.8311373, 120.7833823 23.8313855, 120.783329 23.8317343)",
761601937,False,,成功路261巷,residential,,,True,72.239,,"LINESTRING (120.7860945 23.8317255, 120.7862434 23.8319023, 120.7862593 23.8319735, 120.7862399 23.8320366, 120.7861371 23.8321827, 120.7860561 23.83227)",
181422148,False,,成功路,unclassified,50,,True,216.56900000000002,,"LINESTRING (120.7860561 23.83227, 120.7858368 23.8321241, 120.7855443 23.8319525, 120.7853739 23.8319085, 120.7848119 23.831855, 120.7840469 23.8317885)",
761601937,False,,成功路261巷,residential,,,False,72.239,,"LINESTRING (120.7860561 23.83227, 120.7861371 23.8321827, 120.7862399 23.8320366, 120.7862593 23.8319735, 120.7862434 23.8319023, 120.7860945 23.8317255)",
"[181422192, 181422161, 181422187]",False,,"['初中橋', '初中街']","['residential', 'unclassified']",40,,False,188.708,,"LINESTRING (120.7841567 23.8298876, 120.7841967 23.8294993, 120.7842138 23.8292379, 120.7842242 23.8291591, 120.7842327 23.82908, 120.7843615 23.828828, 120.7843785 23.8287943, 120.7844244 23.828692, 120.7845102 23.8283083, 120.7845249 23.8282408)",yes
181422187,False,,初中街,residential,40,,True,211.676,,"LINESTRING (120.7841567 23.8298876, 120.7841171 23.8305633, 120.7841018 23.8309107, 120.784064 23.8314323, 120.7840469 23.8317885)",
317339326,False,,初中一街,unclassified,,4,True,118.893,2,"LINESTRING (120.7841567 23.8298876, 120.7836355 23.8298354, 120.7832265 23.8297912, 120.7829938 23.8297934)",
