osmid,oneway,ref,highway,reversed,length,lanes,geometry,maxspeed,junction
143111747,True,RN 16,primary,False,56.305,,"LINESTRING (6.0704914 33.109677, 6.0703745 33.1091802)",,
249837516,False,,residential,True,58.06,,"LINESTRING (6.0704914 33.109677, 6.0698827 33.1097896)",,
384332006,False,RN 16,primary,False,6.956,,"LINESTRING (6.0704914 33.109677, 6.0705645 33.1096642)",,
143091472,True,RN 16,primary,False,44.928000000000004,2,"LINESTRING (6.069783 33.1068669, 6.0697304 33.1067922, 6.0696734 33.1067265, 6.0696063 33.1066608, 6.0695326 33.1065911, 6.0694796 33.1065561)",,
268697509,False,,residential,False,26.027,,"LINESTRING (6.069783 33.1068669, 6.0697219 33.1068702, 6.0696539 33.1068726, 6.0695039 33.1068782)",,
255036784,True,RN 16,primary,False,43.547,2,"LINESTRING (6.0702915 33.1084747, 6.0703827 33.1088588)",,
289102815,False,,residential,False,7.196,,"LINESTRING (6.0702915 33.1084747, 6.0702164 33.1084899)",,
289102815,False,,residential,True,46.969,,"LINESTRING (6.0702915 33.1084747, 6.0707907 33.1084149)",,
384332006,False,RN 16,primary,False,66.301,,"LINESTRING (6.0705645 33.1096642, 6.0712607 33.1095399)",,
384332006,False,RN 16,primary,True,6.956,,"LINESTRING (6.0705645 33.1096642, 6.0704914 33.109677)",,
384332007,True,,primary,False,57.316,,"LINESTRING (6.0705645 33.1096642, 6.0706872 33.1101693)",,
268684352,False,,secondary,True,42.45,2,"LINESTRING (6.0699289 33.1062985, 6.0700209 33.1059246)",50,
268684352,False,,secondary,False,35.453,2,"LINESTRING (6.0699289 33.1062985, 6.0698806 33.106467, 6.069843 33.1066091)",50,
249836948,False,,tertiary,True,32.196,,"LINESTRING (6.0616216 33.1130409, 6.0616826 33.1133259)",,
249837137,False,,tertiary,False,98.982,,"LINESTRING (6.0616216 33.1130409, 6.0616475 33.1129279, 6.0616674 33.1128442, 6.0616911 33.1127493, 6.0616951 33.1126875, 6.0616938 33.1126257, 6.061606 33.1121624)",,
249837137,False,,tertiary,False,84.645,,"LINESTRING (6.061606 33.1121624, 6.0614182 33.1114176)",,
249837514,False,,tertiary,False,34.92,,"LINESTRING (6.061606 33.1121624, 6.0619735 33.1121002)",,
249837137,False,,tertiary,True,98.982,,"LINESTRING (6.061606 33.1121624, 6.0616938 33.1126257, 6.0616951 33.1126875, 6.0616911 33.1127493, 6.0616674 33.1128442, 6.0616475 33.1129279, 6.0616216 33.1130409)",,
249837137,False,,tertiary,True,84.645,,"LINESTRING (6.0614182 33.1114176, 6.061606 33.1121624)",,
249837137,False,,tertiary,False,63.748,,"LINESTRING (6.0614182 33.1114176, 6.0613337 33.1111222, 6.0613216 33.1110396, 6.0613203 33.110968, 6.0613144 33.1108534)",,
249837137,False,,tertiary,False,25.477,,"LINESTRING (6.0613144 33.1108534, 6.0613608 33.1106276)",,
249837137,False,,tertiary,True,63.748,,"LINESTRING (6.0613144 33.1108534, 6.0613203 33.110968, 6.0613216 33.1110396, 6.0613337 33.1111222, 6.0614182 33.1114176)",,
249837137,False,,tertiary,False,47.321,,"LINESTRING (6.0613608 33.1106276, 6.0615282 33.1102258)",,
249837137,False,,tertiary,True,25.477,,"LINESTRING (6.0613608 33.1106276, 6.0613144 33.1108534)",,
268725708,False,,residential,False,69.607,,"LINESTRING (6.0613608 33.1106276, 6.0617494 33.1108219, 6.0619817 33.1109739)",,
249837137,False,,tertiary,True,47.321,,"LINESTRING (6.0615282 33.1102258, 6.0613608 33.1106276)",,
268725709,False,,residential,False,97.672,,"LINESTRING (6.0615282 33.1102258, 6.0625295 33.1104868)",,
249837137,False,,tertiary,False,67.593,,"LINESTRING (6.0615282 33.1102258, 6.0616328 33.1099977, 6.0617816 33.1096562)",,
268725712,False,,residential,False,47.154,,"LINESTRING (6.0617816 33.1096562, 6.0622696 33.1097691)",,
249837137,False,,tertiary,False,94.489,,"LINESTRING (6.0617816 33.1096562, 6.061897 33.1093765, 6.0621169 33.1088542)",,
249837137,False,,tertiary,True,67.593,,"LINESTRING (6.0617816 33.1096562, 6.0616328 33.1099977, 6.0615282 33.1102258)",,
