osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name
195159058,False,2,RN 66,primary,50,True,51.582,"LINESTRING (2.229159 36.3082966, 2.2297234 36.3083879)",
207076301,False,,,primary_link,,True,33.522,"LINESTRING (2.229159 36.3082966, 2.2291067 36.3082535, 2.2290812 36.3081968, 2.2290869 36.3081367, 2.2291229 36.3080838, 2.2291827 36.3080476)",
312007399,False,,RN 66,primary,,False,54.655,"LINESTRING (2.229159 36.3082966, 2.2288161 36.3082219, 2.2286676 36.3081954, 2.22858 36.3081523)",
198205735,False,,,residential,,False,20.602,"LINESTRING (2.2245233 36.3064219, 2.2246333 36.3062592)",Rue Kenniche Mohammed
308824490,False,2,CW 12,secondary,50,False,85.428,"LINESTRING (2.2245233 36.3064219, 2.2248988 36.3065821, 2.2252825 36.3067458, 2.2253659 36.3067813)",Boulevard de la République
308824490,False,2,CW 12,secondary,50,True,32.678,"LINESTRING (2.2245233 36.3064219, 2.2242403 36.3063012, 2.224201 36.3062844)",Boulevard de la République
343567871,False,,RN 66,primary,,True,42.795,"LINESTRING (2.229972 36.3079002, 2.2298625 36.3079049, 2.2295058 36.3079776)",
1156060958,False,,,primary,,False,56.869,"LINESTRING (2.229972 36.3079002, 2.2301177 36.3078827, 2.2302324 36.3078783, 2.2304094 36.3078714, 2.2306046 36.3078661)",
1156060959,False,2,,primary,50,True,64.725,"LINESTRING (2.229972 36.3079002, 2.2302354 36.3079449, 2.2305632 36.3080006, 2.2306796 36.3080169)",
198205733,False,1,,residential,,False,37.068,"LINESTRING (2.2248954 36.3051885, 2.2252899 36.3052888)",Rue Djabrouhou Bouziane
198205733,False,1,,residential,,True,42.127,"LINESTRING (2.2248954 36.3051885, 2.2244431 36.3050852)",Rue Djabrouhou Bouziane
305396726,False,,,residential,,True,53.743,"LINESTRING (2.2248954 36.3051885, 2.2246277 36.305621)",Rue Mejdoub Ahmed
305396726,False,,,residential,,False,51.483999999999995,"LINESTRING (2.2248954 36.3051885, 2.2250336 36.3049653, 2.2251519 36.3047742)",Rue Mejdoub Ahmed
339338714,False,,,residential,,True,46.93,"LINESTRING (2.221973 36.3043638, 2.2216774 36.3047122)",Rue 05 juillet
198205709,False,2,,residential,40,False,136.6,"LINESTRING (2.221973 36.3043638, 2.2220569 36.3044125, 2.2232101 36.3050816)",Boulevard Maghraoua Djilali
198205727,False,,,residential,,True,68.932,"LINESTRING (2.2271765 36.3080725, 2.2264943 36.307786)",
198205702,False,,,residential,,False,109.124,"LINESTRING (2.2271765 36.3080725, 2.226979 36.3083861, 2.2262885 36.3080913)",
198205702,False,,,residential,,True,98.999,"LINESTRING (2.2271765 36.3080725, 2.2273429 36.3078315, 2.2266782 36.3075303)",
