osmid,ref,highway,oneway,reversed,length,geometry,name,bridge,junction
28773312,RN 29,primary,False,True,45.559,"LINESTRING (3.1540863 36.5650832, 3.1536536 36.5648662)",,,
28843629,CW 117,secondary,False,False,115.885,"LINESTRING (3.1540863 36.5650832, 3.1533824 36.5659587)",,,
122149537,RN 8,primary,False,True,55.246,"LINESTRING (3.1540863 36.5650832, 3.1544281 36.5646691)",,,
177601518,RN 29,primary,False,False,236.019,"LINESTRING (3.1540863 36.5650832, 3.1562835 36.5662626)",,,
28843629,CW 117,secondary,False,False,3.785,"LINESTRING (3.1533824 36.5659587, 3.1533549 36.5659846)",,,
28843629,CW 117,secondary,False,True,115.885,"LINESTRING (3.1533824 36.5659587, 3.1540863 36.5650832)",,,
"[122138914, 122138918]",,residential,False,"[False, True]",298.818,"LINESTRING (3.1533824 36.5659587, 3.1538756 36.566243, 3.1538952 36.5662464, 3.153915 36.5662403, 3.154251 36.5658778, 3.1542858 36.5658655, 3.1543174 36.5658754, 3.1560456 36.5667802)",,,
177601518,RN 29,primary,False,True,71.31700000000001,"LINESTRING (3.1577133 36.567043, 3.1576308 36.5669965, 3.1574302 36.5668833, 3.1572432 36.5667778, 3.1570569 36.5666778)",,,
122149537,RN 8,primary,False,False,58.614,"LINESTRING (3.1563323 36.5623832, 3.1559677 36.5628215)",,,
40479427,RN 8D,secondary,False,True,117.292,"LINESTRING (3.1563323 36.5623832, 3.1568232 36.5622295, 3.1575779 36.562052)",,,
122149537,RN 8,primary,False,True,92.78,"LINESTRING (3.1563323 36.5623832, 3.1566783 36.5619672, 3.1569058 36.5616875)",,,
40479427,RN 8D,secondary,False,False,303.215,"LINESTRING (3.1609099 36.5615293, 3.1575779 36.562052)",,,
122139061,,residential,False,True,89.207,"LINESTRING (3.1609099 36.5615293, 3.1612123 36.5607647)",,,
"[122138978, 122139061]",,residential,False,"[False, True]",195.962,"LINESTRING (3.1609099 36.5615293, 3.1599392 36.5609691, 3.1598488 36.5611053, 3.1591799 36.5607432)",,,
40479427,RN 8D,secondary,False,True,303.215,"LINESTRING (3.1575779 36.562052, 3.1609099 36.5615293)",,,
830303773,,tertiary,False,False,72.43,"LINESTRING (3.1575779 36.562052, 3.1569058 36.5616875)",,,
830303773,,tertiary,False,True,117.686,"LINESTRING (3.1575779 36.562052, 3.158665 36.5626501)",,,
40479427,RN 8D,secondary,False,False,117.292,"LINESTRING (3.1575779 36.562052, 3.1568232 36.5622295, 3.1563323 36.5623832)",,,
42157731,,residential,False,False,12.557,"LINESTRING (3.1567581 36.5658523, 3.156641 36.5657898)",شارع الأمير عبد القادر,,
42157742,,residential,False,False,58.16,"LINESTRING (3.1567581 36.5658523, 3.1571199 36.5654174)",,,
42157742,,residential,False,True,61.499,"LINESTRING (3.1567581 36.5658523, 3.156388 36.5663187)",,,
122149537,RN 8,primary,False,False,141.682,"LINESTRING (3.1553086 36.5636092, 3.1544281 36.5646691)",,,
