osmid,ref,highway,oneway,reversed,length,lanes,name,maxspeed,geometry,bridge
90067676,CW 58,secondary,False,False,18.455,,,,"LINESTRING (0.0835237 35.117362, 0.0837258 35.1173768)",
389167043,RN 6,primary,False,False,150.039,2,La route de la Saoura طريق الساورة,50,"LINESTRING (0.0835237 35.117362, 0.0842799 35.1183397, 0.0844083 35.1185009)",
304159175,CW 3,secondary,False,False,23.622,,,,"LINESTRING (0.0874452 35.1179476, 0.0874172 35.1177364)",
304159176,CW 3,secondary,True,False,101.503,2,,40,"LINESTRING (0.0874452 35.1179476, 0.0873444 35.1182893, 0.0870337 35.1187898)",
304159167,CW 3,secondary,False,False,24.857,,,,"LINESTRING (0.0885079 35.1154731, 0.0885132 35.1152496)",
304159168,CW 3,secondary,False,True,39.847,,,,"LINESTRING (0.0885079 35.1154731, 0.0883546 35.1158088)",
304159169,,tertiary,False,True,38.824,2,,40,"LINESTRING (0.0885079 35.1154731, 0.0886459 35.1158035)",
304159174,,residential,False,False,20.685,,,,"LINESTRING (0.0873642 35.117396, 0.0875848 35.1174412)",
304159175,CW 3,secondary,False,True,38.157,,,,"LINESTRING (0.0873642 35.117396, 0.0874172 35.1177364)",
90067676,CW 58,secondary,False,True,61.958999999999996,,,,"LINESTRING (0.0873642 35.117396, 0.0872442 35.1174075, 0.0871503 35.1174382, 0.0870062 35.1175183, 0.0869217 35.1175517, 0.0868345 35.1175775, 0.0867363 35.1175833)",
304159172,CW 3,secondary,True,False,92.85,2,,40,"LINESTRING (0.0873642 35.117396, 0.0873303 35.1172841, 0.0873928 35.1171113, 0.0876376 35.1167186, 0.0877108 35.1166401)",
304159569,,residential,False,True,56.718,,,,"LINESTRING (0.084971 35.1191577, 0.0852068 35.1186855)",
389167043,RN 6,primary,False,False,156.05200000000002,2,La route de la Saoura طريق الساورة,50,"LINESTRING (0.084971 35.1191577, 0.0855239 35.1197164, 0.0860605 35.1202418)",
389167043,RN 6,primary,False,True,89.216,2,La route de la Saoura طريق الساورة,50,"LINESTRING (0.084971 35.1191577, 0.0846295 35.1187786, 0.0844083 35.1185009)",
304159165,,tertiary,False,False,43.874,2,,40,"LINESTRING (0.0906943 35.1211356, 0.0906107 35.120747)",
304159165,,tertiary,False,True,4.785,2,,40,"LINESTRING (0.0906943 35.1211356, 0.0907033 35.121178)",
304159544,,residential,False,True,10.03,,,,"LINESTRING (0.0906943 35.1211356, 0.0908027 35.121119)",
304159165,,tertiary,False,False,8.588,2,,40,"LINESTRING (0.0904176 35.1198486, 0.0903995 35.1197728)",
304159165,,tertiary,False,True,51.562,2,,40,"LINESTRING (0.0904176 35.1198486, 0.0905158 35.1203053)",
304159559,,residential,False,True,84.169,,,,"LINESTRING (0.0904176 35.1198486, 0.0895098 35.1199956)",
304159165,,tertiary,False,True,24.189,2,,40,"LINESTRING (0.0886459 35.1158035, 0.0887175 35.116013)",
304159169,,tertiary,False,False,38.824,2,,40,"LINESTRING (0.0886459 35.1158035, 0.0885079 35.1154731)",
304159166,,secondary_link,False,False,27.197,,,20,"LINESTRING (0.0886459 35.1158035, 0.0885595 35.1157799, 0.0883546 35.1158088)",
304159168,CW 3,secondary,False,False,39.847,,,,"LINESTRING (0.0883546 35.1158088, 0.0885079 35.1154731)",
