osmid,highway,oneway,reversed,length,lanes,maxspeed,geometry,ref,name,access,junction,tunnel,bridge
225310285,residential,False,True,12.365,,,"LINESTRING (2.8662166 36.5234905, 2.8663212 36.5235633)",,,,,,
464681077,trunk,True,False,207.82799999999997,2,60,"LINESTRING (2.8662166 36.5234905, 2.8662475 36.5238061, 2.8662588 36.5242858, 2.8662453 36.5246629, 2.866179 36.5250321, 2.8660995 36.5253481)",,,,,,
157679625,trunk,True,False,198.951,2,60,"LINESTRING (2.8651768 36.5278982, 2.8657305 36.5261652)",,,,,,
56033958,primary,False,False,123.05,2,50,"LINESTRING (2.8636563 36.5254227, 2.8628617 36.5245189)",RN 1,RN 1,yes,,,
56033958,primary,False,True,67.442,2,50,"LINESTRING (2.8636563 36.5254227, 2.864076 36.5259268)",RN 1,RN 1,yes,,,
131690993,residential,False,False,57.582,,,"LINESTRING (2.8636563 36.5254227, 2.8631526 36.5257457)",,,,,,
37292914,secondary,False,True,76.838,2,,"LINESTRING (2.8618994 36.5236041, 2.8612585 36.5240648)",,Vers Beni Mered,,,,
354120807,primary,True,False,31.768,,,"LINESTRING (2.8618994 36.5236041, 2.8618538 36.5235309, 2.8618297 36.5234597, 2.8618245 36.5234287, 2.8618217 36.5234093, 2.8618268 36.5233901, 2.8618392 36.5233732, 2.8618577 36.5233605, 2.8618813 36.5233529)",,Rond point de Beni Mered,,roundabout,,
316460126,primary,False,True,10.617,2,40,"LINESTRING (2.8618813 36.5233529, 2.8618255 36.5232686)",RN 1,Rue du 1er Novembre,yes,,,
354120807,primary,True,False,53.437,,,"LINESTRING (2.8618813 36.5233529, 2.8619066 36.5233521, 2.8619309 36.5233582, 2.8619906 36.5233843, 2.8620201 36.523408, 2.8620925 36.5234899, 2.8621301 36.5235352, 2.8621596 36.5235934, 2.8621784 36.523646, 2.8621762 36.5236663, 2.8621663 36.5236842, 2.8621498 36.5236986, 2.8621284 36.523708)",,Rond point de Beni Mered,,roundabout,,
56033958,primary,False,True,8.332,2,50,"LINESTRING (2.8621284 36.523708, 2.8621895 36.5237646)",RN 1,RN 1,yes,,,
354120807,primary,True,False,24.644000000000002,,,"LINESTRING (2.8621284 36.523708, 2.8621044 36.5237114, 2.8620803 36.5237085, 2.8620013 36.5236817, 2.8619531 36.5236537, 2.8618994 36.5236041)",,Rond point de Beni Mered,,roundabout,,
56033849,trunk_link,True,False,204.86200000000002,,30,"LINESTRING (2.8657305 36.5261652, 2.8657284 36.5259818, 2.8657284 36.5258352, 2.8656748 36.5257231, 2.8655246 36.5256197, 2.8653422 36.5255593, 2.8651813 36.5255507, 2.8650418 36.5255852, 2.8648165 36.5256972, 2.8642108 36.5260732)",,,,,,
157679625,trunk,True,False,187.067,2,60,"LINESTRING (2.8657305 36.5261652, 2.8658679 36.5256972, 2.8659846 36.5251812, 2.8660614 36.5246513, 2.8660657 36.5245078)",,,,,,
56033958,primary,False,False,8.804,2,50,"LINESTRING (2.8642108 36.5260732, 2.8641533 36.5260089)",RN 1,RN 1,yes,,,
"[753759990, 56033957, 56033958]",primary,False,True,233.85500000000002,2,"['60', '50']","LINESTRING (2.8642108 36.5260732, 2.8644337 36.526323, 2.8651876 36.5271921, 2.8655407 36.5276216, 2.8657025 36.527801)",RN 1,RN 1,yes,,yes,
464681077,trunk,True,False,122.673,2,60,"LINESTRING (2.8656583 36.5268793, 2.8653005 36.5279444)",,,,,,
753759990,primary,False,True,12.334,2,60,"LINESTRING (2.8657025 36.527801, 2.8657867 36.5278889)",RN 1,,,,,
28918786,trunk_link,True,False,264.92699999999996,,30,"LINESTRING (2.8657025 36.527801, 2.8663734 36.5274472, 2.8666481 36.527261, 2.8667511 36.5270541, 2.8667231 36.5269173, 2.8666795 36.5268062, 2.866563 36.5267126, 2.8664466 36.5266541, 2.866301 36.526619, 2.8661337 36.5266249, 2.8658935 36.5266892, 2.8656583 36.5268793)",,,,,,
"[56033958, 56033957, 753759990]",primary,False,False,233.855,2,"['60', '50']","LINESTRING (2.8657025 36.527801, 2.8655407 36.5276216, 2.8651876 36.5271921, 2.8644337 36.526323, 2.8642108 36.5260732)",RN 1,RN 1,yes,,yes,
28918787,trunk_link,True,False,351.14200000000005,,30,"LINESTRING (2.8660995 36.5253481, 2.8661038 36.5257801, 2.8661319 36.5259404, 2.8662002 36.5260892, 2.866301 36.5262389, 2.8665048 36.5264553, 2.8666649 36.5266015, 2.866825 36.5267477, 2.8668832 36.5269114, 2.8668832 36.5270869, 2.8668323 36.5272447, 2.8666996 36.5273782, 2.8664421 36.5275438, 2.8657867 36.5278889)",,,,,,
464681077,trunk,True,False,174.79,2,60,"LINESTRING (2.8660995 36.5253481, 2.8660023 36.5257351, 2.8656583 36.5268793)",,,,,,
753759990,primary,False,False,12.334,2,60,"LINESTRING (2.8657867 36.5278889, 2.8657025 36.527801)",RN 1,,,,,
56033958,primary,False,False,11.448,2,50,"LINESTRING (2.8641533 36.5260089, 2.864076 36.5259268)",RN 1,RN 1,yes,,,
56033958,primary,False,True,8.804,2,50,"LINESTRING (2.8641533 36.5260089, 2.8642108 36.5260732)",RN 1,RN 1,yes,,,
28918797,trunk,True,False,245.92099999999996,,40,"LINESTRING (2.8641533 36.5260089, 2.8648456 36.5255781, 2.865352 36.5253091, 2.8656868 36.5250953, 2.8657726 36.5250401, 2.8659099 36.5248815, 2.8659859 36.5247402, 2.8660657 36.5245078)",,,,,,
316460126,primary,False,False,123.61800000000001,2,40,"LINESTRING (2.8597381 36.5194304, 2.8597602 36.5196364, 2.8598265 36.5198849, 2.8601348 36.5204867)",RN 1,Rue du 1er Novembre,yes,,,
131688349,residential,False,True,105.141,,,"LINESTRING (2.8584138 36.5240792, 2.8593142 36.5234705)",,,,,,
