osmid,oneway,highway,reversed,length,maxspeed,geometry,bridge
39699633,False,secondary,False,8.288,,"LINESTRING (2.6813026 36.6232543, 2.6812343 36.6233048)",
172352413,False,residential,True,34.782,,"LINESTRING (2.6813026 36.6232543, 2.6815438 36.6230086)",
39612209,False,secondary,False,195.53,50,"LINESTRING (2.6813026 36.6232543, 2.6819206 36.6234708, 2.6822381 36.6235466, 2.6824699 36.6235259, 2.6831308 36.6233124, 2.6833472 36.6232295)",
39699633,False,secondary,True,49.374,,"LINESTRING (2.6770348 36.6274658, 2.6773828 36.6271206)",
172352438,False,residential,True,64.701,,"LINESTRING (2.6770348 36.6274658, 2.6765681 36.6279111)",
39699633,False,secondary,False,162.216,,"LINESTRING (2.6770348 36.6274658, 2.6770091 36.6275829, 2.677052 36.6276724, 2.6774468 36.6279479, 2.6782494 36.6284621)",
39699633,False,secondary,True,20.708,,"LINESTRING (2.6783784 36.6286169, 2.6782494 36.6284621)",
172352417,False,tertiary,True,39.087,,"LINESTRING (2.6783784 36.6286169, 2.6781624 36.6289227)",
39699633,False,secondary,False,29.119999999999997,,"LINESTRING (2.6783784 36.6286169, 2.6785305 36.628727, 2.6785996 36.6288072)",
172352409,False,residential,True,28.591,,"LINESTRING (2.6785996 36.6288072, 2.6788616 36.6286592)",
39699633,False,secondary,False,29.951,,"LINESTRING (2.6785996 36.6288072, 2.6786304 36.6289139, 2.6786198 36.6290735)",
39699633,False,secondary,True,29.119999999999997,,"LINESTRING (2.6785996 36.6288072, 2.6785305 36.628727, 2.6783784 36.6286169)",
269976076,False,residential,False,59.864,,"LINESTRING (2.6786198 36.6290735, 2.6792708 36.6292035)",
39699633,False,secondary,False,36.058,,"LINESTRING (2.6786198 36.6290735, 2.6785773 36.6291964, 2.6784518 36.6293654)",
39699633,False,secondary,True,29.951,,"LINESTRING (2.6786198 36.6290735, 2.6786304 36.6289139, 2.6785996 36.6288072)",
39699633,False,secondary,False,130.752,,"LINESTRING (2.6783043 36.6262064, 2.6773828 36.6271206)",
172352420,False,residential,False,74.955,,"LINESTRING (2.6783043 36.6262064, 2.6789689 36.6266186)",
209230507,False,tertiary,True,105.801,,"LINESTRING (2.6783043 36.6262064, 2.677176 36.6259142)",
39699633,False,secondary,True,94.44500000000001,,"LINESTRING (2.6783043 36.6262064, 2.6788887 36.6256266, 2.67897 36.6255461)",
"[172352420, 172352342]",False,residential,True,167.965,,"LINESTRING (2.6783043 36.6262064, 2.67766 36.6257575, 2.6783084 36.6251163)",
"[209230507, 84454501, 209230501]",False,tertiary,False,203.222,,"LINESTRING (2.675556 36.6260347, 2.6756847 36.6259916, 2.6757813 36.6258883, 2.6762641 36.6249928, 2.6763607 36.6249067, 2.6765001 36.6249067, 2.6766289 36.6249584, 2.676704 36.6250531, 2.6767147 36.6252081)",yes
172352372,False,residential,False,207.981,,"LINESTRING (2.675556 36.6260347, 2.6755035 36.6261708, 2.6744091 36.6273763, 2.6746559 36.6275054)",
172352372,False,residential,True,319.128,,"LINESTRING (2.675556 36.6260347, 2.675481 36.6259375, 2.6756644 36.6253959, 2.6759852 36.6241465, 2.6759755 36.6240268, 2.6758361 36.6239579, 2.6758146 36.6238546, 2.6758457 36.623716, 2.6760292 36.6233207)",
