osmid,highway,oneway,reversed,length,lanes,ref,name,maxspeed,geometry,bridge,junction
293533000,residential,False,True,14.517,,,,,"LINESTRING (-1.2520298 32.0532642, -1.252017 32.0531341)",,
389403388,primary,False,True,11.068,2,RN 6,طريق الساورة,50,"LINESTRING (-1.2520298 32.0532642, -1.2521471 32.053269)",,
389403388,primary,False,False,54.403999999999996,2,RN 6,طريق الساورة,50,"LINESTRING (-1.2520298 32.0532642, -1.2518288 32.0532491, -1.251639 32.053226, -1.2514597 32.053192)",,
389403388,primary,False,False,45.156,2,RN 6,طريق الساورة,50,"LINESTRING (-1.2514597 32.053192, -1.2513203 32.0531622, -1.2510029 32.0530704)",,
389403388,primary,False,True,54.403999999999996,2,RN 6,طريق الساورة,50,"LINESTRING (-1.2514597 32.053192, -1.251639 32.053226, -1.2518288 32.0532491, -1.2520298 32.0532642)",,
1014554575,residential,False,True,54.031,,,,,"LINESTRING (-1.2514597 32.053192, -1.2514704 32.0531227, -1.2514704 32.0530682, -1.2514544 32.0530113, -1.2512907 32.0527419)",,
307164126,residential,True,False,45.125,,,,,"LINESTRING (-1.2491391 32.0522347, -1.2491345 32.052137, -1.2491466 32.0521028, -1.249172 32.0520711, -1.2493636 32.0519026)",,
389401802,primary,True,False,51.143,,RN 6,طريق الساورة,30,"LINESTRING (-1.2491391 32.0522347, -1.2490645 32.0520951, -1.2489946 32.0519536, -1.2489295 32.0518106)",,
389403388,primary,False,True,199.728,2,RN 6,طريق الساورة,50,"LINESTRING (-1.2491391 32.0522347, -1.2492778 32.0523238, -1.2494548 32.0524288, -1.2496707 32.0525428, -1.2500226 32.0527162, -1.2500944 32.0527481, -1.2503597 32.0528658, -1.2507057 32.052984, -1.2510029 32.0530704)",,
179701257,residential,False,False,70.498,,,,,"LINESTRING (-1.2471085 32.0499384, -1.247784 32.0496661)",,
179701257,residential,False,True,8.713,,,,,"LINESTRING (-1.2471085 32.0499384, -1.2470316 32.0499819)",,
209148046,primary,True,False,61.681,2,RN 6,طريق الساورة,40,"LINESTRING (-1.2471085 32.0499384, -1.2467544 32.0494719)",,
293531561,residential,False,True,41.091,,,,,"LINESTRING (-1.2463278 32.0489123, -1.2467227 32.0487557)",,
209148046,primary,True,False,59.028000000000006,2,RN 6,طريق الساورة,40,"LINESTRING (-1.2463278 32.0489123, -1.2461177 32.0485598, -1.2460349 32.0484434)",,
1083891770,residential,False,True,137.451,,,,,"LINESTRING (-1.2453672 32.0472905, -1.2466687 32.0467328)",,
179701276,residential,False,True,34.556,,,,,"LINESTRING (-1.2485313 32.0459525, -1.2486911 32.0462322)",,
179701276,residential,False,False,33.999,,,,,"LINESTRING (-1.2488483 32.0465074, -1.2486911 32.0462322)",,
179701276,residential,False,True,33.643,,,,,"LINESTRING (-1.2488483 32.0465074, -1.2490039 32.0467797)",,
293533016,residential,False,False,111.527,,,,,"LINESTRING (-1.2488483 32.0465074, -1.247781 32.0469405)",,
