osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction,tunnel,bridge
66640162,Rue Gallieni,tertiary,False,True,33.128,"LINESTRING (3.043138 36.7877773, 3.0430014 36.7878245, 3.0428673 36.7878893, 3.0428138 36.7879211)",,,,,,
299679202,Route de Frais Vallon طريق فري فالون,trunk,True,False,117.12700000000001,"LINESTRING (3.043138 36.7877773, 3.0429181 36.7875436, 3.0427981 36.7873946, 3.0427655 36.7872128, 3.0427471 36.7869499, 3.0427432 36.7868135)",2,CW 119,80,,,
567085434,Boulevard Touati Saïd نهج سعيد تواتي,primary,False,False,121.86,"LINESTRING (3.0452312 36.7879298, 3.0453703 36.7880137, 3.0453931 36.7880241, 3.0456088 36.7880798, 3.0458436 36.788193, 3.0461145 36.7883819, 3.0463032 36.788577)",2,,50,,,
822443309,دوار تريولي,trunk,True,False,10.326,"LINESTRING (3.0452312 36.7879298, 3.0451943 36.787939, 3.0451557 36.7879385, 3.0451192 36.7879282)",,,30,roundabout,,
"[557247711, 299679202, 26250959]","['طريق فري فالون', 'Route de Frais Vallon طريق فري فالون']",trunk,True,False,183.937,"LINESTRING (3.0450591 36.7878655, 3.0448473 36.7878809, 3.0444604 36.7879523, 3.04415 36.788014, 3.0439246 36.7880671, 3.0437484 36.7880677, 3.0435964 36.7880437, 3.0435008 36.7880121, 3.0433863 36.7879405, 3.043138 36.7877773)",2,CW 119,80,,,
822443308,دوار تريولي,trunk,True,False,9.139,"LINESTRING (3.0450591 36.7878655, 3.0450558 36.7878382, 3.0450622 36.7878113, 3.0450777 36.7877869)",,,30,roundabout,,
26253674,دوار تريولي,trunk,True,False,6.37,"LINESTRING (3.045273 36.787783, 3.0452906 36.7878079, 3.0452983 36.7878359)",,,30,roundabout,,
822443307,دوار تريولي,trunk,True,False,6.846,"LINESTRING (3.0450777 36.7877869, 3.0451045 36.7877648, 3.0451385 36.7877505)",,,30,roundabout,,
567085434,Boulevard Touati Saïd نهج سعيد تواتي,primary,False,True,121.86000000000001,"LINESTRING (3.0463032 36.788577, 3.0461145 36.7883819, 3.0458436 36.788193, 3.0456088 36.7880798, 3.0453931 36.7880241, 3.0453703 36.7880137, 3.0452312 36.7879298)",2,,50,,,
231926642,Avenue Askri Ahcène,tertiary,False,False,59.452,"LINESTRING (3.048541 36.7869456, 3.0484629 36.7868919, 3.0483921 36.7868268, 3.0483382 36.7867631, 3.0483237 36.7866833, 3.0483351 36.7864752)",2,,,,,
26346275,Avenue Askri Hacene نهج عسكري أحسن,tertiary,False,False,54.675,"LINESTRING (3.0442714 36.7863327, 3.0444271 36.7863882, 3.0446419 36.7864307, 3.044782 36.7864419, 3.0448634 36.7864448)",2,,40,,,
26346275,Avenue Askri Hacene نهج عسكري أحسن,tertiary,False,True,21.761,"LINESTRING (3.0442714 36.7863327, 3.0441804 36.7862583, 3.0441222 36.7861795)",2,,40,,,
166717985,Rue Negazi,residential,False,False,76.96,"LINESTRING (3.0442714 36.7863327, 3.0442367 36.7863865, 3.0442225 36.7864865, 3.0442424 36.7865889, 3.0443077 36.7867116, 3.0444127 36.7868594, 3.0444269 36.7869344, 3.0444212 36.7869822)",,,,,,
26346275,Avenue Askri Hacene نهج عسكري أحسن,tertiary,False,True,12.338,"LINESTRING (3.045101 36.7860799, 3.0451328 36.7861879)",2,,40,,,
26346275,Avenue Askri Hacene نهج عسكري أحسن,tertiary,False,False,122.59799999999998,"LINESTRING (3.045101 36.7860799, 3.0449746 36.7858481, 3.0449007 36.7857217, 3.0448353 36.7855695, 3.0448291 36.7854234, 3.0448505 36.7853551, 3.0449409 36.7852694, 3.0450657 36.7852185, 3.0451993 36.785203)",2,,40,,,
