osmid,highway,oneway,reversed,length,lanes,geometry,ref,maxspeed,bridge,junction
254819846,residential,False,False,83.408,,"LINESTRING (4.0719394 36.3104912, 4.0713317 36.3110594)",,,,
252837565,tertiary,False,False,210.239,2,"LINESTRING (4.0719394 36.3104912, 4.0716446 36.3103568, 4.0714405 36.3102967, 4.0712181 36.3102595, 4.0696705 36.3100822)",,,,
252837565,tertiary,False,True,127.41499999999999,2,"LINESTRING (4.0719394 36.3104912, 4.0728755 36.3112304, 4.07295 36.3112971)",,,,
254819846,residential,False,True,80.54400000000001,,"LINESTRING (4.0719394 36.3104912, 4.071767 36.3100193, 4.0716928 36.3097947)",,,,
252837565,tertiary,False,True,109.769,2,"LINESTRING (4.0729241 36.3120776, 4.0730785 36.3130569)",,,,
479796199,tertiary,False,False,99.533,,"LINESTRING (4.0729241 36.3120776, 4.0740349 36.3120852)",,,,
252837565,tertiary,False,False,87.984,2,"LINESTRING (4.0729241 36.3120776, 4.0729988 36.3114854, 4.072989 36.3113596, 4.07295 36.3112971)",,,,
254819862,residential,False,True,272.262,,"LINESTRING (4.0729241 36.3120776, 4.0719205 36.3121641, 4.0715611 36.3122073, 4.0705231 36.3123802, 4.0703139 36.3124019, 4.0699196 36.3124213)",,,,
479796199,tertiary,False,True,149.028,,"LINESTRING (4.0729241 36.3120776, 4.0727402 36.3121434, 4.0726407 36.3122031, 4.071677 36.312951)",,,,
479796199,tertiary,False,False,10.678,,"LINESTRING (4.0708246 36.313653, 4.070908 36.3135844)",,,,
252837565,tertiary,False,False,35.131,2,"LINESTRING (4.0731345 36.3133696, 4.0730785 36.3130569)",,,,
558627447,primary,True,False,20.2,2,"LINESTRING (4.0731345 36.3133696, 4.073359 36.3133862)",RN 5,,,
254819826,residential,False,False,107.416,,"LINESTRING (4.0759539 36.3106585, 4.0751605 36.3105992, 4.0747585 36.3105993)",,,,
254819869,residential,False,True,75.271,,"LINESTRING (4.07295 36.3112971, 4.0723408 36.3117632)",,,,
252837565,tertiary,False,False,127.41499999999999,2,"LINESTRING (4.07295 36.3112971, 4.0728755 36.3112304, 4.0719394 36.3104912)",,,,
252837565,tertiary,False,True,87.984,2,"LINESTRING (4.07295 36.3112971, 4.072989 36.3113596, 4.0729988 36.3114854, 4.0729241 36.3120776)",,,,
254819824,residential,False,False,35.73,,"LINESTRING (4.0694153 36.3103291, 4.0696705 36.3100822)",,,,
254819885,residential,False,False,48.094,,"LINESTRING (4.0694153 36.3103291, 4.0698227 36.3106107)",,,,
254819824,residential,False,True,35.73,,"LINESTRING (4.0696705 36.3100822, 4.0694153 36.3103291)",,,,
252837565,tertiary,False,True,210.239,2,"LINESTRING (4.0696705 36.3100822, 4.0712181 36.3102595, 4.0714405 36.3102967, 4.0716446 36.3103568, 4.0719394 36.3104912)",,,,
254819846,residential,False,True,72.338,,"LINESTRING (4.071081 36.3120669, 4.0708644 36.312025, 4.0707759 36.3119688, 4.0707255 36.3118429, 4.0707109 36.311796, 4.0707192 36.3117491, 4.0707678 36.3116789, 4.0707987 36.3116115)",,,,
254819869,residential,False,False,64.716,,"LINESTRING (4.071081 36.3120669, 4.0714002 36.3120539, 4.0715235 36.3120366, 4.0717871 36.3119667)",,,,
254819869,residential,False,True,120.819,,"LINESTRING (4.071081 36.3120669, 4.0709502 36.3121072, 4.0706867 36.312203, 4.0705398 36.3122412, 4.0703648 36.3122765, 4.0697827 36.3123194)",,,,
254819886,residential,False,False,16.699,,"LINESTRING (4.0697827 36.3123194, 4.0699196 36.3124213)",,,,
254819869,residential,False,False,120.819,,"LINESTRING (4.0697827 36.3123194, 4.0703648 36.3122765, 4.0705398 36.3122412, 4.0706867 36.312203, 4.0709502 36.3121072, 4.071081 36.3120669)",,,,
479796199,tertiary,False,False,42.624,,"LINESTRING (4.0740349 36.3120852, 4.0745106 36.3120835)",,,,
479796199,tertiary,False,True,99.533,,"LINESTRING (4.0740349 36.3120852, 4.0729241 36.3120776)",,,,
561894986,residential,False,True,55.067,,"LINESTRING (4.0740349 36.3120852, 4.0740705 36.3115908)",,,,
254819846,residential,False,False,49.278,,"LINESTRING (4.0713317 36.3110594, 4.0709788 36.3113993)",,,,
254819846,residential,False,True,83.408,,"LINESTRING (4.0713317 36.3110594, 4.0719394 36.3104912)",,,,
254819884,residential,False,False,119.582,,"LINESTRING (4.0713317 36.3110594, 4.0723408 36.3117632)",,,,
254819884,residential,False,True,148.70299999999997,,"LINESTRING (4.0713317 36.3110594, 4.0709308 36.3107938, 4.0708188 36.3107412, 4.0707108 36.3107117, 4.0698227 36.3106107)",,,,
254819828,residential,False,True,259.381,,"LINESTRING (4.0773523 36.3114566, 4.0774534 36.3115838, 4.0775627 36.3118355, 4.077612 36.3121251, 4.0776075 36.3122541, 4.0775719 36.3124731, 4.0775505 36.3126979, 4.077569 36.3128284, 4.0776483 36.3130744, 4.0776691 36.3131452, 4.0776792 36.3132137, 4.0776765 36.3132268, 4.0776591 36.3132839, 4.0774574 36.3137013)",,,,
562039241,tertiary,False,True,205.38099999999997,,"LINESTRING (4.0773523 36.3114566, 4.0768817 36.311663, 4.0764538 36.3117622, 4.0756772 36.311909, 4.075185 36.3120267)",,,,
558627445,primary,False,False,83.558,2,"LINESTRING (4.0742909 36.3133919, 4.0738007 36.313375, 4.073742 36.3133765, 4.073359 36.3133862)",RN 5,40,,
