osmid,ref,name,highway,oneway,reversed,length,lanes,geometry,access,width
244628659,RN11,Boulevard Mohamed Khemisti 1930-1963,secondary,False,False,41.273,,"LINESTRING (-0.4236345 35.7823377, -0.424032 35.7821539)",,
316985458,,,secondary,False,True,20.972,2,"LINESTRING (-0.4236345 35.7823377, -0.4235132 35.7821768)",,
385292606,CW 27,Rue Hammou Boutlelis 1957-1920,secondary,False,True,75.282,,"LINESTRING (-0.4236345 35.7823377, -0.4240425 35.7829283)",,
244628659,RN11,Boulevard Mohamed Khemisti 1930-1963,secondary,False,True,44.368,,"LINESTRING (-0.4236345 35.7823377, -0.4233594 35.7824641, -0.4232065 35.7825343)",,
191359902,,Rue Des Jardins,residential,False,True,52.538,,"LINESTRING (-0.4276814 35.7804666, -0.4273939 35.7800557)",,
191360965,,RUE CHAHID FRHOUL ABDALLAH 1920-1958,residential,False,True,229.35,,"LINESTRING (-0.4276814 35.7804666, -0.4289566 35.782251)",,
244628659,RN11,Boulevard Mohamed Khemisti 1930-1963,secondary,False,False,52.414,,"LINESTRING (-0.4276814 35.7804666, -0.4281862 35.7802332)",,
244628659,RN11,Boulevard Mohamed Khemisti 1930-1963,secondary,False,True,102.782,,"LINESTRING (-0.4276814 35.7804666, -0.4276503 35.7804816, -0.4274279 35.7805887, -0.4272435 35.7806774, -0.4266916 35.7809242)",,
385292606,CW 27,Rue Hammou Boutlelis 1957-1920,secondary,False,False,90.965,,"LINESTRING (-0.4257571 35.7853614, -0.4252581 35.7846505)",,
385292606,CW 27,Rue Hammou Boutlelis 1957-1920,secondary,False,True,8.894,,"LINESTRING (-0.4257571 35.7853614, -0.4258059 35.7854309)",,
732806928,CW 32,,secondary,False,True,114.924,,"LINESTRING (-0.4257571 35.7853614, -0.425231 35.7856102, -0.4246564 35.7858819)",,
30312887,,Boulevard Mohamed Khemisti 1930-1963,secondary,False,True,55.863,,"LINESTRING (-0.4281862 35.7802332, -0.4286374 35.7798891)",,
244628659,RN11,Boulevard Mohamed Khemisti 1930-1963,secondary,False,True,52.414,,"LINESTRING (-0.4281862 35.7802332, -0.4276814 35.7804666)",,
994853896,,Rue Kadi Fatma 1915-1957,tertiary,True,False,54.443,,"LINESTRING (-0.4281862 35.7802332, -0.4285406 35.7800693, -0.4287105 35.7799907)",,
191358318,,Rue Moudjahid Gharassi Mebarek 1938-2014,residential,False,True,85.267,,"LINESTRING (-0.4193016 35.7781583, -0.4197618 35.7788281)",,
191358318,,Rue Moudjahid Gharassi Mebarek 1938-2014,residential,False,False,85.267,,"LINESTRING (-0.4197618 35.7788281, -0.4193016 35.7781583)",,
191358318,,Rue Moudjahid Gharassi Mebarek 1938-2014,residential,False,True,52.815,,"LINESTRING (-0.4197618 35.7788281, -0.4200468 35.779243)",,
191358345,,شارع الشهيد زوانب جيلالي 1939-1958,residential,False,False,79.017,,"LINESTRING (-0.4197618 35.7788281, -0.4190028 35.7791828)",,
191358318,,Rue Moudjahid Gharassi Mebarek 1938-2014,residential,False,False,52.815,,"LINESTRING (-0.4200468 35.779243, -0.4197618 35.7788281)",,
191358318,,Rue Moudjahid Gharassi Mebarek 1938-2014,residential,False,True,136.599,,"LINESTRING (-0.4200468 35.779243, -0.4207841 35.780316)",,
