osmid,highway,oneway,reversed,length,geometry,ref,name,junction,maxspeed
"[202171694, 558562527]",residential,False,True,72.749,"LINESTRING (3.1152641 36.7211199, 3.1153482 36.7212374, 3.115375 36.7212825, 3.1154287 36.72134, 3.1155301 36.7214484, 3.1157257 36.7216577)",,,,
521945661,secondary,False,True,188.152,"LINESTRING (3.1152641 36.7211199, 3.1142803 36.720224, 3.1138505 36.7198636)",CW 13,Bachdjerah Boulevard,,
558562525,secondary,False,False,82.626,"LINESTRING (3.1152641 36.7211199, 3.1154165 36.7212, 3.1155534 36.7212555, 3.1157826 36.7213202, 3.1161248 36.7213726)",CW 13,Bachdjerah Boulevard,,
60731909,secondary,False,False,50.88,"LINESTRING (3.1080379 36.7156891, 3.1077988 36.7161046)",,Route de Badjarrah,,
60731909,secondary,False,True,50.88,"LINESTRING (3.1077988 36.7161046, 3.1080379 36.7156891)",,Route de Badjarrah,,
678686963,residential,False,False,69.574,"LINESTRING (3.1077988 36.7161046, 3.1082924 36.7165893)",,,,
60731909,secondary,False,False,62.884,"LINESTRING (3.1077988 36.7161046, 3.1075375 36.7165809, 3.107514 36.716622)",,Route de Badjarrah,,
521945661,secondary,False,True,115.001,"LINESTRING (3.1138505 36.7198636, 3.1129695 36.719108)",CW 13,Bachdjerah Boulevard,,
28824236,tertiary,False,False,163.06099999999998,"LINESTRING (3.1138505 36.7198636, 3.1125256 36.7206281, 3.1123613 36.7207152)",,Rue du 5 juillet,,
521945661,secondary,False,False,188.152,"LINESTRING (3.1138505 36.7198636, 3.1142803 36.720224, 3.1152641 36.7211199)",CW 13,Bachdjerah Boulevard,,
218176977,secondary,False,False,300.615,"LINESTRING (3.1093428 36.7157795, 3.1097545 36.7161891, 3.1102332 36.7166611, 3.1114901 36.7178641)",CW 13,Bachdjerah Boulevard,,
39408663,tertiary,True,False,12.194,"LINESTRING (3.1121063 36.7210875, 3.1121234 36.7209787)",,,,
39408673,tertiary,False,False,65.92,"LINESTRING (3.1121063 36.7210875, 3.1117103 36.7215882)",,Rue du 5 juillet,,
39408670,tertiary,True,False,5.555,"LINESTRING (3.1121234 36.7209787, 3.1121003 36.7209569, 3.11209 36.7209372)",,,roundabout,
39408679,residential,True,False,12.602,"LINESTRING (3.112328 36.7210417, 3.1121978 36.7209975)",,,,
39408672,residential,False,False,386.728,"LINESTRING (3.112328 36.7210417, 3.1128084 36.7215576, 3.1128317 36.7215761, 3.1130197 36.7217687, 3.1130568 36.7217975, 3.1132315 36.7219746, 3.1135166 36.7222586, 3.1137195 36.7224712, 3.1141146 36.7228646, 3.1143206 36.7230697, 3.1145511 36.7232947, 3.1147509 36.7235085, 3.1150031 36.7237786)",,,,
343787842,residential,False,True,28.972,"LINESTRING (3.1105378 36.7204419, 3.1105913 36.7201849)",,,,
"[39420308, 39420301]",residential,False,"[False, True]",134.075,"LINESTRING (3.1105378 36.7204419, 3.1116274 36.7206141, 3.1118595 36.7203592)",,,,
211337433,residential,False,True,272.2339999999999,"LINESTRING (3.1105378 36.7204419, 3.1098209 36.7203102, 3.109383 36.7202403, 3.1093407 36.7202301, 3.1092428 36.7202064, 3.1091832 36.7201822, 3.1091443 36.720165, 3.1090725 36.7201167, 3.1089813 36.7200301, 3.1088586 36.7198974, 3.1086762 36.7196942, 3.1085019 36.7195018, 3.1084087 36.7193825, 3.1083054 36.7192293, 3.1082638 36.7191637, 3.108243 36.7191019)",,,,
343787842,residential,False,False,48.761,"LINESTRING (3.1105378 36.7204419, 3.1105796 36.7205315, 3.1106578 36.7206111, 3.1107623 36.7206583, 3.1109368 36.720698)",,,,
