osmid,oneway,lanes,highway,reversed,length,junction,geometry,bridge
462849937,True,2,secondary,False,109.109,,"LINESTRING (3.225055 34.3577781, 3.2256551 34.3586251)",
462849953,True,2,secondary,False,12.218,roundabout,"LINESTRING (3.225055 34.3577781, 3.2250204 34.357825, 3.2249542 34.3578309)",
228077546,False,,tertiary,False,53.539,,"LINESTRING (3.2289637 34.3538789, 3.2285949 34.3542519)",
228078148,False,,residential,False,18.453,,"LINESTRING (3.2289637 34.3538789, 3.2289747 34.3537132)",
228078148,False,,residential,True,41.983,,"LINESTRING (3.2289637 34.3538789, 3.22926 34.3541665)",
228078210,False,,residential,True,41.367,,"LINESTRING (3.2291622 34.3529555, 3.2287698 34.3531384)",
228077546,False,,tertiary,False,14.665,,"LINESTRING (3.2279301 34.3549161, 3.2278268 34.3550167)",
228077546,False,,tertiary,True,20.889,,"LINESTRING (3.2279301 34.3549161, 3.2280788 34.3547739)",
228077984,False,,residential,True,94.293,,"LINESTRING (3.2279301 34.3549161, 3.2273973 34.3541911)",
228077984,False,,residential,False,94.293,,"LINESTRING (3.2273973 34.3541911, 3.2279301 34.3549161)",
228078148,False,,residential,True,9.084,,"LINESTRING (3.2273973 34.3541911, 3.2274939 34.3541734)",
228077984,False,,residential,True,58.408,,"LINESTRING (3.2273973 34.3541911, 3.2272149 34.3542, 3.226882 34.3539457)",
228078010,False,,residential,True,41.829,,"LINESTRING (3.2220758 34.3555817, 3.2216734 34.3557582)",
228078020,False,,residential,True,82.497,,"LINESTRING (3.2220758 34.3555817, 3.222569 34.3562019)",
228078010,False,,residential,False,102.941,,"LINESTRING (3.2220758 34.3555817, 3.2228928 34.355086, 3.2229734 34.3550273)",
462849943,False,,secondary,False,19.675,,"LINESTRING (3.2199225 34.3564019, 3.2199457 34.356226)",
462849943,False,,secondary,True,130.465,,"LINESTRING (3.2199225 34.3564019, 3.219761 34.3575676)",
228078010,False,,residential,False,118.209,,"LINESTRING (3.2199225 34.3564019, 3.2205201 34.3562637, 3.2211093 34.3560054)",
228078010,False,,residential,False,58.626,,"LINESTRING (3.2211093 34.3560054, 3.2216734 34.3557582)",
228078020,False,,residential,False,90.318,,"LINESTRING (3.2211093 34.3560054, 3.2216648 34.3566758)",
228078010,False,,residential,True,118.209,,"LINESTRING (3.2211093 34.3560054, 3.2205201 34.3562637, 3.2199225 34.3564019)",
228077546,False,,tertiary,True,33.993,,"LINESTRING (3.2272122 34.3556469, 3.2274452 34.3554093)",
228078037,False,,residential,False,40.323,,"LINESTRING (3.2272122 34.3556469, 3.2275101 34.3559134)",
"[583788738, 228077546, 583788737]",False,,tertiary,False,306.036,,"LINESTRING (3.2272122 34.3556469, 3.2267511 34.3561028, 3.2266438 34.356209, 3.2251126 34.3576651, 3.225039 34.3577339)",yes
228078037,False,,residential,True,64.062,,"LINESTRING (3.2291354 34.3557677, 3.228617 34.3561534)",
228078038,False,,residential,True,35.02,,"LINESTRING (3.2291354 34.3557677, 3.2288836 34.3555311)",
228077546,False,,tertiary,False,20.889,,"LINESTRING (3.2280788 34.3547739, 3.2279301 34.3549161)",
228077546,False,,tertiary,True,27.11,,"LINESTRING (3.2280788 34.3547739, 3.2282655 34.354585)",
228078038,False,,residential,False,112.014,,"LINESTRING (3.2280788 34.3547739, 3.2288836 34.3555311)",
228078037,False,,residential,False,64.062,,"LINESTRING (3.228617 34.3561534, 3.2291354 34.3557677)",
228078037,False,,residential,True,23.567,,"LINESTRING (3.228617 34.3561534, 3.2284263 34.3562953)",
228078148,False,,residential,False,5.266,,"LINESTRING (3.2289101 34.3533962, 3.2288866 34.353353)",
228078148,False,,residential,True,35.744,,"LINESTRING (3.2289101 34.3533962, 3.2289747 34.3537132)",
228078148,False,,residential,False,9.084,,"LINESTRING (3.2274939 34.3541734, 3.2273973 34.3541911)",
228078148,False,,residential,True,51.978,,"LINESTRING (3.2274939 34.3541734, 3.2274101 34.3537111)",
462875394,False,,residential,False,71.524,,"LINESTRING (3.2274939 34.3541734, 3.2281425 34.353817)",
228078148,False,,residential,True,26.161,,"LINESTRING (3.2287698 34.3531384, 3.2288866 34.353353)",
228078210,False,,residential,False,41.367,,"LINESTRING (3.2287698 34.3531384, 3.2291622 34.3529555)",
228078148,False,,residential,False,147.719,,"LINESTRING (3.2287698 34.3531384, 3.2286955 34.353022, 3.2278587 34.3529777, 3.22729 34.3530485, 3.2272953 34.353078)",
