osmid,oneway,ref,highway,reversed,length,name,geometry
30306749,False,CW 20,secondary,False,109.363,,"LINESTRING (-0.8998629 35.572521, -0.8986695 35.5726794)"
30306749,False,CW 20,secondary,True,17.336,,"LINESTRING (-0.8998629 35.572521, -0.9000513 35.5724923)"
89933138,False,,residential,False,76.699,شارع الشهيد درقاوي ميلود 1908-1958,"LINESTRING (-0.8998629 35.572521, -0.899747 35.5718377)"
30306749,False,CW 20,secondary,False,18.302,,"LINESTRING (-0.8958912 35.5730315, -0.8956919 35.57306)"
30306749,False,CW 20,secondary,True,39.369,,"LINESTRING (-0.8958912 35.5730315, -0.8963213 35.572977)"
89933127,False,,residential,True,72.586,,"LINESTRING (-0.8958912 35.5730315, -0.8959851 35.5736798)"
30306749,False,CW 20,secondary,False,6.935,,"LINESTRING (-0.904746 35.5718705, -0.9046735 35.5718908)"
69748676,False,CW 20,secondary,False,72.617,,"LINESTRING (-0.9001665 35.5731386, -0.9000513 35.5724923)"
89933107,False,,residential,False,123.879,شارع الشهيد رحو بغداد 1933-1958,"LINESTRING (-0.9001665 35.5731386, -0.8988136 35.5733125)"
89933107,False,,residential,True,95.633,شارع الشهيد رحو بغداد 1933-1958,"LINESTRING (-0.9001665 35.5731386, -0.901213 35.5730155)"
69748676,False,CW 20,secondary,True,72.02199999999999,,"LINESTRING (-0.9001665 35.5731386, -0.9001716 35.5731817, -0.9001721 35.5732403, -0.9001584 35.5733108, -0.9001118 35.5734216, -0.900089 35.5734914, -0.9000903 35.573582, -0.9001145 35.5737755)"
69748676,False,CW 20,secondary,True,77.262,,"LINESTRING (-0.9001145 35.5737755, -0.9002518 35.5744613)"
89933079,False,,residential,False,109.755,شارع الشهيد ساردي علي 1906-1958,"LINESTRING (-0.9001145 35.5737755, -0.8989155 35.5739278)"
89933088,False,,residential,False,110.171,شارع الشهيد ساردي علي 1906-1958,"LINESTRING (-0.9001145 35.5737755, -0.9013171 35.5736178)"
69748676,False,CW 20,secondary,False,72.02199999999999,,"LINESTRING (-0.9001145 35.5737755, -0.9000903 35.573582, -0.900089 35.5734914, -0.9001118 35.5734216, -0.9001584 35.5733108, -0.9001721 35.5732403, -0.9001716 35.5731817, -0.9001665 35.5731386)"
30306749,False,CW 20,secondary,False,17.336,,"LINESTRING (-0.9000513 35.5724923, -0.8998629 35.572521)"
30306749,False,CW 20,secondary,True,93.525,,"LINESTRING (-0.9000513 35.5724923, -0.9010729 35.5723621)"
69748676,False,CW 20,secondary,True,72.617,,"LINESTRING (-0.9000513 35.5724923, -0.9001665 35.5731386)"
89933080,False,,residential,False,56.237,,"LINESTRING (-0.8955789 35.5724006, -0.8961904 35.572309)"
89933080,False,,residential,True,53.932,,"LINESTRING (-0.8955789 35.5724006, -0.8949888 35.5724704)"
89933124,False,,residential,False,74.031,,"LINESTRING (-0.8955789 35.5724006, -0.8956919 35.57306)"
89933124,False,,residential,True,51.211,,"LINESTRING (-0.8955789 35.5724006, -0.8954809 35.571947)"
