osmid,highway,junction,oneway,reversed,length,ref,geometry
92191384,primary,roundabout,True,False,5.618,,"LINESTRING (3.4121636 35.9412942, 3.4121936 35.9412499)"
925880145,primary,,False,False,173.3,RN 60,"LINESTRING (3.4121636 35.9412942, 3.411971 35.9412306, 3.4103859 35.9406963)"
218915748,residential,,False,False,66.067,,"LINESTRING (3.4126368 35.9393982, 3.4133606 35.9393002)"
218915724,secondary,,False,False,137.58599999999998,CW 94,"LINESTRING (3.4126368 35.9393982, 3.412479 35.9400299, 3.4123823 35.9403843, 3.4123036 35.9406052)"
218915724,secondary,,False,True,41.698,CW 94,"LINESTRING (3.4126368 35.9393982, 3.4126412 35.9391936, 3.412632 35.9390234)"
218917989,residential,,False,False,249.461,,"LINESTRING (3.4126368 35.9393982, 3.4120139 35.9398495, 3.4112401 35.9402587, 3.4103859 35.9406963)"
92191384,primary,roundabout,True,False,12.905000000000001,,"LINESTRING (3.4121936 35.9412499, 3.4122274 35.9412286, 3.4122681 35.9412181, 3.4123256 35.9412228)"
218915742,secondary,,True,False,75.246,,"LINESTRING (3.4121936 35.9412499, 3.4121561 35.9411502, 3.41214 35.9410243, 3.4121614 35.9409222, 3.4121909 35.9408136, 3.4122285 35.9407138, 3.412258 35.9406464, 3.4123036 35.9406052)"
92191384,primary,roundabout,True,False,14.569999999999999,,"LINESTRING (3.4123266 35.9414106, 3.4122844 35.9414165, 3.4122424 35.9414104, 3.4121947 35.9413848, 3.4121843 35.9413718)"
218915772,secondary,,True,False,62.053999999999995,,"LINESTRING (3.4123266 35.9414106, 3.4122928 35.9414847, 3.4122408 35.9415867, 3.4121353 35.9419454)"
92191384,primary,roundabout,True,False,3.849,,"LINESTRING (3.4123637 35.9413934, 3.4123266 35.9414106)"
218915743,primary,,True,False,19.82,RN 60,"LINESTRING (3.4124058 35.9412985, 3.412604 35.9413761)"
92191384,primary,roundabout,True,False,11.691,,"LINESTRING (3.4124058 35.9412985, 3.4124062 35.9413331, 3.4123912 35.9413669, 3.4123637 35.9413934)"
