osmid,oneway,highway,reversed,length,geometry,lanes,ref,name,junction
410110216,True,primary_link,False,167.555,"LINESTRING (2.844 35.7073389, 2.8432007 35.7066605, 2.8430397 35.7065298, 2.8429271 35.7064471, 2.8428466 35.7064122, 2.8427554 35.7063948, 2.8426243 35.7063685)",,,,
24222439,False,primary,False,37.399,"LINESTRING (2.8434796 35.7047059, 2.8437038 35.7044231)",2,RN 1,Trans-Sahara Highway,
176728102,True,primary,False,144.91,"LINESTRING (2.8434796 35.7047059, 2.8432307 35.7050568, 2.8429915 35.7053755, 2.8429378 35.7054887, 2.8429378 35.7055715, 2.8429325 35.7056804, 2.8429686 35.7058903)",,RN 1,Trans-Sahara Highway,
391707772,True,primary,False,149.05200000000002,"LINESTRING (2.8413768 35.707366, 2.8417577 35.7068478, 2.8419347 35.7066082, 2.8420205 35.7064688, 2.8420259 35.7063687, 2.8420312 35.7062859, 2.8420286 35.7061673)",,RN 1,,
176728097,True,primary,False,18.354,"LINESTRING (2.8429686 35.7058903, 2.8429806 35.7059722, 2.8429722 35.7060545)",,,,roundabout
392427444,True,primary,False,209.34199999999998,"LINESTRING (2.840722 35.704338, 2.8408563 35.704426, 2.8413017 35.7048353, 2.8417255 35.705223, 2.8419132 35.7054103, 2.842042 35.7054974, 2.8421417 35.7055421, 2.8422458 35.7055628, 2.8423933 35.7055787)",,RN 40,Route Transsaharienne,
176728097,True,primary,False,56.897000000000006,"LINESTRING (2.8425248 35.7055721, 2.8426773 35.7056041, 2.8428103 35.7056728, 2.8429106 35.7057714, 2.8429686 35.7058903)",,,,roundabout
391707767,True,primary,False,131.3,"LINESTRING (2.8425248 35.7055721, 2.8426642 35.7055018, 2.8427554 35.7054626, 2.8428466 35.7054147, 2.8430663 35.7051673, 2.8431792 35.7050401, 2.8432891 35.7049178, 2.8434796 35.7047059)",,RN 1,Trans-Sahara Highway,
176728097,True,primary,False,49.367999999999995,"LINESTRING (2.8429722 35.7060545, 2.842927 35.7061635, 2.8428462 35.706258, 2.8427944 35.7062974, 2.842673 35.7063566, 2.8426243 35.7063685)",,,,roundabout
176728101,True,primary_link,False,131.252,"LINESTRING (2.8429722 35.7060545, 2.8429968 35.7062336, 2.8430322 35.7063567, 2.8430773 35.7064601, 2.8431417 35.7065342, 2.8436846 35.7070432)",,,,
176728097,True,primary,False,59.219,"LINESTRING (2.8419749 35.7059397, 2.8420146 35.7058159, 2.8420994 35.7057081, 2.842221 35.7056268, 2.8423676 35.70558, 2.8423933 35.7055787)",,,,roundabout
176728098,True,primary,False,216.945,"LINESTRING (2.8419749 35.7059397, 2.8419615 35.7057414, 2.8419508 35.7056238, 2.841881 35.7055018, 2.8417653 35.7053492, 2.8408163 35.704461, 2.840722 35.704338)",,RN 40,Route Transsaharienne,
176728097,True,primary,False,26.080999999999996,"LINESTRING (2.8420286 35.7061673, 2.8419896 35.7060853, 2.841976 35.7060276, 2.8419749 35.7059397)",,,,roundabout
182946079,False,residential,False,49.167,"LINESTRING (2.8448579 35.7014245, 2.8453164 35.701663)",,,,
182946079,False,residential,True,56.913,"LINESTRING (2.8448579 35.7014245, 2.8443283 35.701147)",,,,
182946107,False,residential,False,190.647,"LINESTRING (2.8448579 35.7014245, 2.8437004 35.7028584)",,,,
24222439,False,primary,False,270.613,"LINESTRING (2.8441003 35.7039207, 2.8457193 35.7018727)",2,RN 1,Trans-Sahara Highway,
24222439,False,primary,True,66.352,"LINESTRING (2.8441003 35.7039207, 2.8437038 35.7044231)",2,RN 1,Trans-Sahara Highway,
182946096,False,residential,True,48.35,"LINESTRING (2.8441003 35.7039207, 2.8436542 35.7036802)",,,,
182946106,False,residential,True,39.764,"LINESTRING (2.8453837 35.6985885, 2.8457576 35.6987774)",,,,
182946085,False,residential,False,37.92,"LINESTRING (2.8434945 35.7011427, 2.8432654 35.7014285)",,,,
182946085,False,residential,True,40.4,"LINESTRING (2.8434945 35.7011427, 2.8437399 35.7008389)",,,,
182946098,False,residential,False,55.439,"LINESTRING (2.8434945 35.7011427, 2.8440144 35.7014079)",,,,
182946098,False,residential,True,75.498,"LINESTRING (2.8434945 35.7011427, 2.8427791 35.7007913)",,,,
182946102,False,residential,False,40.013,"LINESTRING (2.8459416 35.704156, 2.846316 35.7043485)",,,,
182946104,False,residential,False,135.45,"LINESTRING (2.8459416 35.704156, 2.845138 35.7051846)",,,,
182946104,False,residential,True,154.278,"LINESTRING (2.8459416 35.704156, 2.8462581 35.7037507, 2.8472055 35.7042321)",,,,
182946100,False,residential,False,136.182,"LINESTRING (2.846316 35.7043485, 2.8455132 35.7053853)",,,,
182946102,False,residential,False,60.044,"LINESTRING (2.846316 35.7043485, 2.8468778 35.7046374)",,,,
182946102,False,residential,True,40.013,"LINESTRING (2.846316 35.7043485, 2.8459416 35.704156)",,,,
182946089,False,residential,False,36.483,"LINESTRING (2.8421581 35.7008481, 2.842399 35.7005847)",,,,
182946089,False,residential,True,38.605,"LINESTRING (2.8421581 35.7008481, 2.8419152 35.7011338)",,,,
182946111,False,residential,False,42.78,"LINESTRING (2.8421581 35.7008481, 2.8425499 35.7010644)",,,,
182946079,False,residential,False,6.93,"LINESTRING (2.8431546 35.7025812, 2.8430895 35.7025482)",,,,
182946079,False,residential,True,58.129,"LINESTRING (2.8431546 35.7025812, 2.8437004 35.7028584)",,,,
182946114,False,residential,True,77.733,"LINESTRING (2.8431546 35.7025812, 2.8426597 35.7031532)",,,,
182946105,False,residential,True,53.913,"LINESTRING (2.8472055 35.7042321, 2.8468778 35.7046374)",,,,
182946104,False,residential,False,154.278,"LINESTRING (2.8472055 35.7042321, 2.8462581 35.7037507, 2.8459416 35.704156)",,,,
182946104,False,residential,True,141.866,"LINESTRING (2.8472055 35.7042321, 2.8480069 35.7046394, 2.8476651 35.705065)",,,,
182946096,False,residential,False,58.352,"LINESTRING (2.8426597 35.7031532, 2.8432032 35.7034371)",,,,
182946114,False,residential,False,77.733,"LINESTRING (2.8426597 35.7031532, 2.8431546 35.7025812)",,,,
182946114,False,residential,True,61.515,"LINESTRING (2.8426597 35.7031532, 2.8422859 35.7036157)",,,,
182946089,False,residential,False,42.976,"LINESTRING (2.842399 35.7005847, 2.8426829 35.7002745)",,,,
182946089,False,residential,True,36.483,"LINESTRING (2.842399 35.7005847, 2.8421581 35.7008481)",,,,
182946098,False,residential,False,41.301,"LINESTRING (2.842399 35.7005847, 2.8427791 35.7007913)",,,,
182946098,False,residential,True,100.548,"LINESTRING (2.842399 35.7005847, 2.8419167 35.7003535, 2.841433 35.7001351)",,,,
182946106,False,residential,False,35.892,"LINESTRING (2.8468231 35.6993158, 2.8464856 35.6991453)",,,,
182946106,False,residential,True,69.197,"LINESTRING (2.8468231 35.6993158, 2.8474737 35.6996446)",,,,
182946106,False,residential,False,39.764,"LINESTRING (2.8457576 35.6987774, 2.8453837 35.6985885)",,,,
182946106,False,residential,True,39.128,"LINESTRING (2.8457576 35.6987774, 2.8461255 35.6989633)",,,,
182946079,False,residential,True,54.83,"LINESTRING (2.8425747 35.7022867, 2.8430895 35.7025482)",,,,
182946085,False,residential,True,40.299,"LINESTRING (2.8425747 35.7022867, 2.8428188 35.7019833)",,,,
182946079,False,residential,False,118.37700000000001,"LINESTRING (2.8425747 35.7022867, 2.8418378 35.7019124, 2.8420867 35.701616)",,,,
182946090,False,residential,False,89.737,"LINESTRING (2.8456164 35.7062276, 2.8450657 35.7068994)",,,,
