osmid,oneway,ref,highway,reversed,length,geometry,bridge
521654478,True,RN 9,trunk,False,23.036,"LINESTRING (5.1572403 36.6689929, 5.1574785 36.6689128)",
521655440,False,,residential,False,34.388,"LINESTRING (5.1572403 36.6689929, 5.1572642 36.6689687, 5.1572855 36.6689429, 5.1573039 36.6689157, 5.1573193 36.6688873, 5.1573317 36.6688581, 5.1573408 36.668828, 5.1573467 36.6687975, 5.1573494 36.6687666, 5.1573487 36.6687357, 5.1573447 36.6687049)",
154253404,False,,residential,True,23.237,"LINESTRING (5.1564586 36.6670992, 5.1561981 36.667102)",
154253404,False,,residential,False,104.022,"LINESTRING (5.1564586 36.6670992, 5.1569652 36.6670937, 5.1571046 36.6671281, 5.1571669 36.6672004, 5.1571905 36.6673174, 5.1571347 36.6674499, 5.157098 36.6675088)",
154253406,False,,residential,True,73.1,"LINESTRING (5.1564586 36.6670992, 5.1562442 36.6672606, 5.1561047 36.6673725, 5.1560189 36.6675016, 5.1559009 36.6675704)",
154253404,False,,residential,False,66.277,"LINESTRING (5.1569973 36.668178, 5.1573447 36.6687049)",
154253404,False,,residential,True,20.934,"LINESTRING (5.1569973 36.668178, 5.1569724 36.6679908)",
521367154,False,,residential,False,72.757,"LINESTRING (5.1569973 36.668178, 5.1567172 36.6683017, 5.1566997 36.6682274, 5.1567931 36.6681464, 5.1569724 36.6679908)",
154253404,False,,residential,True,8.587,"LINESTRING (5.1575178 36.6689833, 5.1574785 36.6689128)",
513693117,False,,residential,False,31.906,"LINESTRING (5.1575178 36.6689833, 5.1576 36.6691275, 5.1576639 36.6692452)",
521654481,True,RN 9,trunk,False,42.531000000000006,"LINESTRING (5.1575178 36.6689833, 5.1571798 36.6691074, 5.1570831 36.6691405)",
38504709,True,RN 9,trunk,False,179.731,"LINESTRING (5.1611047 36.6676709, 5.1592713 36.6683417)",
154253405,False,,residential,True,74.09,"LINESTRING (5.1611047 36.6676709, 5.1615035 36.6682554)",
154253404,False,,residential,False,8.587,"LINESTRING (5.1574785 36.6689128, 5.1575178 36.6689833)",
154253404,False,,residential,True,26.016,"LINESTRING (5.1574785 36.6689128, 5.1573447 36.6687049)",
521654478,True,RN 9,trunk,False,152.84,"LINESTRING (5.1574785 36.6689128, 5.1590404 36.6683473)",
154253405,False,,residential,False,74.09,"LINESTRING (5.1615035 36.6682554, 5.1611047 36.6676709)",
154253405,False,,residential,True,123.59899999999999,"LINESTRING (5.1615035 36.6682554, 5.1618232 36.6687064, 5.1611708 36.6689848)",
513693117,False,,residential,True,186.178,"LINESTRING (5.1615035 36.6682554, 5.1598385 36.6688584, 5.159601 36.6689444)",
154253406,False,,residential,False,73.1,"LINESTRING (5.1559009 36.6675704, 5.1560189 36.6675016, 5.1561047 36.6673725, 5.1562442 36.6672606, 5.1564586 36.6670992)",
154253406,False,,residential,True,177.24699999999999,"LINESTRING (5.1559009 36.6675704, 5.155785 36.6676272, 5.1551627 36.6676961, 5.1550104 36.6677425, 5.1549052 36.6678079, 5.1547743 36.6679319, 5.154659 36.6681212, 5.1545995 36.6682662, 5.1545847 36.6683759, 5.1545352 36.6684759)",
1172502944,False,,residential,True,38.285,"LINESTRING (5.1559009 36.6675704, 5.1559414 36.6676988, 5.1558878 36.6677849, 5.1557858 36.6678666)",
154253403,False,,residential,True,180.99200000000002,"LINESTRING (5.1528211 36.6684717, 5.1526629 36.6683157, 5.1526736 36.668178, 5.1527487 36.6680059, 5.1536285 36.6671539)",
286354614,False,,residential,False,247.04300000000003,"LINESTRING (5.1528211 36.6684717, 5.1527265 36.6684601, 5.1526174 36.6685651, 5.15253 36.6686819, 5.1524136 36.6688045, 5.1522899 36.6688045, 5.1522098 36.6687578, 5.1521589 36.6686994, 5.1521589 36.6686294, 5.1523044 36.6684309, 5.1523772 36.6682674, 5.1523699 36.6681449, 5.152319 36.6679814, 5.1522753 36.667888, 5.1522289 36.6678725, 5.152188 36.6678588, 5.1520934 36.6678997, 5.1520715 36.6679697, 5.1521152 36.6680748, 5.1521152 36.6681449, 5.1521152 36.6681857, 5.1520643 36.6682558, 5.1520114 36.6683066)",
"[286354616, 286354614]",False,,residential,"[False, True]",158.051,"LINESTRING (5.1528211 36.6684717, 5.1530467 36.6687461, 5.1531195 36.6688103, 5.1532287 36.6688512, 5.153316 36.6688337, 5.1533888 36.6687811, 5.1534251 36.6687169, 5.1534033 36.6686118, 5.1533305 36.6684834, 5.1532359 36.6683258, 5.1532236 36.6682888, 5.1532289 36.6682382, 5.153266 36.6681855, 5.1533683 36.6681037)",
154253405,False,,residential,False,123.59899999999999,"LINESTRING (5.1611708 36.6689848, 5.1618232 36.6687064, 5.1615035 36.6682554)",
