osmid,ref,highway,oneway,reversed,length,lanes,name,geometry,bridge,access
38826017,RN 86,primary,False,False,136.005,,,"LINESTRING (5.91592 35.6314205, 5.9173024 35.6319038)",,
267077800,,residential,False,True,90.541,,,"LINESTRING (5.91592 35.6314205, 5.916284 35.6306619)",,
1135090492,RN 77,primary,False,False,124.526,2,,"LINESTRING (5.91592 35.6314205, 5.9154189 35.6324637)",,
1135090503,RN 86,primary,False,False,87.134,,,"LINESTRING (5.91592 35.6314205, 5.9150537 35.6310766)",,
243766345,,residential,False,False,80.83,,,"LINESTRING (5.9140393 35.6307134, 5.9136642 35.6313733)",,
267484501,,secondary,False,True,78.986,,,"LINESTRING (5.9140393 35.6307134, 5.9143867 35.6300616)",,
1135090503,RN 86,primary,False,False,187.646,,,"LINESTRING (5.9140393 35.6307134, 5.9121243 35.6300614)",,
1135090503,RN 86,primary,False,True,58.536,,,"LINESTRING (5.9140393 35.6307134, 5.9146359 35.6309183)",,
126982273,RN 77,primary,False,False,79.646,,,"LINESTRING (5.9125516 35.6286153, 5.9122095 35.6292754)",,
126982273,RN 77,primary,False,True,35.135,,,"LINESTRING (5.9125516 35.6286153, 5.9127179 35.6283297)",,
243766366,,residential,False,False,80.698,,شارع 5 يوايو,"LINESTRING (5.9125516 35.6286153, 5.9133696 35.6289062)",,
243766366,,residential,False,True,178.286,,شارع 5 يوايو,"LINESTRING (5.9125516 35.6286153, 5.9107522 35.6279583)",,
243766369,,residential,False,False,75.908,,,"LINESTRING (5.9093912 35.6290804, 5.9090596 35.6297076)",,
243766369,,residential,False,True,83.072,,,"LINESTRING (5.9093912 35.6290804, 5.9097555 35.6283945)",,
1135090503,RN 86,primary,False,False,21.706,,,"LINESTRING (5.9093912 35.6290804, 5.9091659 35.6290128)",,
1135090503,RN 86,primary,False,True,213.968,,,"LINESTRING (5.9093912 35.6290804, 5.9115611 35.6298499)",,
267255331,,tertiary,False,True,21.303,,,"LINESTRING (5.9091659 35.6290128, 5.9090103 35.6288689)",,
1135090503,RN 86,primary,False,False,20.685,,,"LINESTRING (5.9091659 35.6290128, 5.9089406 35.6290455)",,
1135090503,RN 86,primary,False,True,21.706,,,"LINESTRING (5.9091659 35.6290128, 5.9093912 35.6290804)",,
267255328,,primary,False,False,20.623,,,"LINESTRING (5.9089406 35.6290455, 5.9090103 35.6288689)",,
1135090503,RN 86,primary,False,False,109.173,,,"LINESTRING (5.9089406 35.6290455, 5.9082405 35.6298456)",,
1135090503,RN 86,primary,False,True,20.685,,,"LINESTRING (5.9089406 35.6290455, 5.9091659 35.6290128)",,
243766347,,residential,False,True,61.835,,,"LINESTRING (5.9082405 35.6298456, 5.9088628 35.6300767)",,
1135090503,RN 86,primary,False,True,109.173,,,"LINESTRING (5.9082405 35.6298456, 5.9089406 35.6290455)",,
243766347,,residential,False,False,12.065,,,"LINESTRING (5.9112902 35.630965, 5.9111668 35.6309236)",,
243766347,,residential,False,True,81.815,,,"LINESTRING (5.9112902 35.630965, 5.9121163 35.6312659)",,
243766365,,residential,False,True,46.931,,,"LINESTRING (5.9112902 35.630965, 5.9115081 35.6305819)",,
243766335,,residential,False,False,213.812,,,"LINESTRING (5.9136642 35.6313733, 5.9115081 35.6305819)",,
243766345,,residential,False,False,44.694,,,"LINESTRING (5.9136642 35.6313733, 5.9134555 35.6317377)",,
243766345,,residential,False,True,80.83,,,"LINESTRING (5.9136642 35.6313733, 5.9140393 35.6307134)",,
243766347,,residential,False,False,210.889,,,"LINESTRING (5.9111668 35.6309236, 5.9090371 35.6301486)",,
243766347,,residential,False,True,12.065,,,"LINESTRING (5.9111668 35.6309236, 5.9112902 35.630965)",,
243766368,,residential,False,True,93.441,,,"LINESTRING (5.9111668 35.6309236, 5.9107671 35.6316986)",,
243766354,,primary,False,True,82.283,,,"LINESTRING (5.9121243 35.6300614, 5.9124831 35.6293813)",,
1135090503,RN 86,primary,False,False,28.139,,,"LINESTRING (5.9121243 35.6300614, 5.9118373 35.6299633)",,
1135090503,RN 86,primary,False,True,187.646,,,"LINESTRING (5.9121243 35.6300614, 5.9140393 35.6307134)",,
243766358,,residential,False,True,49.332,,,"LINESTRING (5.9088632 35.6352671, 5.908636 35.6356705)",,
243766367,,residential,False,False,42.195,,,"LINESTRING (5.9088632 35.6352671, 5.9092909 35.6354193)",,
243766367,,residential,False,True,90.888,,,"LINESTRING (5.9088632 35.6352671, 5.9079297 35.634963)",,
243766355,,residential,False,False,85.94,,,"LINESTRING (5.9127493 35.6323134, 5.9126239 35.6323216, 5.9125327 35.6323129, 5.9118607 35.6320744)",,
243766361,,residential,False,False,78.99799999999999,,,"LINESTRING (5.9127493 35.6323134, 5.9128492 35.6323652, 5.9128888 35.6324311, 5.9128861 35.6324834, 5.9126589 35.6329356)",,
243766361,,residential,False,True,112.281,,,"LINESTRING (5.9127493 35.6323134, 5.9127198 35.6322633, 5.9126447 35.6320932, 5.912355 35.6313564)",,
243766336,,residential,False,False,39.087,,,"LINESTRING (5.9112104 35.6349042, 5.9116055 35.6350472)",,
243766336,,residential,False,True,173.244,,,"LINESTRING (5.9112104 35.6349042, 5.9094421 35.6343026)",,
