osmid,highway,oneway,reversed,length,ref,maxspeed,name,geometry
169742267,residential,False,True,42.654,,,,"LINESTRING (6.0427907 36.4577803, 6.0429845 36.4581308)"
384901960,secondary,False,False,39.35,CW 6,30,,"LINESTRING (6.0427907 36.4577803, 6.0423755 36.4576632)"
384901960,secondary,False,True,8.51,CW 6,30,,"LINESTRING (6.0427907 36.4577803, 6.0428835 36.4577634)"
169754295,residential,False,True,75.41,,,,"LINESTRING (6.0388782 36.4586941, 6.0381091 36.4589721)"
443028240,secondary,False,True,90.166,CW 6,30,شارع الاخوين بوطانة محمد واحمد,"LINESTRING (6.0388782 36.4586941, 6.039796 36.4583585)"
443030434,secondary,False,False,38.113,,30,نهج هرنون احمد,"LINESTRING (6.0388782 36.4586941, 6.0390366 36.4590123)"
449059920,secondary,False,True,43.623,,30,نهج خروبة علي,"LINESTRING (6.0388782 36.4586941, 6.0386832 36.4583345)"
441500536,secondary,False,False,27.136,CW 6,40,,"LINESTRING (6.0345285 36.460554, 6.0342253 36.4605635)"
441500536,secondary,False,True,12.347,CW 6,40,,"LINESTRING (6.0345285 36.460554, 6.0346626 36.4605276)"
169754336,residential,False,True,25.029,,,,"LINESTRING (6.0445328 36.4572853, 6.0444186 36.4570798)"
384901960,secondary,False,False,54.182,CW 6,30,,"LINESTRING (6.0445328 36.4572853, 6.0439686 36.4574628)"
169742270,residential,False,False,95.069,,30,نهج بريكة السعدي,"LINESTRING (6.0414128 36.4568282, 6.041867 36.4576012)"
169742274,residential,False,True,30.756,,,,"LINESTRING (6.0414128 36.4568282, 6.0417207 36.456705)"
509577384,residential,False,True,113.012,,,شارع بشكيط يوسف,"LINESTRING (6.0414128 36.4568282, 6.0402615 36.4572471)"
169742272,residential,False,False,108.62,,,,"LINESTRING (6.0430432 36.4598534, 6.0432402 36.459623, 6.0432208 36.4595955, 6.043116 36.4595074, 6.0429451 36.4593653, 6.0428447 36.4592908, 6.042709 36.459167, 6.0426332 36.4591305)"
"[169742272, 202592580]",residential,False,"[False, True]",144.477,,,,"LINESTRING (6.0430432 36.4598534, 6.0427706 36.4601285, 6.0425395 36.459976, 6.0425056 36.4599227, 6.042431 36.4598752, 6.0423665 36.4599556, 6.0422181 36.4599022, 6.0421154 36.45984, 6.0419396 36.4597326, 6.041861 36.4597366)"
169742277,residential,False,True,125.89500000000001,,,,"LINESTRING (6.0430432 36.4598534, 6.0429328 36.4597843, 6.0426118 36.45957, 6.0425377 36.4595287, 6.0424374 36.4595074, 6.0423488 36.459525, 6.0422413 36.4595432, 6.0418603 36.4596912, 6.0418303 36.4597013)"
849492947,residential,False,True,82.181,,,,"LINESTRING (6.0416296 36.4607954, 6.0407113 36.4608229)"
454856820,residential,False,False,72.091,,60,,"LINESTRING (6.0416296 36.4607954, 6.0415404 36.4605622, 6.041517 36.4604473, 6.0415231 36.4603123, 6.041624 36.4601828)"
454856820,residential,False,True,58.129000000000005,,60,,"LINESTRING (6.0416296 36.4607954, 6.0416517 36.4612132, 6.0416572 36.4613177)"
169742276,residential,False,False,135.097,,20,,"LINESTRING (6.0413576 36.4591682, 6.0427301 36.4586607)"
