osmid,highway,oneway,reversed,length,geometry,name,lanes,ref,maxspeed,bridge
25985805,secondary,False,False,16.988,"LINESTRING (3.282572 36.7408038, 3.2824225 36.740709)",,,,,
33794698,residential,False,True,82.19200000000001,"LINESTRING (3.282572 36.7408038, 3.2828775 36.7405113, 3.2833144 36.7405848)",,,,,
227202403,secondary,False,False,15.598,"LINESTRING (3.2772684 36.7394643, 3.2772962 36.7393258)",,,,,
521231807,tertiary,False,True,106.911,"LINESTRING (3.2772684 36.7394643, 3.2770828 36.7404142)",,,,,
25985805,secondary,False,True,18.959,"LINESTRING (3.2819882 36.7400834, 3.2819756 36.7402536)",,,,,
25985830,secondary,True,False,116.322,"LINESTRING (3.2819882 36.7400834, 3.2806992 36.739918)",Boulevard Larbi Khaled,,,,
149439872,secondary,False,True,17.876,"LINESTRING (3.2819882 36.7400834, 3.2820077 36.7399234)",,2,RN 5,40,
25985805,secondary,False,False,36.995,"LINESTRING (3.2821551 36.7405536, 3.2819756 36.7402536)",,,,,
25985805,secondary,False,True,29.433,"LINESTRING (3.2821551 36.7405536, 3.2824225 36.740709)",,,,,
425327148,residential,False,True,28.095,"LINESTRING (3.2821551 36.7405536, 3.2818761 36.7406713)",,,,,
314664146,trunk,True,False,93.702,"LINESTRING (3.2841344 36.7365841, 3.2851736 36.7367127)",,2,RN 5,50,
314664145,secondary,True,False,139.125,"LINESTRING (3.2876206 36.7370308, 3.2876204 36.737093, 3.2875838 36.7372732, 3.2875318 36.7375289, 3.2875196 36.7375891, 3.2873857 36.738267)",,2,,50,
25985814,secondary,True,False,30.32,"LINESTRING (3.2826762 36.7364073, 3.2826269 36.7366771)",شارع محمد فلاح,2,,,
41129831,residential,False,False,27.824,"LINESTRING (3.2826762 36.7364073, 3.2827222 36.7361598)",,,,,
314664146,trunk,True,False,43.123,"LINESTRING (3.2826762 36.7364073, 3.2831547 36.7364652)",,2,RN 5,50,
25985814,secondary,True,False,40.552,"LINESTRING (3.2820696 36.7395621, 3.2820077 36.7399234)",شارع محمد فلاح,2,,,
223270614,residential,False,False,100.268,"LINESTRING (3.2820696 36.7395621, 3.2815832 36.7394937, 3.2809613 36.7394062)",شارع عادل نور الدين,,,,
227202403,secondary,False,True,15.598,"LINESTRING (3.2772962 36.7393258, 3.2772684 36.7394643)",,,,,
368039769,secondary,True,False,235.334,"LINESTRING (3.2772962 36.7393258, 3.2773899 36.7388379, 3.277635 36.7375609, 3.2777082 36.7372354)",,2,,50,
149439872,secondary,False,False,17.876,"LINESTRING (3.2820077 36.7399234, 3.2819882 36.7400834)",,2,RN 5,40,
229730393,secondary,True,False,115.804,"LINESTRING (3.2820077 36.7399234, 3.2807201 36.7397822)",Boulevard Larbi Khaled,,,50,
233913311,secondary,True,False,81.975,"LINESTRING (3.2820077 36.7399234, 3.2829156 36.7400424)",Boulevard Larbi Khaled,2,,50,
33792892,residential,True,False,34.204,"LINESTRING (3.2847682 36.7403128, 3.2848151 36.7400075)",,,,,
220105423,residential,False,False,15.781,"LINESTRING (3.2847682 36.7403128, 3.284746 36.7404536)",,,,,
233913311,secondary,True,False,38.41,"LINESTRING (3.2847682 36.7403128, 3.2851932 36.7403705)",Boulevard Larbi Khaled,2,,50,
25985833,secondary,False,False,8.14,"LINESTRING (3.2833938 36.732759, 3.2833795 36.7328313)",BOULVERD COLONEL AMIROUCHE,2,CW 121,50,
227226245,secondary,True,False,113.71,"LINESTRING (3.278683 36.7322018, 3.2799453 36.7323511)",,,CW 121,,
227226246,secondary,False,False,7.908,"LINESTRING (3.278683 36.7322018, 3.2786696 36.7322721)",,,CW 121,40,
567116504,secondary,True,False,7.231,"LINESTRING (3.277991 36.7358898, 3.2780003 36.7358252)",,2,,50,
25985814,secondary,True,False,54.466,"LINESTRING (3.2824468 36.7376272, 3.2823586 36.7381119)",شارع محمد فلاح,2,,,
31564940,residential,True,False,35.718,"LINESTRING (3.2842921 36.7378544, 3.2838967 36.7378017)",,,,,
33792875,residential,False,False,56.137,"LINESTRING (3.2842921 36.7378544, 3.2842763 36.7379366, 3.2842554 36.7380457, 3.2841965 36.7383534)",,,,,
31564940,residential,True,False,21.621,"LINESTRING (3.2838967 36.7378017, 3.2836568 36.7377726)",,,,,
33792981,residential,False,False,57.081,"LINESTRING (3.2838967 36.7378017, 3.2839986 36.7372949)",,,,,
33792981,residential,False,True,56.522,"LINESTRING (3.2838967 36.7378017, 3.2838815 36.7378836, 3.283861 36.7379944, 3.2838462 36.7380742, 3.2838035 36.7383045)",,,,,
25985814,secondary,True,False,6.514,"LINESTRING (3.2822367 36.7387591, 3.2822227 36.7388166)",شارع محمد فلاح,2,,,
220105422,residential,False,True,84.082,"LINESTRING (3.2822367 36.7387591, 3.2831654 36.7388929)",,,,,
25985814,secondary,True,False,35.859,"LINESTRING (3.2821319 36.7392435, 3.2820696 36.7395621)",شارع محمد فلاح,2,,,
291355241,residential,False,True,84.379,"LINESTRING (3.2821319 36.7392435, 3.2830687 36.7393542)",,,,,
33792875,residential,False,False,51.66,"LINESTRING (3.2840603 36.7390201, 3.2839764 36.7394798)",,,,,
33792875,residential,False,True,75.121,"LINESTRING (3.2840603 36.7390201, 3.2841965 36.7383534)",,,,,
220105422,residential,False,False,33.583,"LINESTRING (3.2840603 36.7390201, 3.2836892 36.7389674)",,,,,
220105426,residential,True,False,81.852,"LINESTRING (3.2840603 36.7390201, 3.2849684 36.7391309)",,,,,
33792892,residential,True,False,52.208,"LINESTRING (3.2848891 36.7395961, 3.2849684 36.7391309)",,,,,
33792854,residential,True,False,83.241,"LINESTRING (3.2848151 36.7400075, 3.283894 36.7398827)",,,,,
33792892,residential,True,False,46.218,"LINESTRING (3.2848151 36.7400075, 3.2848891 36.7395961)",,,,,
33792859,residential,False,False,33.398,"LINESTRING (3.2829841 36.7397471, 3.2829156 36.7400424)",,,,,
33792859,residential,False,True,44.334,"LINESTRING (3.2829841 36.7397471, 3.2830687 36.7393542)",,,,,
33792859,residential,False,False,29.049,"LINESTRING (3.2832239 36.7386359, 3.2831654 36.7388929)",,,,,
33792859,residential,False,False,52.013,"LINESTRING (3.2831654 36.7388929, 3.2830687 36.7393542)",,,,,
33792859,residential,False,True,29.049,"LINESTRING (3.2831654 36.7388929, 3.2832239 36.7386359)",,,,,
220105422,residential,False,False,84.082,"LINESTRING (3.2831654 36.7388929, 3.2822367 36.7387591)",,,,,
220105422,residential,False,True,47.404,"LINESTRING (3.2831654 36.7388929, 3.2836892 36.7389674)",,,,,
33792859,residential,False,False,44.334,"LINESTRING (3.2830687 36.7393542, 3.2829841 36.7397471)",,,,,
33792859,residential,False,True,52.013,"LINESTRING (3.2830687 36.7393542, 3.2831654 36.7388929)",,,,,
291355241,residential,False,False,84.379,"LINESTRING (3.2830687 36.7393542, 3.2821319 36.7392435)",,,,,
291355241,residential,False,True,82.08,"LINESTRING (3.2830687 36.7393542, 3.2839764 36.7394798)",,,,,
33792859,residential,False,True,33.398,"LINESTRING (3.2829156 36.7400424, 3.2829841 36.7397471)",,,,,
233913311,secondary,True,False,83.608,"LINESTRING (3.2829156 36.7400424, 3.2838385 36.740178)",Boulevard Larbi Khaled,2,,50,
33792851,residential,True,False,82.35,"LINESTRING (3.2839764 36.7394798, 3.2848891 36.7395961)",,,,,
33792875,residential,False,True,51.66,"LINESTRING (3.2839764 36.7394798, 3.2840603 36.7390201)",,,,,
291355240,residential,False,False,45.398,"LINESTRING (3.2839764 36.7394798, 3.283894 36.7398827)",,,,,
291355241,residential,False,False,82.08,"LINESTRING (3.2839764 36.7394798, 3.2830687 36.7393542)",,,,,
33792854,residential,True,False,82.469,"LINESTRING (3.283894 36.7398827, 3.2829841 36.7397471)",,,,,
291355240,residential,False,False,33.206,"LINESTRING (3.283894 36.7398827, 3.2838385 36.740178)",,,,,
291355240,residential,False,True,45.398,"LINESTRING (3.283894 36.7398827, 3.2839764 36.7394798)",,,,,
233913311,secondary,True,False,84.188,"LINESTRING (3.2838385 36.740178, 3.2847682 36.7403128)",Boulevard Larbi Khaled,2,,50,
291355240,residential,False,True,33.206,"LINESTRING (3.2838385 36.740178, 3.283894 36.7398827)",,,,,
43785589,residential,True,False,43.489,"LINESTRING (3.2849684 36.7391309, 3.2853167 36.739172, 3.2854518 36.7391845)",,,,,
220105423,residential,False,False,34.114,"LINESTRING (3.284746 36.7404536, 3.2846892 36.740757)",,,,,
220105423,residential,False,True,15.781,"LINESTRING (3.284746 36.7404536, 3.2847682 36.7403128)",,,,,
828995310,secondary,True,False,123.684,"LINESTRING (3.284746 36.7404536, 3.2845271 36.7404225, 3.2843893 36.740405, 3.2835818 36.7402926, 3.2833781 36.7402649)",Boulevard Larbi Khaled,2,,50,
33792981,residential,False,False,74.412,"LINESTRING (3.2836892 36.7389674, 3.2838035 36.7383045)",,,,,
220105422,residential,False,False,47.404,"LINESTRING (3.2836892 36.7389674, 3.2831654 36.7388929)",,,,,
220105422,residential,False,True,33.583,"LINESTRING (3.2836892 36.7389674, 3.2840603 36.7390201)",,,,,
33793003,residential,False,False,58.992,"LINESTRING (3.2823586 36.7381119, 3.2830126 36.7381942)",Rue Ali Khodja,,,,
