osmid,highway,oneway,reversed,length,geometry,lanes,maxspeed,name,ref
1152318377,residential,False,False,100.441,"LINESTRING (-0.5841811 35.6175, -0.5837191 35.6177586, -0.5832581 35.6180028)",,,,
297058061,residential,False,True,17.173,"LINESTRING (-0.5809139 35.6160622, -0.5810516 35.6159558)",,,,
297151023,tertiary,False,False,26.301,"LINESTRING (-0.5809139 35.6160622, -0.580707 35.6158959)",2,40,,
297151023,tertiary,False,True,59.062,"LINESTRING (-0.5809139 35.6160622, -0.5813834 35.6164316)",2,40,,
297058068,tertiary,False,False,19.165,"LINESTRING (-0.5836315 35.615683, -0.5835108 35.6155413)",2,40,Rue Colonel Amirouche,
297058069,residential,False,False,24.995,"LINESTRING (-0.5836315 35.615683, -0.5836203 35.6159076)",,,,
297056573,tertiary,True,False,27.787,"LINESTRING (-0.5836315 35.615683, -0.5837362 35.6158291, -0.5837791 35.615902)",2,40,,
153886324,tertiary,False,False,45.931,"LINESTRING (-0.5826449 35.6174242, -0.5822938 35.6177228)",,,,
297151023,tertiary,False,False,19.791,"LINESTRING (-0.5826449 35.6174242, -0.5824876 35.6173004)",2,40,,
297151023,tertiary,False,True,13.032,"LINESTRING (-0.5826449 35.6174242, -0.5827485 35.6175057)",2,40,,
949059077,motorway,True,False,163.402,"LINESTRING (-0.583868 35.6160527, -0.5841811 35.6175)",2,80,Pénétrante d'Oran,RN4
264006046,residential,False,False,48.849,"LINESTRING (-0.583359 35.6187127, -0.5828217 35.6187598)",,,,
297151023,tertiary,False,True,89.064,"LINESTRING (-0.583359 35.6187127, -0.5834915 35.6195064)",2,40,,
297151023,tertiary,False,False,99.531,"LINESTRING (-0.583359 35.6187127, -0.5833206 35.6185231, -0.5832517 35.618317, -0.5831337 35.6180455, -0.5830371 35.61786)",2,40,,
153886324,tertiary,False,True,12.529,"LINESTRING (-0.5801375 35.6195787, -0.5802323 35.6194965)",,,,
