osmid,oneway,highway,reversed,length,lanes,name,maxspeed,geometry,ref
252182630,False,residential,True,24.034,,,,"LINESTRING (7.1375046 36.1564684, 7.1372505 36.1564004)",
648499586,False,residential,False,8.929,,,,"LINESTRING (7.1375046 36.1564684, 7.1375987 36.1564944)",
252180668,False,residential,False,63.594,1,Rue 1er novembre 54,30,"LINESTRING (7.1380755 36.1579015, 7.1387458 36.1580864)",
799266203,False,residential,True,42.613,1,Rue Chaâbane Laghrour,20,"LINESTRING (7.1380755 36.1579015, 7.1379297 36.1582662)",
799513925,False,residential,False,62.137,1,Rue Chaâbane Laghrour,20,"LINESTRING (7.1380755 36.1579015, 7.1382409 36.1574779, 7.1382893 36.1573701)",
252177034,False,residential,False,73.595,1,Rue Zidanne Darbal,,"LINESTRING (7.1387786 36.1559608, 7.1395558 36.1561712)",
322969794,False,residential,False,46.366,,,,"LINESTRING (7.1387786 36.1559608, 7.1389189 36.1555595)",
322970675,False,residential,False,79.985,,,,"LINESTRING (7.1387786 36.1559608, 7.1379399 36.1557182)",
799513925,False,residential,True,52.324,1,Rue Chaâbane Laghrour,20,"LINESTRING (7.1387786 36.1559608, 7.1386333 36.1564165)",
800570834,False,residential,False,3.901,1,,,"LINESTRING (7.1454776 36.1577749, 7.1455181 36.1577876)",
800570834,False,residential,True,27.654,1,,,"LINESTRING (7.1454776 36.1577749, 7.1451862 36.1576943)",
252177035,False,residential,False,77.759,1,Rue Hadi Mahmoud,,"LINESTRING (7.1400292 36.1593062, 7.1408525 36.1595234)",
799512946,False,primary,True,90.255,,,20,"LINESTRING (7.1400292 36.1593062, 7.1403617 36.1585402)",RN 102
799512946,False,primary,False,72.789,,,20,"LINESTRING (7.1400292 36.1593062, 7.1398987 36.1596133, 7.1397687 36.1599089, 7.1397619 36.1599242)",RN 102
800570832,False,residential,False,22.605,1,,,"LINESTRING (7.1441939 36.1609835, 7.1444352 36.1610416)",
800570832,False,residential,True,165.16500000000002,1,,,"LINESTRING (7.1441939 36.1609835, 7.1441758 36.1608157, 7.1440855 36.1606601, 7.1438844 36.1605321, 7.1428245 36.1601471)",
800570832,False,residential,False,71.013,1,,,"LINESTRING (7.1444352 36.1610416, 7.145203 36.1611952)",
800570832,False,residential,True,22.605,1,,,"LINESTRING (7.1444352 36.1610416, 7.1441939 36.1609835)",
800570832,False,residential,True,58.306,1,,,"LINESTRING (7.1444352 36.1610416, 7.1446415 36.1605444)",
799262418,False,residential,False,52.928,,,,"LINESTRING (7.145203 36.1611952, 7.1454913 36.16078)",
800570832,False,residential,True,71.013,1,,,"LINESTRING (7.145203 36.1611952, 7.1444352 36.1610416)",
252180669,False,residential,True,165.738,1,Rue Doubabi Abdelghani,20,"LINESTRING (7.141414 36.1582474, 7.1420261 36.1568412)",
799512950,False,residential,False,41.883,1,Rue Khelil Belabed,,"LINESTRING (7.141414 36.1582474, 7.1418546 36.1583712)",
