osmid,ref,highway,oneway,reversed,length,bridge,name,geometry,lanes,maxspeed,junction
245400466,RN 63,primary,False,False,13.278,,,"LINESTRING (3.019303 36.7010402, 3.0194518 36.7010452)",,,
245400466,RN 63,primary,False,True,79.798,,,"LINESTRING (3.019303 36.7010402, 3.0184084 36.7010167)",,,
1050330377,,residential,False,False,75.645,,,"LINESTRING (3.019303 36.7010402, 3.0190389 36.7003937)",,,
"[245400466, 28588491, 202708420]",RN 63,primary,False,False,84.741,yes,Rue Kechtouli Hamidou,"LINESTRING (3.023217 36.7016737, 3.023271 36.7017092, 3.0233476 36.7018463, 3.0234518 36.7020355, 3.0235757 36.7022348, 3.0236526 36.7023451)",,,
245400466,RN 63,primary,False,True,82.87100000000001,,,"LINESTRING (3.023217 36.7016737, 3.0230474 36.7016259, 3.0229461 36.7016124, 3.0228281 36.7016231, 3.0226194 36.7016781, 3.0224115 36.7017067, 3.0223138 36.7017083)",,,
358854144,,residential,False,False,236.754,,,"LINESTRING (3.023217 36.7016737, 3.0235133 36.7015916, 3.0237669 36.7015005, 3.0239863 36.7014078, 3.0241397 36.7013134, 3.0242463 36.7012077, 3.0243087 36.7011113, 3.0243557 36.7010159, 3.0244101 36.7005227, 3.0243301 36.7000683)",,,
28588491,RN 63,primary,False,False,73.264,,Rue Kechtouli Hamidou,"LINESTRING (3.0239048 36.7026877, 3.0243142 36.703259)",,,
28588491,RN 63,primary,False,True,44.236,,Rue Kechtouli Hamidou,"LINESTRING (3.0239048 36.7026877, 3.0236526 36.7023451)",,,
30011640,,secondary,False,False,145.408,,Route de Draria,"LINESTRING (3.0239048 36.7026877, 3.0224883 36.703336)",,,
28588388,,primary,True,False,143.597,,Rue Colonel Amirouche,"LINESTRING (3.0243142 36.703259, 3.0257082 36.702612)",,,
28588491,RN 63,primary,False,True,73.264,,Rue Kechtouli Hamidou,"LINESTRING (3.0243142 36.703259, 3.0239048 36.7026877)",,,
30251937,,residential,False,False,147.073,,Rue Rebbache Brahim,"LINESTRING (3.0243142 36.703259, 3.0228751 36.7039057)",,,
28588400,RN 63,primary,True,False,44.603,,,"LINESTRING (3.0245341 36.7036193, 3.0243142 36.703259)",,,
30251954,,residential,False,True,12.09,,Rue Segheir Mohamed,"LINESTRING (3.0245341 36.7036193, 3.0244028 36.7036465)",,,
743395797,RN 63,primary,False,False,63.526,,,"LINESTRING (3.0265642 36.7026547, 3.0272546 36.7027961)",,,
28588359,RN 63,primary,True,False,61.155,,Rue Belhadj Athmane,"LINESTRING (3.0265642 36.7026547, 3.0263454 36.702767, 3.0259722 36.702932)",,,
743395800,RN 63,primary,True,False,48.775000000000006,,,"LINESTRING (3.0287733 36.7031191, 3.0285719 36.7031049, 3.0285196 36.7031049, 3.0284662 36.7031091, 3.0284224 36.7031171, 3.0283771 36.7031295, 3.0282395 36.7031691)",,,
28588388,,primary,True,False,14.947,,Rue Colonel Amirouche,"LINESTRING (3.0257082 36.702612, 3.0258567 36.7025496)",,,
258888018,,residential,False,False,71.749,,Rue Moussa Cherifa; Rue des Frères Boubekeur,"LINESTRING (3.0257082 36.702612, 3.0252825 36.7020644)",,,
258888018,,residential,False,True,42.662,,Rue Moussa Cherifa; Rue des Frères Boubekeur,"LINESTRING (3.0257082 36.702612, 3.0259722 36.702932)",,,
30011640,,secondary,False,False,36.62,,Route de Draria,"LINESTRING (3.0224883 36.703336, 3.0221457 36.7035177)",,,
30011640,,secondary,False,True,145.408,,Route de Draria,"LINESTRING (3.0224883 36.703336, 3.0239048 36.7026877)",,,
258888014,,residential,False,False,72.125,,Rue Zoubiri Boualem,"LINESTRING (3.0224883 36.703336, 3.0228751 36.7039057)",,,
30251783,,residential,True,False,181.137,,,"LINESTRING (3.0224883 36.703336, 3.0223063 36.7030475, 3.0223104 36.7030115, 3.0223275 36.7029864, 3.0236526 36.7023451)",,,
123366749,,secondary,False,True,100.447,,,"LINESTRING (3.0201428 36.7023763, 3.0201826 36.7022066, 3.0202594 36.7018799, 3.0203722 36.7014921)",2,30,
202708425,,secondary,False,False,89.31899999999999,,Route de Draria,"LINESTRING (3.0201428 36.7023763, 3.0199744 36.702383, 3.0196311 36.7024106, 3.019305 36.7024656, 3.0191602 36.70251)",,,
202708425,,secondary,False,True,94.92699999999999,,Route de Draria,"LINESTRING (3.0201428 36.7023763, 3.0206697 36.7025069, 3.0207898 36.7026101, 3.0209091 36.702863)",,,
42528852,,residential,False,True,37.683,,,"LINESTRING (3.0258406 36.7021707, 3.026255 36.7022375)",,,
202708426,,secondary,False,False,43.433,,Rue Laïnani Allal,"LINESTRING (3.0258406 36.7021707, 3.0257936 36.7022652, 3.0258567 36.7025496)",,,
202708426,,secondary,False,True,181.68100000000004,,Rue Laïnani Allal,"LINESTRING (3.0258406 36.7021707, 3.0259563 36.7020411, 3.0261231 36.7019613, 3.026594 36.7018256, 3.0271919 36.70166, 3.0275781 36.7015637, 3.0276656 36.7015137)",,,
28588388,,primary,True,False,65.29,,Rue Colonel Amirouche,"LINESTRING (3.0258567 36.7025496, 3.0259575 36.7025296, 3.0261105 36.702543, 3.0262892 36.7025872, 3.0265642 36.7026547)",,,
202708426,,secondary,False,True,43.433,,Rue Laïnani Allal,"LINESTRING (3.0258567 36.7025496, 3.0257936 36.7022652, 3.0258406 36.7021707)",,,
30252061,,residential,False,True,64.557,,,"LINESTRING (3.0276656 36.7015137, 3.0276742 36.7016068, 3.0276743 36.7016515, 3.0276703 36.7017042, 3.0275895 36.7020885)",,,
202708426,,secondary,False,False,181.681,,Rue Laïnani Allal,"LINESTRING (3.0276656 36.7015137, 3.0275781 36.7015637, 3.0271919 36.70166, 3.026594 36.7018256, 3.0261231 36.7019613, 3.0259563 36.7020411, 3.0258406 36.7021707)",,,
202708426,,secondary,False,True,178.232,,Rue Laïnani Allal,"LINESTRING (3.0276656 36.7015137, 3.0279214 36.701199, 3.0281617 36.700903, 3.0283935 36.7006553, 3.0285995 36.7004351, 3.028696 36.7003132, 3.0287723 36.700182)",,,
33142921,,residential,False,False,95.345,,,"LINESTRING (3.0261567 36.706296, 3.0255029 36.706491, 3.0251843 36.7066449)",,,
786080436,,tertiary,False,True,53.857,,Rue Ben Merdja Mahmoud,"LINESTRING (3.0261567 36.706296, 3.0261769 36.706139, 3.0262457 36.7059832, 3.0263715 36.7058574)",,,
42528861,,residential,False,True,101.799,,,"LINESTRING (3.0209783 36.7059929, 3.0204233 36.7051928)",,,
30251547,,tertiary,False,False,62.57,,Rue Feyadh Ahmed,"LINESTRING (3.0209783 36.7059929, 3.0210783 36.7058672, 3.0211386 36.7057007, 3.0211837 36.7054632)",,,
30251547,,tertiary,False,False,21.277,,Rue Feyadh Ahmed,"LINESTRING (3.0211837 36.7054632, 3.0212202 36.7052741)",,,
30251547,,tertiary,False,True,62.57000000000001,,Rue Feyadh Ahmed,"LINESTRING (3.0211837 36.7054632, 3.0211386 36.7057007, 3.0210783 36.7058672, 3.0209783 36.7059929)",,,
42528858,,residential,False,False,79.708,,,"LINESTRING (3.0211837 36.7054632, 3.0217148 36.7057072, 3.0217617 36.7057142, 3.0218064 36.7057021, 3.021959 36.7056153)",,,
