osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,maxspeed,junction
42440717,Rue Bouguera El Haoues,residential,False,True,26.092,,,"LINESTRING (2.9446645 36.630702, 2.9446131 36.630933)",,
308333780,Rue Athmani Chaabane,primary,False,False,60.843,2,RN 67,"LINESTRING (2.9446645 36.630702, 2.9453463 36.6307077)",,
308333780,Rue Athmani Chaabane,primary,False,True,126.088,2,RN 67,"LINESTRING (2.9446645 36.630702, 2.9432524 36.6306615)",,
308333780,Rue Athmani Chaabane,primary,False,True,60.843,2,RN 67,"LINESTRING (2.9453463 36.6307077, 2.9446645 36.630702)",,
42440716,,secondary_link,True,False,29.362,,,"LINESTRING (2.9453463 36.6307077, 2.9453972 36.6306742, 2.9454406 36.6306345, 2.9454754 36.6305897, 2.9455006 36.6305409, 2.9455157 36.6304895)",,
272519092,,primary,True,False,21.541999999999998,,RN 67,"LINESTRING (2.9453463 36.6307077, 2.9454036 36.6306924, 2.945463 36.6306835, 2.9455233 36.6306811, 2.9455833 36.6306853)",,
108747198,,residential,False,True,83.638,2,RN 67,"LINESTRING (2.9459151 36.6307091, 2.9468516 36.63074)",40,
42440715,,residential,True,False,19.116,,,"LINESTRING (2.9459151 36.6307091, 2.9458815 36.6307305, 2.9458544 36.630757, 2.9458348 36.6307876, 2.9458238 36.6308208, 2.9458217 36.6308552)",,
272519091,,residential,True,False,13.871,,RN 67,"LINESTRING (2.9459151 36.6307091, 2.9458778 36.6307178, 2.9458398 36.6307239, 2.9458012 36.6307274, 2.9457622 36.6307282)",40,
108747198,,residential,False,False,130.455,2,RN 67,"LINESTRING (2.9483107 36.6308132, 2.9468516 36.63074)",40,
108747198,,residential,False,True,4.798,2,RN 67,"LINESTRING (2.9483107 36.6308132, 2.9483644 36.6308154)",40,
42441636,,residential,True,False,80.497,,,"LINESTRING (2.9483107 36.6308132, 2.9483138 36.6304855, 2.9483175 36.6300893)",,
26276890,,secondary,False,False,75.065,2,,"LINESTRING (2.9455157 36.6304895, 2.9450605 36.6299218)",40,
42440720,,secondary,True,False,22.461,,,"LINESTRING (2.9455157 36.6304895, 2.9455619 36.6305238, 2.9456046 36.6305609, 2.9456435 36.6306006, 2.9456784 36.6306426)",,
26276890,,secondary,False,True,77.118,2,,"LINESTRING (2.9441041 36.6286408, 2.9445433 36.6292381)",40,
42440676,,secondary,False,False,36.277,2,,"LINESTRING (2.9441041 36.6286408, 2.9444334 36.6284495)",50,
308333780,Rue Athmani Chaabane,primary,False,False,51.667,2,RN 67,"LINESTRING (2.9415231 36.6306192, 2.9421019 36.6306315)",,
266099600,,primary,False,True,109.562,2,,"LINESTRING (2.9459142 36.6310022, 2.9465525 36.6318439)",50,
42440728,,primary,True,False,33.744,,,"LINESTRING (2.9459142 36.6310022, 2.9458567 36.6309645, 2.9458323 36.6309478, 2.9458112 36.6309327, 2.9457163 36.6308577, 2.9456948 36.6308407, 2.945678 36.6308254, 2.9456436 36.6307912)",,
266099600,,primary,False,False,109.562,2,,"LINESTRING (2.9465525 36.6318439, 2.9459142 36.6310022)",50,
42440718,Rue Boukhers Rabah,residential,False,True,49.536,,,"LINESTRING (2.9465525 36.6318439, 2.946408 36.6319069, 2.9460863 36.6320848)",,
266099600,,primary,False,True,152.662,2,,"LINESTRING (2.9465525 36.6318439, 2.9471324 36.6326243, 2.9474383 36.6330184)",50,
42440642,,residential,False,False,41.356,,,"LINESTRING (2.9436108 36.6312786, 2.9436163 36.6309067)",,
42440643,,residential,False,False,22.643,,,"LINESTRING (2.9436108 36.6312786, 2.9438644 36.6312717)",,
42440642,,residential,False,True,10.183,,,"LINESTRING (2.9436108 36.6312786, 2.9436364 36.6313282, 2.943663 36.6313595)",,
42440642,,residential,False,True,41.356,,,"LINESTRING (2.9436163 36.6309067, 2.9436108 36.6312786)",,
42440683,,residential,False,False,33.022,,,"LINESTRING (2.9436163 36.6309067, 2.9432468 36.6308903)",,
42440683,,residential,False,True,23.852,,,"LINESTRING (2.9436163 36.6309067, 2.9438836 36.6309076)",,
42440643,,residential,False,True,22.643,,,"LINESTRING (2.9438644 36.6312717, 2.9436108 36.6312786)",,
42440686,,residential,False,False,40.522,,,"LINESTRING (2.9438644 36.6312717, 2.9438836 36.6309076)",,
42440686,,residential,False,True,54.614000000000004,,,"LINESTRING (2.9438644 36.6312717, 2.9439015 36.6312947, 2.9441933 36.6314118, 2.9441974 36.6316035)",,
42440678,,residential,False,False,56.022,,,"LINESTRING (2.9468679 36.6334523, 2.9473346 36.6331153)",,
42440687,,residential,False,False,34.613,,,"LINESTRING (2.9468679 36.6334523, 2.9464897 36.6333831)",,
42440678,,residential,False,True,109.639,,,"LINESTRING (2.9468679 36.6334523, 2.9464441 36.6337927, 2.9467595 36.6342295)",,
42440646,,residential,False,True,6.775,,,"LINESTRING (2.9464897 36.6333831, 2.9464807 36.6334436)",,
42440687,,residential,False,True,34.613,,,"LINESTRING (2.9464897 36.6333831, 2.9468679 36.6334523)",,
42440687,,residential,False,False,154.018,,,"LINESTRING (2.9464897 36.6333831, 2.9460724 36.6327799, 2.9460863 36.6320848)",,
42440648,,residential,False,False,64.782,,,"LINESTRING (2.9424485 36.6349903, 2.9418631 36.6346457)",,
42440699,,residential,False,False,47.585,,,"LINESTRING (2.9424485 36.6349903, 2.9427669 36.634647)",,
42440648,,residential,False,False,140.504,,,"LINESTRING (2.9418631 36.6346457, 2.9406149 36.6338754)",,
42440648,,residential,False,True,64.782,,,"LINESTRING (2.9418631 36.6346457, 2.9424485 36.6349903)",,
42440708,,residential,False,True,47.181,,,"LINESTRING (2.9418631 36.6346457, 2.9421873 36.6343105)",,
42440648,,residential,False,True,140.504,,,"LINESTRING (2.9406149 36.6338754, 2.9418631 36.6346457)",,
42440658,,residential,False,False,45.756,,,"LINESTRING (2.9406149 36.6338754, 2.9409576 36.6335693)",,
