osmid,oneway,highway,reversed,length,geometry,lanes,maxspeed,ref,name,access,junction
129226079,True,primary_link,False,26.774,"LINESTRING (2.8567627 36.4966722, 2.8567653 36.4965622, 2.85676 36.4965148, 2.856746 36.4964324)",,,,,,
316446894,True,primary,False,96.63300000000001,"LINESTRING (2.8567627 36.4966722, 2.856532 36.4964781, 2.8563979 36.4963876, 2.856245 36.4963035, 2.8560814 36.496232, 2.8558916 36.49618)",2,40,,,,
129266155,False,residential,True,124.86099999999999,"LINESTRING (2.8554738 36.4961387, 2.8554751 36.4969847, 2.8556553 36.4970362, 2.8558023 36.4970709)",,,,,,
80676244,True,primary,False,68.152,"LINESTRING (2.8558326 36.4960809, 2.8560953 36.4960933, 2.8563156 36.4960924, 2.8565882 36.4960448)",2,50,RN 29,Boulevard des martyrs,,
129224701,True,primary_link,False,129.907,"LINESTRING (2.8558326 36.4960809, 2.8562368 36.4960246, 2.8564129 36.4959598, 2.8566206 36.4958212, 2.8567787 36.4957062, 2.8568592 36.4956221, 2.8569745 36.4954582)",,40,,,,
129259039,False,residential,True,62.988,"LINESTRING (2.8598941 36.4993354, 2.8601759 36.4988162)",,,,,,
129224685,True,primary,False,109.34800000000001,"LINESTRING (2.8598941 36.4993354, 2.8602954 36.4996732, 2.8605932 36.4998371, 2.8608365 36.4999507)",2,50,RN 29,Boulevard Benyamina,,
129258322,False,secondary,False,11.525,"LINESTRING (2.8608365 36.4999507, 2.8608404 36.5000543)",2,40,,Rue 17 Septembre 1956,yes,
185793242,False,tertiary,True,57.045,"LINESTRING (2.8608365 36.4999507, 2.8609439 36.499445)",,,,Rue 17 Septembre 1956,,
129224685,True,primary,False,254.833,"LINESTRING (2.8608365 36.4999507, 2.8614583 36.5001858, 2.8624232 36.5005633, 2.8625275 36.5006041, 2.8634003 36.5009529)",2,50,RN 29,Boulevard Benyamina,,
129258322,False,secondary,False,13.759,"LINESTRING (2.8608404 36.5000543, 2.8608441 36.500178)",2,40,,Rue 17 Septembre 1956,yes,
129258322,False,secondary,True,11.525,"LINESTRING (2.8608404 36.5000543, 2.8608365 36.4999507)",2,40,,Rue 17 Septembre 1956,yes,
353816582,True,primary,False,111.471,"LINESTRING (2.8608404 36.5000543, 2.8605954 36.4999581, 2.8602951 36.4998104, 2.8600506 36.4996308, 2.8598351 36.4994734)",2,50,RN 29,Boulevard Benyamina,,
129258326,True,residential,False,99.802,"LINESTRING (2.8609986 36.4953079, 2.8609876 36.4962054)",,,,Rue 17 Septembre 1956,,
158324979,False,residential,True,188.856,"LINESTRING (2.8609986 36.4953079, 2.8631106 36.4953519)",,,,Rue de la mosquée,,
374102160,False,residential,True,68.471,"LINESTRING (2.8609986 36.4953079, 2.8602327 36.4952993)",,,,Rue de la Mosquée,,
196751117,True,secondary,False,36.535,"LINESTRING (2.8569745 36.4954582, 2.8569353 36.4952923, 2.8568951 36.4951359)",2,50,,Rue Taleb Abderahmane,,
129224708,True,primary,False,37.628,"LINESTRING (2.8558916 36.49618, 2.8554738 36.4961387)",2,50,RN 29,Boulevard des martyrs,,
316446894,True,primary,False,25.242,"LINESTRING (2.856974 36.4968228, 2.8567627 36.4966722)",2,40,,,,
129224707,True,primary_link,False,48.383,"LINESTRING (2.856974 36.4968228, 2.8568846 36.4966531, 2.8568449 36.4965524, 2.8568173 36.4965023, 2.856746 36.4964324)",1,40,RN 29,,,
312803700,True,residential,False,23.763999999999996,"LINESTRING (2.856974 36.4968228, 2.8568731 36.4968435, 2.8567902 36.4968722, 2.8567521 36.4969208)",,,,,,
129224707,True,primary_link,False,13.027,"LINESTRING (2.856746 36.4964324, 2.8566448 36.4963481)",1,40,RN 29,,,
129263531,True,tertiary,False,193.861,"LINESTRING (2.8609876 36.4962054, 2.8631559 36.4962398)",,,,Rue Hadef Mohamed,,
343688095,True,tertiary,False,100.033,"LINESTRING (2.8609876 36.4962054, 2.8609804 36.497105)",,,,Rue 17 Septembre 1956,,
129260734,False,tertiary,False,73.027,"LINESTRING (2.8570115 36.4946541, 2.8575637 36.4951381)",,,,,,
129260734,False,tertiary,True,40.953,"LINESTRING (2.8570115 36.4946541, 2.8566894 36.4943922)",,,,,,
287477883,False,residential,False,121.90299999999999,"LINESTRING (2.8570115 36.4946541, 2.8570206 36.4941083, 2.8577053 36.4941083)",,,,,,
129260734,False,tertiary,False,40.953,"LINESTRING (2.8566894 36.4943922, 2.8570115 36.4946541)",,,,,,
129224679,True,secondary,False,82.25699999999999,"LINESTRING (2.8566894 36.4943922, 2.8568584 36.4946494, 2.8569415 36.4948015, 2.8570026 36.4949453, 2.857041 36.4950724)",2,50,,Rue Taleb Abderahmane,,
329305463,False,residential,False,214.264,"LINESTRING (2.86017 36.4936019, 2.8625669 36.4936012)",,,,,,
129258329,False,residential,True,88.053,"LINESTRING (2.86017 36.4936019, 2.8602068 36.4940624, 2.8602221 36.494085, 2.8602318 36.4943896)",,,,,,
158324976,False,residential,True,88.34,"LINESTRING (2.86017 36.4936019, 2.8601527 36.4934008, 2.8601104 36.4928089)",,,,,,
353816582,True,primary,False,99.765,"LINESTRING (2.8586817 36.4984083, 2.8579683 36.4977183)",2,50,RN 29,Boulevard Benyamina,,
358420617,False,residential,True,60.051,"LINESTRING (2.8586817 36.4984083, 2.8580287 36.4985352)",,,,,,
345761859,False,residential,False,27.791,"LINESTRING (2.8574112 36.4986681, 2.8575617 36.4988868)",,,,,,
358420617,False,residential,False,12.107,"LINESTRING (2.8574112 36.4986681, 2.8575384 36.4986307)",,,,,,
358420617,False,residential,True,243.53300000000002,"LINESTRING (2.8574112 36.4986681, 2.8566183 36.4988605, 2.8565913 36.4988525, 2.8565741 36.4988335, 2.8567498 36.4974613, 2.8567432 36.4974309, 2.8567205 36.497366)",,,,,,
158324980,False,tertiary,False,128.463,"LINESTRING (2.8625669 36.4936012, 2.8629084 36.4947234)",,,,,,
158324981,False,tertiary,False,91.211,"LINESTRING (2.8625669 36.4936012, 2.8623371 36.492802)",,,,,,
329305463,False,residential,True,214.264,"LINESTRING (2.8625669 36.4936012, 2.86017 36.4936019)",,,,,,
