osmid,oneway,ref,highway,reversed,length,lanes,bridge,name,geometry,junction,maxspeed
272243676,True,RN 22,primary,False,17.98,,,,"LINESTRING (-1.3265867 34.6435052, -1.3264543 34.6436247)",,
"[382418082, 382418091, 382418084]",False,RN 22,primary,"[False, True]",121.29,"['2', '3']",yes,Bd du 1er Novembre,"LINESTRING (-1.3265867 34.6435052, -1.3268235 34.6432509, -1.3272862 34.6427599, -1.3273884 34.6426367)",,
40886180,True,,primary,False,6.3580000000000005,,,,"LINESTRING (-1.326208 34.6439051, -1.3261837 34.6439256, -1.3261663 34.6439503)",roundabout,
40886181,True,RN 22,primary,False,14.538,,,,"LINESTRING (-1.3262482 34.6441043, -1.3262692 34.6442339)",,
40886180,True,,primary,False,18.545,,,,"LINESTRING (-1.3262482 34.6441043, -1.326288 34.6441109, -1.3263285 34.6441078, -1.3263774 34.6440891, -1.326398 34.6440745, -1.3264211 34.6440473)",roundabout,
40886181,True,RN 22,primary,False,24.651,,,,"LINESTRING (-1.3262692 34.6442339, -1.3263021 34.6443266, -1.3263661 34.6444401)",,
565928943,False,RN 22,primary,True,32.946,,,,"LINESTRING (-1.3263871 34.6447812, -1.3263711 34.6444852)",,
565928947,False,RN 22B,primary,False,2.282,2,,,"LINESTRING (-1.3259279 34.6441817, -1.3259089 34.644195)",,
40886157,True,,primary_link,False,31.838,,,,"LINESTRING (-1.3259279 34.6441817, -1.3261194 34.6442041, -1.3261844 34.6442119, -1.3262692 34.6442339)",,
272243680,True,RN 22B,primary,False,30.563000000000002,,,,"LINESTRING (-1.3259279 34.6441817, -1.3260754 34.6441751, -1.3261378 34.6441553, -1.3262371 34.6441006)",,
565928943,False,RN 22,primary,False,5.036,,,,"LINESTRING (-1.3263661 34.6444401, -1.3263711 34.6444852)",,
40886151,True,RN 22,primary,False,44.488,,,,"LINESTRING (-1.3263661 34.6444401, -1.326414 34.6443301, -1.3264254 34.6442231, -1.3264211 34.6440473)",,
40886158,True,RN 22,primary,False,54.928,,,,"LINESTRING (-1.3264351 34.6439827, -1.3264898 34.6437829, -1.3265187 34.6436786, -1.3265867 34.6435052)",,
40886180,True,,primary,False,27.288,,,,"LINESTRING (-1.3264351 34.6439827, -1.3264249 34.6439506, -1.3264023 34.6439205, -1.3263697 34.6438974, -1.3263302 34.6438835, -1.3262874 34.6438802, -1.3262453 34.6438876, -1.326208 34.6439051)",roundabout,
565924601,False,,secondary,True,10.63,,,Rue Emir AbdelKader,"LINESTRING (-1.3272058 34.6395269, -1.3273055 34.6394778)",,
