osmid,tunnel,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction
"[341035479, 26617943]",yes,2,RN 12,"['Avenue Abane Remdane', 'Trémie']",primary,60,False,True,168.427,"LINESTRING (4.0468929 36.7136884, 4.0471031 36.7136244, 4.0477137 36.7133803, 4.0485965 36.7130349)",
26617944,,,RN 12,Avenue Larbi Ben M'Hidi,primary,60,True,False,145.129,"LINESTRING (4.0468929 36.7136884, 4.0464665 36.7137905, 4.0462063 36.7138389, 4.0457731 36.7138722, 4.0452926 36.713858)",
26617869,,,,Rue Boudelal Arezki,residential,40,True,False,205.28400000000002,"LINESTRING (4.0441225 36.7134054, 4.0448193 36.7135076, 4.0451712 36.7135833, 4.0455402 36.7136177, 4.0457548 36.7136108, 4.045961 36.7134815, 4.0460853 36.7133058, 4.0461245 36.7132062)",
26617871,,,,,residential,,False,True,33.2,"LINESTRING (4.0441225 36.7134054, 4.0441509 36.713218, 4.0441652 36.7131088)",
26617840,,,,Avenue Colonel Amirouche,residential,,True,False,188.36700000000002,"LINESTRING (4.0441652 36.7131088, 4.0444416 36.712964, 4.0447506 36.7128608, 4.0451111 36.7128952, 4.0459351 36.7131429, 4.0461245 36.7132062)",
26617871,,,,,residential,,False,False,33.2,"LINESTRING (4.0441652 36.7131088, 4.0441509 36.713218, 4.0441225 36.7134054)",
26617840,,,,Avenue Colonel Amirouche,residential,,True,False,59.756,"LINESTRING (4.0461245 36.7132062, 4.0467486 36.7134024)",
224222885,,,,Boulevard Mohamed Saïd Ouzefoun,residential,,True,False,19.321,"LINESTRING (4.0474105 36.7132497, 4.0475184 36.7134004)",
26617886,,,,Rue Fredj Abdelaziz,secondary,,True,False,21.205000000000002,"LINESTRING (4.0474105 36.7132497, 4.0474755 36.713309, 4.0475083 36.7133338, 4.0475473 36.7133563, 4.0475901 36.7133704)",
286912981,,,,,primary_link,,True,False,23.369999999999997,"LINESTRING (4.0474105 36.7132497, 4.0474139 36.7132941, 4.0474129 36.7133155, 4.0474077 36.7133392, 4.0473973 36.7133589, 4.047382 36.7133787, 4.0473251 36.7134389)",
26617885,,,,Rue des Frères Bouzidi,secondary,,False,True,130.607,"LINESTRING (4.0456173 36.7123671, 4.0453972 36.7122388, 4.0448107 36.7118631, 4.0446637 36.7117486, 4.0444995 36.7116112)",
320087051,,,,Boulevard Haddadou Mohamed Arezki,secondary,50,True,False,112.973,"LINESTRING (4.0456173 36.7123671, 4.0465776 36.7125049, 4.0466226 36.7125088, 4.0466676 36.7125086, 4.0467144 36.7125041, 4.0468422 36.7124808, 4.0468654 36.7124787)",
26617895,,,,Rue du 1e Novembre,residential,,False,True,26.162,"LINESTRING (4.0455071 36.7149369, 4.0457676 36.7150453)",
"[691524854, 26617894]",,,,Rue des Frères Slimani,residential,,False,"[False, True]",182.51399999999998,"LINESTRING (4.0455071 36.7149369, 4.0456852 36.7148737, 4.045752 36.7148468, 4.0464444 36.7145145, 4.0465817 36.7144486, 4.0466862 36.7143985, 4.0473214 36.7142746, 4.047356 36.7142682)",
479053306,,,,,primary,,True,False,7.212,"LINESTRING (4.0474168 36.713562, 4.0474125 36.7135942, 4.0473993 36.7136249)",roundabout
