osmid,oneway,highway,reversed,length,geometry,name,ref,lanes,junction
998749557,True,secondary,False,15.053999999999998,"LINESTRING (5.8443695 36.7515921, 5.8443536 36.751581, 5.8443436 36.7515661, 5.8443408 36.7515493, 5.8443455 36.7515328, 5.8443571 36.7515187, 5.8443742 36.7515087, 5.8443946 36.7515042, 5.8444156 36.7515057)",,,,
378837331,False,residential,True,80.68,"LINESTRING (5.8443738 36.7509686, 5.8437733 36.7512047, 5.8436569 36.7512505, 5.8435936 36.7513196)",Rue Boumris Abderahmane,,,
389587808,False,tertiary,False,62.463,"LINESTRING (5.8443738 36.7509686, 5.8444679 36.7511353, 5.8444818 36.7511713, 5.8444878 36.7512086, 5.8444856 36.7512461, 5.8444752 36.7512828, 5.8444456 36.7513698, 5.8444368 36.7514006, 5.8444249 36.7514464, 5.8444156 36.7515057)",,,,
389587809,False,residential,False,68.816,"LINESTRING (5.8443738 36.7509686, 5.8449022 36.7507636, 5.8450864 36.7507474)",Rue Boumris Abderahmane,,,
922747031,True,tertiary,False,15.338,"LINESTRING (5.8414841 36.7549765, 5.8413226 36.7550243)",,,,
336485878,False,tertiary,False,357.654,"LINESTRING (5.8414841 36.7549765, 5.8417274 36.754907, 5.8420518 36.7548009, 5.8422045 36.754773, 5.8423595 36.754771, 5.8425534 36.754796, 5.8430015 36.7548917, 5.84329 36.7549456, 5.8435094 36.7549697, 5.8437904 36.7549782, 5.844082 36.7549512, 5.8444857 36.7548873, 5.8447523 36.7548019, 5.8453137 36.7545507)",,,,
336485878,False,tertiary,False,35.058,"LINESTRING (5.8468523 36.754035, 5.8472233 36.7539299)",,,,
336485878,False,tertiary,True,65.914,"LINESTRING (5.8468523 36.754035, 5.8461639 36.7542522)",,,,
359242178,False,residential,True,90.04,"LINESTRING (5.8468523 36.754035, 5.8475689 36.753464)",,,,
336485878,False,tertiary,True,33.286,"LINESTRING (5.8483786 36.7534303, 5.8481014 36.753631)",,,,
