osmid,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,name,junction
299904525,tertiary,False,False,50.771,,,,"LINESTRING (5.8390944 36.1326382, 5.8396588 36.1326119)",,
299904525,tertiary,False,True,101.902,,,,"LINESTRING (5.8390944 36.1326382, 5.8379616 36.1326909)",,
299906282,secondary,False,False,51.949,2,CW 118,40,"LINESTRING (5.8390944 36.1326382, 5.839055 36.1321721)",,
511139283,secondary,False,True,128.749,2,CW 118,40,"LINESTRING (5.8390944 36.1326382, 5.8390724 36.1336894, 5.8390946 36.1337944)",,
299901852,residential,False,False,27.352,,,,"LINESTRING (5.8389514 36.1301416, 5.8392558 36.1301338)",,
299901852,residential,False,True,8.917,,,,"LINESTRING (5.8389514 36.1301416, 5.8388523 36.1301465)",,
299908666,secondary,True,False,57.98,2,CW 118,30,"LINESTRING (5.8389514 36.1301416, 5.8389831 36.1306624)",,
119213391,trunk,True,False,59.205,2,RN 5,40,"LINESTRING (5.8360172 36.1285645, 5.835513 36.1289075)",Voie Rapide El Eulma - Tadjenanet,
299908664,unclassified,False,False,8.426,2,,,"LINESTRING (5.8360172 36.1285645, 5.8359446 36.1285165)",,
299908664,unclassified,False,True,54.8,2,,,"LINESTRING (5.8360172 36.1285645, 5.8364557 36.1289072)",,
299901848,tertiary,False,True,116.477,,,,"LINESTRING (5.8342887 36.1312618, 5.8355819 36.1311823)",,
299901850,residential,False,False,38.066,,,,"LINESTRING (5.8345171 36.1300591, 5.8345804 36.1303976)",,
299901859,residential,False,False,87.216,,,,"LINESTRING (5.8345171 36.1300591, 5.8336554 36.1304208)",,
299901850,residential,False,True,38.066,,,,"LINESTRING (5.8345804 36.1303976, 5.8345171 36.1300591)",,
299901852,residential,False,False,17.067,,,,"LINESTRING (5.8345804 36.1303976, 5.8347607 36.1303491)",,
299901852,residential,False,True,79.745,,,,"LINESTRING (5.8345804 36.1303976, 5.833743 36.1306361)",,
299901852,residential,False,False,94.421,,,,"LINESTRING (5.8355129 36.1302916, 5.8365631 36.1302521)",,
299901861,tertiary,False,False,99.235,,,,"LINESTRING (5.8355129 36.1302916, 5.8355819 36.1311823)",,
299901852,residential,False,True,68.236,,,,"LINESTRING (5.8355129 36.1302916, 5.8348888 36.1303146, 5.8347607 36.1303491)",,
299901861,tertiary,False,True,88.159,,,,"LINESTRING (5.8355129 36.1302916, 5.8354599 36.1296091, 5.8354501 36.1295004)",,
299901852,residential,False,True,17.067,,,,"LINESTRING (5.8347607 36.1303491, 5.8345804 36.1303976)",,
299901852,residential,False,False,68.236,,,,"LINESTRING (5.8347607 36.1303491, 5.8348888 36.1303146, 5.8355129 36.1302916)",,
299901856,residential,False,False,100.057,,,,"LINESTRING (5.8347607 36.1303491, 5.8347069 36.1295928, 5.8346799 36.1294522)",,
299901852,residential,False,False,79.745,,,,"LINESTRING (5.833743 36.1306361, 5.8345804 36.1303976)",,
397703502,residential,False,True,25.2,,,,"LINESTRING (5.833743 36.1306361, 5.8336554 36.1304208)",,
299901859,residential,False,True,87.216,,,,"LINESTRING (5.8336554 36.1304208, 5.8345171 36.1300591)",,
397703502,residential,False,False,25.2,,,,"LINESTRING (5.8336554 36.1304208, 5.833743 36.1306361)",,
299901848,tertiary,False,False,116.477,,,,"LINESTRING (5.8355819 36.1311823, 5.8342887 36.1312618)",,
299901848,tertiary,False,True,93.195,,,,"LINESTRING (5.8355819 36.1311823, 5.8366187 36.1311473)",,
299901861,tertiary,False,False,91.893,,,,"LINESTRING (5.8355819 36.1311823, 5.8356349 36.1320076)",,
299901861,tertiary,False,True,99.235,,,,"LINESTRING (5.8355819 36.1311823, 5.8355129 36.1302916)",,
299901848,tertiary,False,False,95.804,,,,"LINESTRING (5.8389592 36.1310412, 5.8378942 36.1310906)",,
299906282,secondary,False,True,5.618,2,CW 118,40,"LINESTRING (5.8389592 36.1310412, 5.8389635 36.1310916)",,
299908666,secondary,True,False,100.716,2,CW 118,30,"LINESTRING (5.8389592 36.1310412, 5.8389044 36.1309478, 5.8388523 36.1301465)",,
299901863,tertiary,False,True,7.043,2,,40,"LINESTRING (5.8388484 36.1288101, 5.8387701 36.1288136)",,
299908666,secondary,True,False,56.007,2,CW 118,30,"LINESTRING (5.8388484 36.1288101, 5.8388873 36.1293128)",,
119213391,trunk,True,False,79.253,2,RN 5,40,"LINESTRING (5.8366762 36.1280905, 5.8360172 36.1285645)",Voie Rapide El Eulma - Tadjenanet,
299901865,residential,False,True,8.73,,,,"LINESTRING (5.8366762 36.1280905, 5.8366111 36.1280322)",,
299901865,residential,False,False,97.165,,,,"LINESTRING (5.8366762 36.1280905, 5.8367922 36.1282412, 5.8371006 36.1287586, 5.8371098 36.1288805)",,
299901852,residential,False,False,53.709,,,,"LINESTRING (5.8372114 36.1302278, 5.8378083 36.1301982)",,
299901852,residential,False,True,58.286,,,,"LINESTRING (5.8372114 36.1302278, 5.8365631 36.1302521)",,
299901865,residential,False,True,94.011,,,,"LINESTRING (5.8372114 36.1302278, 5.8371478 36.1293839)",,
299901866,residential,False,False,92.433,,,,"LINESTRING (5.8354501 36.1295004, 5.8364756 36.12943)",,
299901861,tertiary,False,False,88.159,,,,"LINESTRING (5.8354501 36.1295004, 5.8354599 36.1296091, 5.8355129 36.1302916)",,
299901861,tertiary,False,True,62.131,,,,"LINESTRING (5.8354501 36.1295004, 5.8354516 36.1290925, 5.8354567 36.1289417)",,
299901865,residential,False,False,94.011,,,,"LINESTRING (5.8371478 36.1293839, 5.8372114 36.1302278)",,
299901865,residential,False,True,56.08,,,,"LINESTRING (5.8371478 36.1293839, 5.8371098 36.1288805)",,
299901866,residential,False,False,56.204,,,,"LINESTRING (5.8371478 36.1293839, 5.8377728 36.1293583)",,
299901866,residential,False,True,60.588,,,,"LINESTRING (5.8371478 36.1293839, 5.8364756 36.12943)",,
299901866,residential,False,False,25.621,,,,"LINESTRING (5.8388873 36.1293128, 5.8391711 36.1292894)",,
299901866,residential,False,True,7.958,,,,"LINESTRING (5.8388873 36.1293128, 5.8387988 36.1293164)",,
299908666,secondary,True,False,92.338,2,CW 118,30,"LINESTRING (5.8388873 36.1293128, 5.8389514 36.1301416)",,
299901866,residential,False,True,75.921,,,,"LINESTRING (5.8441551 36.1295188, 5.8433136 36.1294538)",,
299904525,tertiary,False,True,41.311,,,,"LINESTRING (5.8441551 36.1295188, 5.8442319 36.1298851)",,
299904525,tertiary,False,False,443.482,,,,"LINESTRING (5.8441551 36.1295188, 5.8434855 36.1278712, 5.8432325 36.1271813, 5.8413675 36.1274748)",,
299901868,residential,False,False,9.896,,,,"LINESTRING (5.8387214 36.1271687, 5.8386291 36.1272173)",,
299908666,secondary,True,False,79.26,2,CW 118,30,"LINESTRING (5.8387214 36.1271687, 5.8388023 36.1278785)",,
299901868,residential,False,False,149.258,,,,"LINESTRING (5.8380926 36.1274998, 5.8382271 36.1288377)",,
299901868,residential,False,True,27.404,,,,"LINESTRING (5.8380926 36.1274998, 5.8383482 36.1273652)",,
299901873,residential,False,False,26.1,,,,"LINESTRING (5.8380926 36.1274998, 5.8378238 36.127589)",,
299901863,tertiary,False,False,23.746,2,,40,"LINESTRING (5.8382271 36.1288377, 5.8384911 36.128826)",,
299901863,tertiary,False,True,44.409,2,,40,"LINESTRING (5.8382271 36.1288377, 5.8377331 36.1288551)",,
299901868,residential,False,True,149.258,,,,"LINESTRING (5.8382271 36.1288377, 5.8380926 36.1274998)",,
299901863,tertiary,False,False,25.095,2,,40,"LINESTRING (5.8384911 36.128826, 5.8387701 36.1288136)",,
299901863,tertiary,False,True,23.746,2,,40,"LINESTRING (5.8384911 36.128826, 5.8382271 36.1288377)",,
299901870,residential,False,False,162.94,,,,"LINESTRING (5.8384911 36.128826, 5.8383482 36.1273652)",,
299901868,residential,False,False,27.404,,,,"LINESTRING (5.8383482 36.1273652, 5.8380926 36.1274998)",,
299901868,residential,False,True,30.115,,,,"LINESTRING (5.8383482 36.1273652, 5.8386291 36.1272173)",,
299901870,residential,False,True,162.94,,,,"LINESTRING (5.8383482 36.1273652, 5.8384911 36.128826)",,
299904527,residential,False,False,15.423,,,,"LINESTRING (5.8410454 36.1262976, 5.841027 36.1261597)",,
299904527,residential,False,True,134.057,,,,"LINESTRING (5.8410454 36.1262976, 5.8413675 36.1274748)",,
299901871,residential,False,False,221.623,,,,"LINESTRING (5.8410454 36.1262976, 5.8402292 36.1264449, 5.8387011 36.126906)",,
299901871,residential,False,False,9.029,,,,"LINESTRING (5.8387011 36.126906, 5.8386159 36.1269491)",,
299906283,secondary,True,False,29.268,2,CW 118,30,"LINESTRING (5.8387011 36.126906, 5.8387214 36.1271687)",,
299901871,residential,False,True,221.623,,,,"LINESTRING (5.8387011 36.126906, 5.8402292 36.1264449, 5.8410454 36.1262976)",,
299901871,residential,False,True,38.437,,,,"LINESTRING (5.8373868 36.1276859, 5.837693 36.1274444)",,
